	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000368.1_1	QGNH01000368.1	QGNH01000368.1	1	2	1360	-1	E					0	False	F
QGNH01000368.1_2	QGNH01000368.1	QGNH01000368.1	2	1360	3459	-1	E					0	False	F
QGNH01000368.1_3	QGNH01000368.1	QGNH01000368.1	3	3461	4258	-1	E					0	False	F
QGNH01000368.1_4	QGNH01000368.1	QGNH01000368.1	4	4279	4764	-1	E					0	False	F
QGNH01000368.1_5	QGNH01000368.1	QGNH01000368.1	5	4833	5891	-1	E		VOG11300	REFSEQ major head protein; Xu	Xu	0	False	F
QGNH01000368.1_6	QGNH01000368.1	QGNH01000368.1	6	5919	6896	-1	E					0	False	F
QGNH01000368.1_7	QGNH01000368.1	QGNH01000368.1	7	6907	7284	-1	E					0	False	F
QGNH01000368.1_8	QGNH01000368.1	QGNH01000368.1	8	7341	7487	-1	E		VOG03878	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01000368.1_9	QGNH01000368.1	QGNH01000368.1	9	7516	7701	-1	E					0	False	F
QGNH01000368.1_10	QGNH01000368.1	QGNH01000368.1	10	7714	8148	-1	E					0	False	F
QGNH01000368.1_11	QGNH01000368.1	QGNH01000368.1	11	8145	10007	-1	E					0	False	F
QGNH01000368.1_12	QGNH01000368.1	QGNH01000368.1	12	10004	10462	-1	E					0	False	F
QGNH01000368.1_13	QGNH01000368.1	QGNH01000368.1	13	10459	10644	-1	E					0	False	F
