locus_tag	ftype	length_bp	gene	EC_number	COG	product
ODIEOJIM_00001	CDS	516				hypothetical protein
ODIEOJIM_00002	CDS	1335				hypothetical protein
ODIEOJIM_00003	CDS	270				hypothetical protein
ODIEOJIM_00004	CDS	180				hypothetical protein
ODIEOJIM_00005	CDS	147				hypothetical protein
ODIEOJIM_00006	CDS	231				hypothetical protein
ODIEOJIM_00007	CDS	102				hypothetical protein
ODIEOJIM_00008	CDS	159				hypothetical protein
ODIEOJIM_00009	CDS	234				hypothetical protein
ODIEOJIM_00010	CDS	129				hypothetical protein
ODIEOJIM_00011	CDS	129				hypothetical protein
ODIEOJIM_00012	CDS	174				hypothetical protein
ODIEOJIM_00013	CDS	120				hypothetical protein
ODIEOJIM_00014	CDS	2028				hypothetical protein
ODIEOJIM_00015	CDS	189				hypothetical protein
ODIEOJIM_00016	CDS	291				hypothetical protein
ODIEOJIM_00017	CDS	1443				hypothetical protein
ODIEOJIM_00018	CDS	414				hypothetical protein
ODIEOJIM_00019	CDS	1257				hypothetical protein
ODIEOJIM_00020	CDS	1257				hypothetical protein
ODIEOJIM_00021	CDS	225				hypothetical protein
ODIEOJIM_00022	CDS	189				hypothetical protein
ODIEOJIM_00023	CDS	216				hypothetical protein
ODIEOJIM_00024	CDS	195				hypothetical protein
ODIEOJIM_00025	CDS	243				hypothetical protein
ODIEOJIM_00026	CDS	426				hypothetical protein
ODIEOJIM_00027	CDS	417				hypothetical protein
ODIEOJIM_00028	CDS	294				hypothetical protein
ODIEOJIM_00029	CDS	474				hypothetical protein
ODIEOJIM_00030	CDS	348				hypothetical protein
ODIEOJIM_00031	CDS	1242				hypothetical protein
ODIEOJIM_00032	CDS	333				hypothetical protein
ODIEOJIM_00033	CDS	159				hypothetical protein
ODIEOJIM_00034	CDS	477				hypothetical protein
ODIEOJIM_00035	CDS	495				hypothetical protein
ODIEOJIM_00036	CDS	153				hypothetical protein
ODIEOJIM_00037	CDS	219				hypothetical protein
ODIEOJIM_00038	CDS	879				hypothetical protein
ODIEOJIM_00039	CDS	1026				hypothetical protein
ODIEOJIM_00040	CDS	858				hypothetical protein
ODIEOJIM_00041	CDS	1332				hypothetical protein
ODIEOJIM_00042	CDS	231				hypothetical protein
ODIEOJIM_00043	CDS	2865				hypothetical protein
ODIEOJIM_00044	CDS	303				hypothetical protein
ODIEOJIM_00045	CDS	234				hypothetical protein
ODIEOJIM_00046	CDS	219				hypothetical protein
ODIEOJIM_00047	CDS	222				hypothetical protein
ODIEOJIM_00048	CDS	165				hypothetical protein
ODIEOJIM_00049	CDS	360				hypothetical protein
ODIEOJIM_00050	CDS	651				hypothetical protein
ODIEOJIM_00051	CDS	120				hypothetical protein
ODIEOJIM_00052	CDS	201				hypothetical protein
ODIEOJIM_00053	CDS	321				hypothetical protein
ODIEOJIM_00054	CDS	168				hypothetical protein
ODIEOJIM_00055	CDS	348				hypothetical protein
ODIEOJIM_00056	CDS	171				hypothetical protein
ODIEOJIM_00057	CDS	528				hypothetical protein
ODIEOJIM_00058	CDS	2070				hypothetical protein
ODIEOJIM_00059	CDS	198				hypothetical protein
ODIEOJIM_00060	CDS	804				hypothetical protein
ODIEOJIM_00061	CDS	657				hypothetical protein
ODIEOJIM_00062	CDS	150				hypothetical protein
ODIEOJIM_00063	CDS	291				hypothetical protein
ODIEOJIM_00064	CDS	792				hypothetical protein
ODIEOJIM_00065	CDS	198				hypothetical protein
ODIEOJIM_00066	CDS	240				hypothetical protein
ODIEOJIM_00067	CDS	267				hypothetical protein
ODIEOJIM_00068	CDS	228				hypothetical protein
ODIEOJIM_00069	CDS	399				hypothetical protein
ODIEOJIM_00070	CDS	462				hypothetical protein
