	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001823.1_1	QGNH01001823.1	QGNH01001823.1	1	193	1146	-1	D	Mu-like prophage major head subunit gpT [PF10124.12]	VOG04241	sp|Q9T1W1|CAPSD_BPMU Major capsid protein; XhXs	Xh;Xs	0	False	VF
QGNH01001823.1_2	QGNH01001823.1	QGNH01001823.1	2	1201	1854	-1	E					0	False	F
QGNH01001823.1_3	QGNH01001823.1	QGNH01001823.1	3	1858	2496	-1	E					0	False	F
QGNH01001823.1_4	QGNH01001823.1	QGNH01001823.1	4	2489	3190	-1	E					0	False	F
QGNH01001823.1_5	QGNH01001823.1	QGNH01001823.1	5	3360	5342	-1	E					0	False	F
QGNH01001823.1_6	QGNH01001823.1	QGNH01001823.1	6	5353	5814	-1	E					0	False	F
QGNH01001823.1_7	QGNH01001823.1	QGNH01001823.1	7	5780	6106	-1	E					0	False	F
QGNH01001823.1_8	QGNH01001823.1	QGNH01001823.1	8	6117	6608	-1	E					0	False	F
QGNH01001823.1_9	QGNH01001823.1	QGNH01001823.1	9	6608	6910	-1	E					0	False	F
QGNH01001823.1_10	QGNH01001823.1	QGNH01001823.1	10	6924	7970	-1	E					0	False	F
QGNH01001823.1_11	QGNH01001823.1	QGNH01001823.1	11	7942	8865	-1	E					0	False	F
QGNH01001823.1_12	QGNH01001823.1	QGNH01001823.1	12	8807	9142	-1	E					0	False	F
QGNH01001823.1_13	QGNH01001823.1	QGNH01001823.1	13	9156	9326	-1	E					0	False	F
QGNH01001823.1_14	QGNH01001823.1	QGNH01001823.1	14	9448	9564	-1	E					0	False	F
QGNH01001823.1_15	QGNH01001823.1	QGNH01001823.1	15	9561	10142	-1	E					0	False	F
QGNH01001823.1_16	QGNH01001823.1	QGNH01001823.1	16	10135	10359	-1	E					0	False	F
