	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000262.1_1	QGNH01000262.1	QGNH01000262.1	1	3	926	1	E					0	False	F
QGNH01000262.1_2	QGNH01000262.1	QGNH01000262.1	2	928	1617	1	E					0	False	F
QGNH01000262.1_3	QGNH01000262.1	QGNH01000262.1	3	1636	2544	1	E					0	False	F
QGNH01000262.1_4	QGNH01000262.1	QGNH01000262.1	4	2544	3632	1	E					0	False	F
QGNH01000262.1_5	QGNH01000262.1	QGNH01000262.1	5	3730	5253	1	E		VOG01001	sp|P85225|VPN1_BPPHE Putative tail sheath protein; Xs	Xs	0	False	VF
QGNH01000262.1_6	QGNH01000262.1	QGNH01000262.1	6	5282	5746	1	E					0	False	
QGNH01000262.1_7	QGNH01000262.1	QGNH01000262.1	7	5842	6576	1	E					0	False	
QGNH01000262.1_8	QGNH01000262.1	QGNH01000262.1	8	6548	7270	1	E					0	False	
QGNH01000262.1_9	QGNH01000262.1	QGNH01000262.1	9	7278	9230	1	E					0	False	
QGNH01000262.1_10	QGNH01000262.1	QGNH01000262.1	10	9541	10098	1	E					0	False	
QGNH01000262.1_11	QGNH01000262.1	QGNH01000262.1	11	10101	12308	1	E					0	False	F
QGNH01000262.1_12	QGNH01000262.1	QGNH01000262.1	12	12310	12822	1	D	N-acetylmuramoyl-L-alanine amidase [PF01510.28]				0	False	F
QGNH01000262.1_13	QGNH01000262.1	QGNH01000262.1	13	12822	13883	1	E					0	False	F
QGNH01000262.1_14	QGNH01000262.1	QGNH01000262.1	14	13930	14499	1	E					0	False	F
QGNH01000262.1_15	QGNH01000262.1	QGNH01000262.1	15	14499	14987	1	E					0	False	F
QGNH01000262.1_16	QGNH01000262.1	QGNH01000262.1	16	14992	16398	1	D	Baseplate J-like protein [PF04865.17]	VOG00735	REFSEQ baseplate wedge subunit; Xu	Xu	0	False	F
QGNH01000262.1_17	QGNH01000262.1	QGNH01000262.1	17	16400	16621	1	E					0	False	F
