	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
BK059161.1_1	GCA_020497835.1	BK059161.1	1	1	276	1	E					0	False	F
BK059161.1_2	GCA_020497835.1	BK059161.1	2	237	449	1	E					0	False	F
BK059161.1_3	GCA_020497835.1	BK059161.1	3	494	994	1	E					0	False	F
BK059161.1_4	GCA_020497835.1	BK059161.1	4	997	1152	1	E					0	False	F
BK059161.1_5	GCA_020497835.1	BK059161.1	5	1201	1362	1	E					0	False	F
BK059161.1_6	GCA_020497835.1	BK059161.1	6	1448	1573	1	E					0	False	F
BK059161.1_7	GCA_020497835.1	BK059161.1	7	1585	2052	1	E					0	False	F
BK059161.1_8	GCA_020497835.1	BK059161.1	8	2072	2212	1	E					0	False	F
BK059161.1_9	GCA_020497835.1	BK059161.1	9	2228	2365	1	E					0	False	F
BK059161.1_10	GCA_020497835.1	BK059161.1	10	2340	2789	1	E					0	False	F
BK059161.1_11	GCA_020497835.1	BK059161.1	11	3260	3418	1	E					0	False	F
BK059161.1_12	GCA_020497835.1	BK059161.1	12	3391	3573	1	E					0	False	F
BK059161.1_13	GCA_020497835.1	BK059161.1	13	3570	3767	1	E					0	False	F
BK059161.1_14	GCA_020497835.1	BK059161.1	14	3778	4014	1	E					0	False	F
BK059161.1_15	GCA_020497835.1	BK059161.1	15	4016	4291	1	E					0	False	F
BK059161.1_16	GCA_020497835.1	BK059161.1	16	4911	5147	1	E					0	False	F
