	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000353.1_1	QGNH01000353.1	QGNH01000353.1	1	1	354	-1	E															0	False	F
QGNH01000353.1_2	QGNH01000353.1	QGNH01000353.1	2	378	590	-1	E															0	False	F
QGNH01000353.1_3	QGNH01000353.1	QGNH01000353.1	3	601	831	-1	E															0	False	F
QGNH01000353.1_4	QGNH01000353.1	QGNH01000353.1	4	1135	1461	-1	E															0	False	F
QGNH01000353.1_5	QGNH01000353.1	QGNH01000353.1	5	1584	1781	-1	E															0	False	F
QGNH01000353.1_6	QGNH01000353.1	QGNH01000353.1	6	1827	1979	1	E															0	False	F
QGNH01000353.1_7	QGNH01000353.1	QGNH01000353.1	7	1945	2655	-1	E															0	False	F
QGNH01000353.1_8	QGNH01000353.1	QGNH01000353.1	8	2700	2903	-1	E															0	False	F
QGNH01000353.1_9	QGNH01000353.1	QGNH01000353.1	9	2934	3098	1	E															0	False	F
QGNH01000353.1_10	QGNH01000353.1	QGNH01000353.1	10	3088	3594	-1	E															0	False	F
QGNH01000353.1_11	QGNH01000353.1	QGNH01000353.1	11	3591	4043	-1	E															0	False	F
QGNH01000353.1_12	QGNH01000353.1	QGNH01000353.1	12	4074	4931	-1	E															0	False	F
QGNH01000353.1_13	QGNH01000353.1	QGNH01000353.1	13	4968	5582	-1	E															0	False	F
QGNH01000353.1_14	QGNH01000353.1	QGNH01000353.1	14	5579	5989	-1	D	YP_009223034.1	YP_009223034.1 hypothetical protein VPLG_00185 [Vibrio phage eugene 12A10]	False	0.373	86.0	4.926e-19	Family of unknown function (DUF5675) [PF18925.3]					VOG03732	REFSEQ hypothetical protein; Xu	Xu	0	False	
QGNH01000353.1_15	QGNH01000353.1	QGNH01000353.1	15	6141	8048	-1	D							Glycosyl hydrolases family 43 [PF04616.17]	GH117	GH117 beta-D-galactofuranosidase (EC 3.2.1.146); alpha-neoagaro-oligosaccharide hydrolase (EC 3.2.1.159)	3.2.1.146,3.2.1.159	GH117.hmm				0	False	MKF
QGNH01000353.1_16	QGNH01000353.1	QGNH01000353.1	16	8052	8309	-1	E															0	False	F
QGNH01000353.1_17	QGNH01000353.1	QGNH01000353.1	17	8325	8864	-1	E															0	False	F
QGNH01000353.1_18	QGNH01000353.1	QGNH01000353.1	18	8861	10030	-1	E	YP_007673406.1	YP_007673406.1 portal protein [Cellulophaga phage phiST]	False	0.244	114.0	1.837e-25						VOG26859	REFSEQ portal protein; Xu	Xu	0	False	F
QGNH01000353.1_19	QGNH01000353.1	QGNH01000353.1	19	10030	10653	-1	E															0	False	F
QGNH01000353.1_20	QGNH01000353.1	QGNH01000353.1	20	10701	11300	-1	E															0	False	F
