	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001213.1_1	QGNH01001213.1	QGNH01001213.1	1	3	728	-1	D	YP_009791290.1	YP_009791290.1 major capsid protein [Synechococcus phage Bellamy]	False	0.469	206.0	1.0200000000000001e-58								Major capsid protein Gp23 [PF07068.14]	VOG00452	sp|P04535|CAPSH_BPT4 Major capsid protein; XhXs	Xs;Xh	0	False	VF
QGNH01001213.1_2	QGNH01001213.1	QGNH01001213.1	2	780	1994	-1	D	YP_010656660.1	YP_010656660.1 head scaffolding protein [Synechococcus phage S-SZBM1]	False	0.327	159.0	3.086e-40	MER0006135	S77	MER0006135 - family S77 (general) () [S77.UPW]#S77#{peptidase unit: 1-213}~source Q9XJ89~	False	0.297	87.0	1.352e-16		VOG03635	sp|Q9ZXI1|SCAF_BPAR1 Capsid assembly scaffolding protein; Xs	Xs	0	False	VPF
QGNH01001213.1_3	QGNH01001213.1	QGNH01001213.1	3	2043	2414	-1	E																		0	False	F
QGNH01001213.1_4	QGNH01001213.1	QGNH01001213.1	4	2446	3099	-1	D	YP_009098940.1	YP_009098940.1 hypothetical protein OZ74_gp276 [Caulobacter phage Cr30]	False	0.433	171.0	5.356e-47	MER1358783	S77	MER1358783 - family S77 non-peptidase homologues () [S77.UNW]#S77#{peptidase unit: 21-163}~source PNX49280~	False	0.525	141.0	3.0160000000000005e-36	Prohead core protein serine protease [PF03420.16]	VOG00647	sp|P06807|PCPP_BPT4 Prohead core protein protease; XhXs	Xs;Xh	0	False	VPF
QGNH01001213.1_5	QGNH01001213.1	QGNH01001213.1	5	3111	3389	-1	E																		0	False	F
QGNH01001213.1_6	QGNH01001213.1	QGNH01001213.1	6	3389	5038	-1	E																		0	False	F
QGNH01001213.1_7	QGNH01001213.1	QGNH01001213.1	7	5061	5345	-1	E																		0	False	
QGNH01001213.1_8	QGNH01001213.1	QGNH01001213.1	8	5393	7165	-1	D	YP_004324725.1	YP_004324725.1 portal protein [Synechococcus phage S-SSM5]	True	0.51	483.0	2.675e-148								Bacteriophage T4-like portal protein (Gp20) [PF07230.14]	VOG00778	sp|E1XTG6|PORTL_BPSAV Portal protein; XhXpXrXs	Xs;Xr;Xp;Xh	0	False	V
QGNH01001213.1_9	QGNH01001213.1	QGNH01001213.1	9	7165	7797	-1	D	YP_010680493.1	YP_010680493.1 homing endonuclease [Bacillus phage Izhevsk]	False	0.333	85.0	2.014e-17								GIY-YIG catalytic domain [PF01541.27]	VOG00048	sp|P13299|TEV1_BPT4 Intron-associated endonuclease 1; Xh	Xh	0	False	
QGNH01001213.1_10	QGNH01001213.1	QGNH01001213.1	10	8048	8446	1	E																		0	False	
QGNH01001213.1_11	QGNH01001213.1	QGNH01001213.1	11	8458	8826	1	E																		0	False	
QGNH01001213.1_12	QGNH01001213.1	QGNH01001213.1	12	8892	9497	-1	E	YP_010670187.1	YP_010670187.1 tail tube [Synechococcus phage S-SRM01]	False	0.383	119.0	1.984e-29									VOG00050	sp|P13333|TUBE_BPT4 Tail tube protein gp19; XhXpXrXs	Xs;Xr;Xp;Xh	0	False	V
QGNH01001213.1_13	QGNH01001213.1	QGNH01001213.1	13	9522	10244	-1	E	YP_009143027.1	YP_009143027.1 HNH DNAse-like protein [Sinorhizobium phage phiM12]	False	0.368	144.0	3.058e-37									VOG00495	sp|P19895|SEGD_BPT4 Putative endonuclease segD; Xu	Xu	0	False	
QGNH01001213.1_14	QGNH01001213.1	QGNH01001213.1	14	10306	12426	-1	D	YP_009098945.1	YP_009098945.1 tail sheath [Caulobacter phage Cr30]	True	0.404	491.0	3.582e-149								Phage tail sheath protein subtilisin-like domain [PF04984.17]; Phage tail sheath C-terminal domain [PF17482.5]	VOG00168	sp|P13332|TSP_BPT4 Tail sheath protein; XpXrXs	Xs;Xr;Xp	0	False	VF
QGNH01001213.1_15	QGNH01001213.1	QGNH01001213.1	15	12575	12793	1	E																		0	False	F
QGNH01001213.1_16	QGNH01001213.1	QGNH01001213.1	16	12795	13019	1	E																		0	False	F
QGNH01001213.1_17	QGNH01001213.1	QGNH01001213.1	17	13420	16143	-1	D	YP_009602116.1	YP_009602116.1 terminase large subunit [Escherichia phage ECD7]	True	0.396	567.0	5.707e-172	MER0347496	N09	MER0347496 - family N9 unassigned peptide lyases (Thiovulum sp. ES) [N09.UPW]#N09#{peptidase unit: 210-550}~source ZP_10404829~	False	0.296	117.0	6.291000000000001e-25	Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]; Hom_end-associated Hint [PF05203.19]; Homing endonuclease [PF05204.17]; Terminase RNaseH-like domain [PF17289.5]; LAGLIDADG-like domain [PF14528.9]	VOG00068	sp|P25479|VPP_BPP2 Terminase, ATPase subunit; XhXr	Xr;Xh	0	False	VPF
QGNH01001213.1_18	QGNH01001213.1	QGNH01001213.1	18	16145	16528	-1	E	YP_009598452.1	YP_009598452.1 portal protein [Rhizobium phage RHEph04]	False	0.376	88.0	9.782000000000001e-20												0	False	F
