	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
MZ334526_MZ334526.1_1	MZ334526	MZ334526.1	1	1	171	1	E								0
MZ334526_MZ334526.1_2	MZ334526	MZ334526.1	2	168	446	1	E								0
MZ334526_MZ334526.1_3	MZ334526	MZ334526.1	3	443	562	1	E								0
MZ334526_MZ334526.1_4	MZ334526	MZ334526.1	4	646	873	1	E								0
MZ334526_MZ334526.1_5	MZ334526	MZ334526.1	5	876	1511	1	E								0
MZ334526_MZ334526.1_6	MZ334526	MZ334526.1	6	1508	1834	1	E								0
MZ334526_MZ334526.1_7	MZ334526	MZ334526.1	7	1876	2061	1	E								0
MZ334526_MZ334526.1_8	MZ334526	MZ334526.1	8	2334	2459	1	D			Putative antitoxin [PF02697.17]					0
MZ334526_MZ334526.1_9	MZ334526	MZ334526.1	9	2452	2613	1	E								0
MZ334526_MZ334526.1_10	MZ334526	MZ334526.1	10	2610	2834	1	E								0
MZ334526_MZ334526.1_11	MZ334526	MZ334526.1	11	2831	3232	1	E								0
MZ334526_MZ334526.1_12	MZ334526	MZ334526.1	12	3232	3531	1	E								0
MZ334526_MZ334526.1_13	MZ334526	MZ334526.1	13	3810	4205	1	E								0
MZ334526_MZ334526.1_14	MZ334526	MZ334526.1	14	4268	6364	1	D			MCM P-loop domain [PF00493.26]; MCM OB domain [PF17207.6]; MCM AAA-lid domain [PF17855.4]; AAA domain (dynein-related subfamily) [PF07728.17]					0
MZ334526_MZ334526.1_15	MZ334526	MZ334526.1	15	6367	6627	1	E								0
MZ334526_MZ334526.1_16	MZ334526	MZ334526.1	16	6620	7336	1	E								0
MZ334526_MZ334526.1_17	MZ334526	MZ334526.1	17	7329	7556	1	E								0
MZ334526_MZ334526.1_18	MZ334526	MZ334526.1	18	7549	7692	1	E								0
MZ334526_MZ334526.1_19	MZ334526	MZ334526.1	19	7689	8507	1	D			Phosphoadenosine phosphosulfate reductase family [PF01507.22]					0
MZ334526_MZ334526.1_20	MZ334526	MZ334526.1	20	8552	9046	1	E								0
MZ334526_MZ334526.1_21	MZ334526	MZ334526.1	21	9021	10367	1	C	K06909	phage terminase large subunit	Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]; Terminase RNaseH-like domain [PF17289.5]					0
MZ334526_MZ334526.1_22	MZ334526	MZ334526.1	22	10373	10642	1	E								0
