	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001660.1_1	QGNH01001660.1	QGNH01001660.1	1	1	456	1	D	YP_006382524.1	YP_006382524.1 major head protein [Pseudomonas phage tf]	False	75.0	7.656e-15	0.313	Family of unknown function (DUF5309) [PF17236.5]				0	False	F
QGNH01001660.1_2	QGNH01001660.1	QGNH01001660.1	2	643	1299	1	E											0	False	F
QGNH01001660.1_3	QGNH01001660.1	QGNH01001660.1	3	1301	1726	1	E											0	False	F
QGNH01001660.1_4	QGNH01001660.1	QGNH01001660.1	4	1723	2130	1	E											0	False	F
QGNH01001660.1_5	QGNH01001660.1	QGNH01001660.1	5	2127	2492	1	E											0	False	F
QGNH01001660.1_6	QGNH01001660.1	QGNH01001660.1	6	2489	2977	1	E											0	False	F
QGNH01001660.1_7	QGNH01001660.1	QGNH01001660.1	7	2986	3822	1	E											0	False	F
QGNH01001660.1_8	QGNH01001660.1	QGNH01001660.1	8	3822	4043	1	E											0	False	F
QGNH01001660.1_9	QGNH01001660.1	QGNH01001660.1	9	4040	5443	1	E											0	False	F
QGNH01001660.1_10	QGNH01001660.1	QGNH01001660.1	10	5594	6232	1	E											0	False	
QGNH01001660.1_11	QGNH01001660.1	QGNH01001660.1	11	6250	6876	1	E											0	False	
QGNH01001660.1_12	QGNH01001660.1	QGNH01001660.1	12	6885	8600	1	E											0	False	
QGNH01001660.1_13	QGNH01001660.1	QGNH01001660.1	13	8600	9163	1	E											0	False	F
QGNH01001660.1_14	QGNH01001660.1	QGNH01001660.1	14	9167	10207	1	E											0	False	F
QGNH01001660.1_15	QGNH01001660.1	QGNH01001660.1	15	10218	10496	1	E											0	False	F
QGNH01001660.1_16	QGNH01001660.1	QGNH01001660.1	16	10635	10961	1	E											0	False	F
QGNH01001660.1_17	QGNH01001660.1	QGNH01001660.1	17	11092	11445	1	E											0	False	F
QGNH01001660.1_18	QGNH01001660.1	QGNH01001660.1	18	11486	11710	1	E											0	False	F
QGNH01001660.1_19	QGNH01001660.1	QGNH01001660.1	19	11856	12113	1	E											0	False	F
QGNH01001660.1_20	QGNH01001660.1	QGNH01001660.1	20	12114	13202	-1	E											0	False	F
QGNH01001660.1_21	QGNH01001660.1	QGNH01001660.1	21	13247	14038	1	E											0	False	F
