	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000570.1_1	QGNH01000570.1	QGNH01000570.1	1	96	1160	1	D	YP_010110096.1	YP_010110096.1 tyrosine integrase [Gordonia phage Clown]	False	0.217	69.0	2.593e-11								Phage integrase family [PF00589.25]	VOG00056	sp|P22877|INTR_SACER Integrase; XhXr	Xr;Xh	0	False	VF
QGNH01000570.1_2	QGNH01000570.1	QGNH01000570.1	2	1948	2370	1	D														HNH endonuclease [PF01844.26]				1	False	F
QGNH01000570.1_3	QGNH01000570.1	QGNH01000570.1	3	2409	3278	-1	D														Glycosyl hydrolase family 26 [PF02156.18]				0	False	F
QGNH01000570.1_4	QGNH01000570.1	QGNH01000570.1	4	3280	3684	-1	E																		0	False	F
QGNH01000570.1_5	QGNH01000570.1	QGNH01000570.1	5	3995	4648	-1	E																		0	False	F
QGNH01000570.1_6	QGNH01000570.1	QGNH01000570.1	6	4829	6526	1	E																		0	False	F
QGNH01000570.1_7	QGNH01000570.1	QGNH01000570.1	7	7011	7283	-1	E																		0	False	
QGNH01000570.1_8	QGNH01000570.1	QGNH01000570.1	8	7425	7667	-1	E																		0	False	
QGNH01000570.1_9	QGNH01000570.1	QGNH01000570.1	9	7676	8470	-1	E	YP_010060499.1	YP_010060499.1 metallo-phosphoesterase [Mycobacterium phage BabyRay]	False	0.244	82.0	4.608e-16									VOG01525	sp|O64245|VG54_BPMD2 Gene 54 protein; Xu	Xu	0	False	
QGNH01000570.1_10	QGNH01000570.1	QGNH01000570.1	10	8471	8767	-1	E																		0	False	
QGNH01000570.1_11	QGNH01000570.1	QGNH01000570.1	11	8792	9658	-1	E																		0	False	
QGNH01000570.1_12	QGNH01000570.1	QGNH01000570.1	12	9710	10003	-1	E																		0	False	
QGNH01000570.1_13	QGNH01000570.1	QGNH01000570.1	13	10019	11419	-1	D														Domain of unknown function (DUF4815) [PF16075.8]				0	False	
QGNH01000570.1_14	QGNH01000570.1	QGNH01000570.1	14	11416	12102	-1	D	YP_010682380.1	YP_010682380.1 HNH endonuclease [Streptococcus phage CHPC1042]	False	0.458	85.0	2.399e-17								HNH endonuclease [PF14279.9]; HNH endonuclease [PF01844.26]				0	False	
QGNH01000570.1_15	QGNH01000570.1	QGNH01000570.1	15	12044	12610	-1	E																		0	False	
QGNH01000570.1_16	QGNH01000570.1	QGNH01000570.1	16	12658	14154	-1	E	YP_006546289.1	YP_006546289.1 hypothetical protein Tsac_2848 [Thermoanaerobacterium phage THSA-485A]	False	0.242	121.0	5.412e-27												0	False	
QGNH01000570.1_17	QGNH01000570.1	QGNH01000570.1	17	14154	15959	-1	E	YP_004421736.1	YP_004421736.1 tail length tape measure protein [Synechococcus phage S-CBS3]	False	0.222	116.0	2.8150000000000003e-25									VOG02357	REFSEQ tail length tape measure protein; Xu	Xu	0	False	
QGNH01000570.1_18	QGNH01000570.1	QGNH01000570.1	18	15967	16104	-1	E																		0	False	
QGNH01000570.1_19	QGNH01000570.1	QGNH01000570.1	19	16362	16658	-1	E																		0	False	
QGNH01000570.1_20	QGNH01000570.1	QGNH01000570.1	20	16687	17688	-1	E	YP_009819685.1	YP_009819685.1 major tail protein [Arthrobacter phage Sonali]	False	0.21	69.0	2.147e-11												0	False	
QGNH01000570.1_21	QGNH01000570.1	QGNH01000570.1	21	17694	17927	-1	E																		0	False	
QGNH01000570.1_22	QGNH01000570.1	QGNH01000570.1	22	17937	18377	-1	E																		0	False	
QGNH01000570.1_23	QGNH01000570.1	QGNH01000570.1	23	18400	18861	-1	D														Bacteriophage HK97-gp10, putative tail-component [PF04883.15]				0	False	
QGNH01000570.1_24	QGNH01000570.1	QGNH01000570.1	24	18863	19735	-1	E																		0	False	
QGNH01000570.1_25	QGNH01000570.1	QGNH01000570.1	25	19790	20140	-1	E																		0	False	
QGNH01000570.1_26	QGNH01000570.1	QGNH01000570.1	26	20261	20716	-1	E																		0	False	
QGNH01000570.1_27	QGNH01000570.1	QGNH01000570.1	27	20889	22157	-1	D														Phage capsid family [PF05065.16]	VOG00134	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17; Xs	Xs	0	False	V
QGNH01000570.1_28	QGNH01000570.1	QGNH01000570.1	28	22178	23713	-1	D							MER0221453	S78	MER0221453 - prohead peptidase (bacteriophage T5) (Desulfarculus baarsii) [S78.002]#S78#{peptidase unit: 28-153}~source YP_003809229~	False	68.0	2.614e-10	0.431					0	False	P
QGNH01000570.1_29	QGNH01000570.1	QGNH01000570.1	29	23731	24300	-1	E																		0	False	
QGNH01000570.1_30	QGNH01000570.1	QGNH01000570.1	30	24344	24685	-1	E																		0	False	
QGNH01000570.1_31	QGNH01000570.1	QGNH01000570.1	31	24682	24810	-1	E																		0	False	
QGNH01000570.1_32	QGNH01000570.1	QGNH01000570.1	32	24894	25673	1	D														HEPN domain [PF05168.17]				0	False	
QGNH01000570.1_33	QGNH01000570.1	QGNH01000570.1	33	25889	26641	-1	E																		0	False	
QGNH01000570.1_34	QGNH01000570.1	QGNH01000570.1	34	26641	29967	-1	E															VOG01052	REFSEQ tail fiber protein; Xu	Xu	0	False	
QGNH01000570.1_35	QGNH01000570.1	QGNH01000570.1	35	30019	30591	-1	E																		0	False	
QGNH01000570.1_36	QGNH01000570.1	QGNH01000570.1	36	30631	31146	-1	D	NP_665939.1	NP_665939.1 HNH endonuclease [Natrialba phage PhiCh1]	False	0.386	61.0	7.422e-10								HNH endonuclease [PF01844.26]				1	False	
QGNH01000570.1_37	QGNH01000570.1	QGNH01000570.1	37	31239	33590	-1	D	YP_009010474.1	YP_009010474.1 portal protein [Geobacillus phage GBK2]	False	0.225	171.0	5.173e-42								Phage portal protein [PF04860.15]; Phage Mu protein F like protein [PF04233.17]	VOG00344	sp|Q6QGD5|PORTL_BPT5 Portal protein; XhXpXrXs	Xp;Xs;Xr;Xh	0	False	V
QGNH01000570.1_38	QGNH01000570.1	QGNH01000570.1	38	33591	34001	-1	E																		0	False	
QGNH01000570.1_39	QGNH01000570.1	QGNH01000570.1	39	34049	35494	-1	D	YP_007002934.1	YP_007002934.1 terminase large subunit [Haemophilus phage SuMu]	False	0.212	117.0	8.182000000000001e-26								Terminase RNaseH-like domain [PF17289.5]	VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xr;Xh	0	False	V
QGNH01000570.1_40	QGNH01000570.1	QGNH01000570.1	40	35463	35978	-1	E																		0	False	
QGNH01000570.1_41	QGNH01000570.1	QGNH01000570.1	41	36062	36379	1	E																		0	False	
QGNH01000570.1_42	QGNH01000570.1	QGNH01000570.1	42	36376	36570	-1	E																		0	False	
