	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_049446.1_1	NC_049446.1	NC_049446.1	1	272	796	1	D			YP_009875087.1	YP_009875087.1 terminase small subunit [Lactococcus phage 936 group phage Phi91127]	False	0.946	348	3.9110000000000003e-109								Putative bacteriophage terminase small subunit [PF07141.14]	VOG14470	sp|D3WAC0|TERS_BPLP2 Terminase small subunit; Xr	Xr	0	False	VF
NC_049446.1_2	NC_049446.1	NC_049446.1	2	793	1605	1	C	K00571	site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]	YP_009882322.1	YP_009882322.1 DNA methylase [Lactococcus phage 8V08]	True	0.997	571	1.5250000000000002e-184								DNA methylase [PF01555.21]	VOG06731	sp|P14751|MTR1_CERSP Type II methyltransferase M.RsrI; XhXp	Xp;Xh	0	False	F
NC_049446.1_3	NC_049446.1	NC_049446.1	3	1617	2039	1	D			YP_009874810.1	YP_009874810.1 DNA methyltransferase [Lactococcus phage 936 group phage PhiL.18]	False	1.0	308	3.895e-96								DNA N-6-adenine-methyltransferase (Dam) [PF05869.14]				0	False	F
NC_049446.1_4	NC_049446.1	NC_049446.1	4	2051	3673	1	D			YP_009875090.1	YP_009875090.1 terminase large subunit [Lactococcus phage 936 group phage Phi91127]	True	0.971	1106	0.0								Terminase large subunit, endonuclease domain [PF20441.1]; Terminase large subunit, ATPase domain [PF03354.18]	VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
NC_049446.1_5	NC_049446.1	NC_049446.1	5	3762	4046	1	C	K07451	5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]	YP_009874867.1	YP_009874867.1 HNH endonuclease [Lactococcus phage 936 group phage Phi109]	False	1.0	214	3.46e-64								HNH endonuclease [PF01844.26]	VOG07194	sp|D3WAC2|ENDON_BPLP2 Probable HNH endonuclease; Xu	Xu	1	False	F
NC_049446.1_6	NC_049446.1	NC_049446.1	6	4077	5195	1	D			YP_009875324.1	YP_009875324.1 portal protein [Lactococcus phage 936 group phage PhiM1127]	True	0.942	737	5.961e-240								Phage portal protein [PF04860.15]	VOG30794	sp|D3WAC3|PORTL_BPLP2 Probable portal protein; XpXrXs	Xs;Xp;Xr	0	False	VF
NC_049446.1_7	NC_049446.1	NC_049446.1	7	5176	5712	1	C	K06904	uncharacterized protein	YP_009874869.1	YP_009874869.1 HK97 family prohead protease [Lactococcus phage 936 group phage Phi109]	True	0.94	353	7.827e-111	MER0079954	S78	MER0079954 - family S78 unassigned peptidases () [S78.UPW]#S78#{peptidase unit: 6-142}~source ABB77626~	False	278.0	1.5630000000000002e-84	0.957	Caudovirus prohead serine protease [PF04586.20]	VOG02183	sp|D3WAC4|PRO_BPLP2 Probable capsid maturation protease; XhXs	Xs;Xh	0	False	VP
NC_049446.1_8	NC_049446.1	NC_049446.1	8	5705	6886	1	E			YP_009875326.1	YP_009875326.1 minor head protein [Lactococcus phage 936 group phage PhiM1127]	True	0.908	747	4.385e-243									VOG02260	sp|D3WAC5|CAPSD_BPLP2 Capsid protein; Xs	Xs	0	False	V
NC_049446.1_9	NC_049446.1	NC_049446.1	9	6907	7170	1	E			YP_009875095.1	YP_009875095.1 head-tail connector protein [Lactococcus phage 936 group phage Phi91127]	False	0.963	179	4.081e-52									VOG14468	REFSEQ head-tail connector protein; Xu	Xu	0	False	
NC_049446.1_10	NC_049446.1	NC_049446.1	10	7170	7484	1	E			YP_009875328.1	YP_009875328.1 virion structural protein [Lactococcus phage 936 group phage PhiM1127]	False	0.961	213	1.462e-63									VOG14472	sp|D3WAC7|HCP1_BPLP2 Probable head completion protein 1; XpXrXs	Xs;Xp;Xr	0	False	V
