	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001842.1_1	QGNH01001842.1	QGNH01001842.1	1	1	345	-1	E	YP_010084150.1	YP_010084150.1 endolysin [Vibrio phage 1.249.A._10N.261.55.B9]	False	62.0	6.415e-11	0.369					0	False	F
QGNH01001842.1_2	QGNH01001842.1	QGNH01001842.1	2	500	1462	-1	E											0	False	F
QGNH01001842.1_3	QGNH01001842.1	QGNH01001842.1	3	1522	2178	-1	E											0	False	F
QGNH01001842.1_4	QGNH01001842.1	QGNH01001842.1	4	2199	2993	-1	E											0	False	F
QGNH01001842.1_5	QGNH01001842.1	QGNH01001842.1	5	2986	3669	-1	E											0	False	F
QGNH01001842.1_6	QGNH01001842.1	QGNH01001842.1	6	3673	3852	-1	E											0	False	F
QGNH01001842.1_7	QGNH01001842.1	QGNH01001842.1	7	3836	5809	-1	E											0	False	F
QGNH01001842.1_8	QGNH01001842.1	QGNH01001842.1	8	5821	6141	-1	E											1	False	F
QGNH01001842.1_9	QGNH01001842.1	QGNH01001842.1	9	6255	6662	-1	E											0	False	F
QGNH01001842.1_10	QGNH01001842.1	QGNH01001842.1	10	6680	6973	-1	E											0	False	F
QGNH01001842.1_11	QGNH01001842.1	QGNH01001842.1	11	6976	7227	-1	E											0	False	F
QGNH01001842.1_12	QGNH01001842.1	QGNH01001842.1	12	7242	9062	-1	E								VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xr;Xh	0	False	VF
QGNH01001842.1_13	QGNH01001842.1	QGNH01001842.1	13	9062	9883	-1	E											0	False	F
QGNH01001842.1_14	QGNH01001842.1	QGNH01001842.1	14	9849	10016	-1	E											0	False	F
