	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000188.1_1	QGNH01000188.1	QGNH01000188.1	1	3	1382	-1	D							Collagen triple helix repeat (20 copies) [PF01391.21]					VOG30401	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01000188.1_2	QGNH01000188.1	QGNH01000188.1	2	1386	1718	-1	E															0	False	F
QGNH01000188.1_3	QGNH01000188.1	QGNH01000188.1	3	1725	2150	-1	E															0	False	F
QGNH01000188.1_4	QGNH01000188.1	QGNH01000188.1	4	2152	2769	-1	E															0	False	F
QGNH01000188.1_5	QGNH01000188.1	QGNH01000188.1	5	2772	3605	-1	E															0	False	F
QGNH01000188.1_6	QGNH01000188.1	QGNH01000188.1	6	3610	4842	-1	E															0	False	F
QGNH01000188.1_7	QGNH01000188.1	QGNH01000188.1	7	4846	5646	-1	E															0	False	F
QGNH01000188.1_8	QGNH01000188.1	QGNH01000188.1	8	5639	5944	-1	E															0	False	
QGNH01000188.1_9	QGNH01000188.1	QGNH01000188.1	9	5971	6336	-1	E															0	False	
QGNH01000188.1_10	QGNH01000188.1	QGNH01000188.1	10	6336	6794	-1	E															0	False	
QGNH01000188.1_11	QGNH01000188.1	QGNH01000188.1	11	6804	7298	-1	E												VOG00130	REFSEQ tail completion or Neck1 protein; Xu	Xu	0	False	
QGNH01000188.1_12	QGNH01000188.1	QGNH01000188.1	12	7301	7807	-1	E															0	False	
QGNH01000188.1_13	QGNH01000188.1	QGNH01000188.1	13	7804	8262	-1	E															0	False	
QGNH01000188.1_14	QGNH01000188.1	QGNH01000188.1	14	8259	9023	-1	D							Putative Ig domain [PF05345.15]								0	False	
QGNH01000188.1_15	QGNH01000188.1	QGNH01000188.1	15	9033	9590	-1	E															0	False	
QGNH01000188.1_16	QGNH01000188.1	QGNH01000188.1	16	9677	10627	-1	E															0	False	
