	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
HQ332141.1_1	HQ332141	HQ332141.1	1	3	377	-1	E			YP_008126536.1	YP_008126536.1 hypothetical protein HALG_00001, partial [Halorubrum virus CGphi46]	False	0.994	265.0	2.992e-81									VOG36399	REFSEQ hypothetical protein; Xu	Xu	0	False	F
HQ332141.1_2	HQ332141	HQ332141.1	2	377	1126	-1	E			YP_008126537.1	YP_008126537.1 hypothetical protein HALG_00002 [Halorubrum virus CGphi46]	True	0.97	511.0	5.032e-164									VOG03157	REFSEQ hypothetical protein; Xu	Xu	0	False	F
HQ332141.1_3	HQ332141	HQ332141.1	3	1130	1519	-1	E			YP_008126538.1	YP_008126538.1 hypothetical protein HALG_00003 [Halorubrum virus CGphi46]	False	0.923	252.0	1.281e-76									VOG06394	REFSEQ hypothetical protein; Xu	Xu	0	False	F
HQ332141.1_4	HQ332141	HQ332141.1	4	1525	2490	-1	D			YP_008126539.1	YP_008126539.1 virion structural protein [Halorubrum virus CGphi46]	True	0.945	639.0	4.7850000000000005e-207								Phage capsid family [PF05065.16]	VOG01409	sp|P25477|CAPSD_BPP2 Capsid proteins; XhXs	Xh;Xs	0	False	VF
HQ332141.1_5	HQ332141	HQ332141.1	5	2490	3761	-1	D			YP_008126540.1	YP_008126540.1 hypothetical protein HALG_00005 [Halorubrum virus CGphi46]	True	0.944	840.0	9.095e-275								Putative phage serine protease XkdF [PF14550.9]	VOG06381	REFSEQ XkdF-like putative serine protease domain-containing protein; Xu	Xu	0	False	F
HQ332141.1_6	HQ332141	HQ332141.1	6	3774	3896	-1	E																				0	False	F
HQ332141.1_7	HQ332141	HQ332141.1	7	4128	6011	-1	D			YP_008126541.1	YP_008126541.1 portal protein [Halorubrum virus CGphi46]	True	0.963	1222.0	0.0								Phage portal protein [PF04860.15]; KTSC domain [PF13619.9]	VOG25223	REFSEQ portal protein; Xu	Xu	0	False	F
HQ332141.1_8	HQ332141	HQ332141.1	8	6013	7524	-1	E			YP_008126542.1	YP_008126542.1 hypothetical protein HALG_00007 [Halorubrum virus CGphi46]	True	0.969	1028.0	0.0									VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	
HQ332141.1_9	HQ332141	HQ332141.1	9	7521	8072	-1	D			YP_008126543.1	YP_008126543.1 terminase small subunit [Halorubrum virus CGphi46]	True	0.937	362.0	9.601e-114								Helix-hairpin-helix domain [PF14520.9]; Helix-hairpin-helix motif [PF12826.10]	VOG00189	REFSEQ terminase small subunit; Xu	Xu	0	False	
HQ332141.1_10	HQ332141	HQ332141.1	10	8065	8382	-1	E			YP_008126544.1	YP_008126544.1 hypothetical protein HALG_00009 [Halorubrum virus CGphi46]	False	0.942	210.0	1.403e-62									VOG14650	REFSEQ hypothetical protein; Xu	Xu	0	False	
