	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000784.1_1	QGNH01000784.1	QGNH01000784.1	1	3	1397	-1	E											0	False	F
QGNH01000784.1_2	QGNH01000784.1	QGNH01000784.1	2	1403	2659	-1	E											0	False	F
QGNH01000784.1_3	QGNH01000784.1	QGNH01000784.1	3	2666	4027	-1	E											0	False	F
QGNH01000784.1_4	QGNH01000784.1	QGNH01000784.1	4	4027	4359	-1	E											0	False	F
QGNH01000784.1_5	QGNH01000784.1	QGNH01000784.1	5	4302	4676	-1	E											0	False	F
QGNH01000784.1_6	QGNH01000784.1	QGNH01000784.1	6	4688	5278	-1	E											0	False	F
QGNH01000784.1_7	QGNH01000784.1	QGNH01000784.1	7	5289	5522	-1	E											0	False	
QGNH01000784.1_8	QGNH01000784.1	QGNH01000784.1	8	5527	5655	-1	E											0	False	
QGNH01000784.1_9	QGNH01000784.1	QGNH01000784.1	9	5706	6191	-1	E											0	False	
QGNH01000784.1_10	QGNH01000784.1	QGNH01000784.1	10	6195	7838	-1	D							Abhydrolase family [PF12715.10]				0	False	
QGNH01000784.1_11	QGNH01000784.1	QGNH01000784.1	11	7844	8221	-1	E											0	False	
QGNH01000784.1_12	QGNH01000784.1	QGNH01000784.1	12	8307	8675	-1	E											0	False	
QGNH01000784.1_13	QGNH01000784.1	QGNH01000784.1	13	8745	9890	-1	E											0	False	
QGNH01000784.1_14	QGNH01000784.1	QGNH01000784.1	14	9911	10996	-1	E											0	False	
QGNH01000784.1_15	QGNH01000784.1	QGNH01000784.1	15	11008	11409	-1	E											0	False	
QGNH01000784.1_16	QGNH01000784.1	QGNH01000784.1	16	11406	11732	-1	E											0	False	
QGNH01000784.1_17	QGNH01000784.1	QGNH01000784.1	17	11729	13588	-1	E											0	False	
QGNH01000784.1_18	QGNH01000784.1	QGNH01000784.1	18	13593	15011	-1	E	YP_006990480.1	YP_006990480.1 DEAD/DEAH box helicase family protein [Clostridium phage phiMMP02]	False	126.0	6.724999999999998e-29	0.232					0	False	
QGNH01000784.1_19	QGNH01000784.1	QGNH01000784.1	19	14989	15342	-1	E											0	False	
QGNH01000784.1_20	QGNH01000784.1	QGNH01000784.1	20	15420	15659	-1	E											0	False	F
QGNH01000784.1_21	QGNH01000784.1	QGNH01000784.1	21	15656	15922	-1	E											0	False	F
QGNH01000784.1_22	QGNH01000784.1	QGNH01000784.1	22	15919	16188	-1	E											0	False	F
QGNH01000784.1_23	QGNH01000784.1	QGNH01000784.1	23	16206	16751	-1	E											0	False	F
QGNH01000784.1_24	QGNH01000784.1	QGNH01000784.1	24	16855	17232	1	D							Bacterial regulatory proteins, luxR family [PF00196.22]				0	False	F
QGNH01000784.1_25	QGNH01000784.1	QGNH01000784.1	25	17236	17931	-1	E											0	False	F
QGNH01000784.1_26	QGNH01000784.1	QGNH01000784.1	26	18139	18417	-1	E											0	False	F
QGNH01000784.1_27	QGNH01000784.1	QGNH01000784.1	27	18420	18617	-1	E											0	False	F
QGNH01000784.1_28	QGNH01000784.1	QGNH01000784.1	28	18730	20076	-1	E											0	False	F
QGNH01000784.1_29	QGNH01000784.1	QGNH01000784.1	29	20160	20444	-1	E											0	False	F
