	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000783.1_1	QGNH01000783.1	QGNH01000783.1	1	39	218	1	E													0	False	F
QGNH01000783.1_2	QGNH01000783.1	QGNH01000783.1	2	194	544	1	E													0	False	F
QGNH01000783.1_3	QGNH01000783.1	QGNH01000783.1	3	546	929	1	E													0	False	F
QGNH01000783.1_4	QGNH01000783.1	QGNH01000783.1	4	940	1302	1	E			YP_007007097.1	YP_007007097.1 endonuclease [Bdellovibrio phage phi1422]	False	0.542	108.0	1.017e-26					0	False	F
QGNH01000783.1_5	QGNH01000783.1	QGNH01000783.1	5	1287	3779	1	D			YP_007007102.1	YP_007007102.1 DNA primase [Bdellovibrio phage phi1422]	True	0.488	747.0	3.851e-235	Toprim domain [PF13362.9]	VOG00749	sp|P10277|PRIM_BPP4 Putative P4-specific DNA primase; XhXr	Xr;Xh	0	False	VF
QGNH01000783.1_6	QGNH01000783.1	QGNH01000783.1	6	4120	4485	1	E													0	False	F
QGNH01000783.1_7	QGNH01000783.1	QGNH01000783.1	7	4535	5107	1	C	K07474	phage terminase small subunit							Terminase small subunit [PF03592.19]	VOG01634	sp|P68928|TERS_BPSF6 Terminase small subunit; Xr	Xr	0	False	VF
QGNH01000783.1_8	QGNH01000783.1	QGNH01000783.1	8	5064	6686	1	E			YP_009797323.1	YP_009797323.1 terminase large subunit [Faecalibacterium phage FP_Mushu]	False	0.312	240.0	6.627999999999999e-66		VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xr;Xh	0	False	V
QGNH01000783.1_9	QGNH01000783.1	QGNH01000783.1	9	6686	7198	1	E													0	False	
QGNH01000783.1_10	QGNH01000783.1	QGNH01000783.1	10	7198	8694	1	E										VOG00109	sp|Q05220|PORTL_BPML5 Portal protein; XpXrXs	Xs;Xr;Xp	0	False	V
QGNH01000783.1_11	QGNH01000783.1	QGNH01000783.1	11	8825	9076	1	E													0	False	
QGNH01000783.1_12	QGNH01000783.1	QGNH01000783.1	12	9073	9819	1	E													0	False	
QGNH01000783.1_13	QGNH01000783.1	QGNH01000783.1	13	9816	10337	1	E													0	False	
QGNH01000783.1_14	QGNH01000783.1	QGNH01000783.1	14	10334	11206	1	E													0	False	
QGNH01000783.1_15	QGNH01000783.1	QGNH01000783.1	15	11292	12014	1	E													0	False	
QGNH01000783.1_16	QGNH01000783.1	QGNH01000783.1	16	12027	12947	1	E			YP_009831872.1	YP_009831872.1 major head protein [Streptomyces phage BRock]	False	0.2	64.0	9.394e-10		VOG08005	sp|A0A0H5AXT3|CAPSD_BPK21 Major capsid protein; Xs	Xs	0	False	V
QGNH01000783.1_17	QGNH01000783.1	QGNH01000783.1	17	12958	13353	1	E													0	False	
QGNH01000783.1_18	QGNH01000783.1	QGNH01000783.1	18	13417	13593	1	E													0	False	
QGNH01000783.1_19	QGNH01000783.1	QGNH01000783.1	19	13565	13918	1	E													0	False	
QGNH01000783.1_20	QGNH01000783.1	QGNH01000783.1	20	13915	14370	1	E													0	False	
QGNH01000783.1_21	QGNH01000783.1	QGNH01000783.1	21	14384	14632	1	E													0	False	
QGNH01000783.1_22	QGNH01000783.1	QGNH01000783.1	22	14632	15195	1	E													0	False	
QGNH01000783.1_23	QGNH01000783.1	QGNH01000783.1	23	15192	15332	1	E													0	False	
QGNH01000783.1_24	QGNH01000783.1	QGNH01000783.1	24	15333	15836	1	E													0	False	F
QGNH01000783.1_25	QGNH01000783.1	QGNH01000783.1	25	15833	16327	1	E													0	False	F
QGNH01000783.1_26	QGNH01000783.1	QGNH01000783.1	26	16324	16785	1	E													0	False	F
QGNH01000783.1_27	QGNH01000783.1	QGNH01000783.1	27	16778	17380	1	E													0	False	F
QGNH01000783.1_28	QGNH01000783.1	QGNH01000783.1	28	17426	18877	1	E													0	False	F
QGNH01000783.1_29	QGNH01000783.1	QGNH01000783.1	29	18887	19315	1	E													0	False	F
QGNH01000783.1_30	QGNH01000783.1	QGNH01000783.1	30	19347	19718	1	E													0	False	F
QGNH01000783.1_31	QGNH01000783.1	QGNH01000783.1	31	19739	19837	1	E													0	False	F
QGNH01000783.1_32	QGNH01000783.1	QGNH01000783.1	32	19834	20631	1	E													0	False	F
