	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000067.1_1	QGNH01000067.1	QGNH01000067.1	1	33	455	-1	E											0	False	F
QGNH01000067.1_2	QGNH01000067.1	QGNH01000067.1	2	471	1211	-1	E											0	False	F
QGNH01000067.1_3	QGNH01000067.1	QGNH01000067.1	3	1242	2279	-1	E											0	False	F
QGNH01000067.1_4	QGNH01000067.1	QGNH01000067.1	4	2284	3300	-1	E											0	False	F
QGNH01000067.1_5	QGNH01000067.1	QGNH01000067.1	5	3304	3786	-1	E											0	False	F
QGNH01000067.1_6	QGNH01000067.1	QGNH01000067.1	6	3783	5375	-1	E											0	False	F
QGNH01000067.1_7	QGNH01000067.1	QGNH01000067.1	7	5381	6649	-1	D	YP_009604368.1	YP_009604368.1 terminase large subunit [Pseudomonas phage phiR18]	False	163.0	2.267e-41	0.279	Terminase RNaseH-like domain [PF17289.5]	VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xh;Xr	0	False	VF
QGNH01000067.1_8	QGNH01000067.1	QGNH01000067.1	8	6862	7515	-1	E											0	False	F
QGNH01000067.1_9	QGNH01000067.1	QGNH01000067.1	9	8531	8752	1	E											0	False	F
QGNH01000067.1_10	QGNH01000067.1	QGNH01000067.1	10	8945	9154	1	E											0	False	F
QGNH01000067.1_11	QGNH01000067.1	QGNH01000067.1	11	9270	9512	1	E											0	False	F
QGNH01000067.1_12	QGNH01000067.1	QGNH01000067.1	12	9630	9818	1	E											0	False	F
QGNH01000067.1_13	QGNH01000067.1	QGNH01000067.1	13	9900	10106	1	E											0	False	F
QGNH01000067.1_14	QGNH01000067.1	QGNH01000067.1	14	10164	10718	1	E											0	False	F
