	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001854.1_1	QGNH01001854.1	QGNH01001854.1	1	29	940	-1	D							Transglycosylase SLT domain [PF01464.23]								0	False	F
QGNH01001854.1_2	QGNH01001854.1	QGNH01001854.1	2	1491	2456	-1	D							Glycosyl transferase family 2 [PF00535.29]; Glycosyltransferase like family 2 [PF13641.9]	GT2_Glycos_transf_2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289); alternating beta-1,3/4-N-acetylmannan synthase (2.4.1.-); UDP-GlcA: N-acetylglucosaminyl-proteoglycan beta-1,4-glucuronosyltransferase (EC 2.4.1.225); [inverting] UDP-Glc: glycocin S-beta-glucosyltransferase (EC 2.4.1.-); [inverting] UDP-Glc: protein O-beta-glucosyltransferase (EC 2.4.1.-)		GT2_Glycos_transf_2.hmm				0	False	MF
QGNH01001854.1_3	QGNH01001854.1	QGNH01001854.1	3	2865	4472	-1	D							PAS domain [PF13426.10]; PAS fold [PF08448.13]; PAS fold [PF00989.28]; Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.29]; His Kinase A (phospho-acceptor) domain [PF00512.28]; PAS fold [PF08447.15]; PAS domain [PF13596.9]; PAS fold [PF12860.10]; PAS domain [PF13188.10]								0	False	F
QGNH01001854.1_4	QGNH01001854.1	QGNH01001854.1	4	4475	4651	-1	E															0	False	F
QGNH01001854.1_5	QGNH01001854.1	QGNH01001854.1	5	4782	5162	1	D							Bacterial Ig-like domain (group 2) [PF02368.21]								0	False	F
QGNH01001854.1_6	QGNH01001854.1	QGNH01001854.1	6	5304	6596	1	D	YP_010114609.1	YP_010114609.1 capsid assembly protein [Flavobacterium phage vB_FspM_immuto_2-6A]	False	0.269	102.0	2.153e-21	Bacteriophage T4-like portal protein (Gp20) [PF07230.14]								0	False	F
QGNH01001854.1_7	QGNH01001854.1	QGNH01001854.1	7	6583	6807	1	E															0	False	F
QGNH01001854.1_8	QGNH01001854.1	QGNH01001854.1	8	7116	8342	1	D	YP_009102188.1	YP_009102188.1 capsid maturation protease [Escherichia phage 121Q]	False	0.283	67.0	1.559e-10	Prohead core protein serine protease [PF03420.16]								0	False	F
QGNH01001854.1_9	QGNH01001854.1	QGNH01001854.1	9	8542	9633	1	E	YP_009594797.1	YP_009594797.1 major head protein [Pectinobacterium phage vB_PcaM_CBB]	False	0.207	84.0	6.5e-16						VOG00452	sp|P04535|CAPSH_BPT4 Major capsid protein; XhXs	Xs;Xh	0	False	VF
QGNH01001854.1_10	QGNH01001854.1	QGNH01001854.1	10	9664	10047	1	E															0	False	F
