	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
MZ334518.1_1	MZ334518	MZ334518.1	1	66	359	1	E													0	False	F
MZ334518.1_2	MZ334518	MZ334518.1	2	898	1785	1	E			YP_008059985.1	YP_008059985.1 terminase small subunit [Halorubrum tailed phage 7]	True	0.974	608.0	9.192e-197		VOG05559	REFSEQ terminase small subunit; Xu	Xu	0	False	F
MZ334518.1_3	MZ334518	MZ334518.1	3	1775	2065	1	E			YP_008059986.1	YP_008059986.1 hypothetical protein M193_gp002 [Halorubrum tailed phage 7]	False	1.0	210.0	9.016e-63		VOG04981	REFSEQ hypothetical protein; Xu	Xu	0	False	F
MZ334518.1_4	MZ334518	MZ334518.1	4	2072	2194	1	E			YP_008059987.1	YP_008059987.1 hypothetical protein M193_gp003 [Halorubrum tailed phage 7]	False	0.967	84.0	3.965e-20					0	False	F
MZ334518.1_5	MZ334518	MZ334518.1	5	2187	2516	1	E			YP_007379083.1	YP_007379083.1 hypothetical protein HSTV2_4 [Halorubrum sodomense tailed virus 2]	False	0.951	220.0	4.603e-66					0	False	F
MZ334518.1_6	MZ334518	MZ334518.1	6	2769	2978	1	E			YP_008059990.1	YP_008059990.1 hypothetical protein M193_gp006 [Halorubrum tailed phage 7]	False	0.964	142.0	7.332e-40					0	False	F
MZ334518.1_7	MZ334518	MZ334518.1	7	2991	4763	1	D			YP_007379086.1	YP_007379086.1 terminase large subunit [Halorubrum sodomense tailed virus 2]	True	0.952	1182.0	0.0	Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]	VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
MZ334518.1_8	MZ334518	MZ334518.1	8	4770	6287	1	E			YP_008059992.1	YP_008059992.1 portal protein [Halorubrum tailed phage 7]	True	0.948	1007.0	0.0		VOG00562	sp|P44225|VG29_HAEIN Mu-like prophage FluMu protein gp29; Xu	Xu	0	False	F
MZ334518.1_9	MZ334518	MZ334518.1	9	6290	6574	1	E			YP_008059993.1	YP_008059993.1 hypothetical protein M193_gp009 [Halorubrum tailed phage 7]	False	0.888	176.0	3.842e-51					0	False	
MZ334518.1_10	MZ334518	MZ334518.1	10	6571	7731	1	E			YP_007379089.1	YP_007379089.1 hypothetical protein HSTV2_10 [Halorubrum sodomense tailed virus 2]	True	0.97	791.0	2.0530000000000002e-258		VOG14382	REFSEQ head maturation protease; Xu	Xu	0	False	
MZ334518.1_11	MZ334518	MZ334518.1	11	7740	8213	1	E			YP_008059995.1	YP_008059995.1 hypothetical protein M193_gp011 [Halorubrum tailed phage 7]	False	0.924	306.0	8.042e-95					0	False	
MZ334518.1_12	MZ334518	MZ334518.1	12	8217	8753	1	E			YP_008059996.1	YP_008059996.1 hypothetical protein M193_gp012 [Halorubrum tailed phage 7]	True	0.947	356.0	6.272e-112		VOG14381	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334518.1_13	MZ334518	MZ334518.1	13	8800	9774	1	E			YP_008059997.1	YP_008059997.1 major head protein [Halorubrum tailed phage 7]	True	0.975	668.0	5.615e-217		VOG01973	REFSEQ major head protein; Xu	Xu	0	False	
MZ334518.1_14	MZ334518	MZ334518.1	14	9788	10264	1	E			YP_008059998.1	YP_008059998.1 hypothetical protein M193_gp014 [Halorubrum tailed phage 7]	False	0.963	322.0	1.475e-100		VOG14383	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334518.1_15	MZ334518	MZ334518.1	15	10251	10640	1	E			YP_007379094.1	YP_007379094.1 hypothetical protein HSTV2_15 [Halorubrum sodomense tailed virus 2]	False	0.991	272.0	9.447000000000001e-84					0	False	
MZ334518.1_16	MZ334518	MZ334518.1	16	10647	12119	1	E			YP_008060000.1	YP_008060000.1 hypothetical protein M193_gp016 [Halorubrum tailed phage 7]	True	0.984	1019.0	0.0					0	False	
MZ334518.1_17	MZ334518	MZ334518.1	17	12109	12339	1	E			YP_008060001.1	YP_008060001.1 hypothetical protein M193_gp017 [Halorubrum tailed phage 7]	False	1.0	167.0	3.1230000000000003e-48					0	False	
MZ334518.1_18	MZ334518	MZ334518.1	18	12340	12555	1	E			YP_008060002.1	YP_008060002.1 hypothetical protein M193_gp018 [Halorubrum tailed phage 7]	False	0.965	147.0	2.491e-41		VOG05018	REFSEQ hypothetical protein; Xu	Xu	0	False	
MZ334518.1_19	MZ334518	MZ334518.1	19	12559	13071	1	E			YP_007379098.1	YP_007379098.1 tail tube protein [Halorubrum sodomense tailed virus 2]	False	0.958	345.0	4.035e-108		VOG04913	REFSEQ tail tube protein; Xu	Xu	0	False	
MZ334518.1_20	MZ334518	MZ334518.1	20	13079	14392	1	E			YP_007379099.1	YP_007379099.1 tail sheath [Halorubrum sodomense tailed virus 2]	True	0.911	833.0	3.688e-272		VOG01001	sp|P85225|VPN1_BPPHE Putative tail sheath protein; Xs	Xs	0	False	V
MZ334518.1_21	MZ334518	MZ334518.1	21	14421	14942	1	E			YP_007379100.1	YP_007379100.1 tail tube protein [Halorubrum sodomense tailed virus 2]	False	0.921	336.0	6.6049999999999995e-105		VOG14384	REFSEQ tail tube protein; Xu	Xu	0	False	
MZ334518.1_22	MZ334518	MZ334518.1	22	14982	15515	1	E			YP_007379102.1	YP_007379102.1 tail assembly chaperone [Halorubrum sodomense tailed virus 2]	False	0.905	336.0	4.248e-105		VOG04953	REFSEQ tail assembly chaperone; Xu	Xu	0	False	
MZ334518.1_23	MZ334518	MZ334518.1	23	15544	15813	1	E			YP_008060007.1	YP_008060007.1 tail assembly chaperone [Halorubrum tailed phage 7]	False	0.902	170.0	4.741e-49					0	False	
