	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	heme_regulatory_motif_count
NC_073443_NC_073443_1	NC_073443	NC_073443	1	71	625	1	D										HNH endonuclease [PF14279.9]; HNH endonuclease [PF13395.9]; HNH endonuclease [PF01844.26]	0
NC_073443_NC_073443_2	NC_073443	NC_073443	2	618	833	1	E											0
NC_073443_NC_073443_3	NC_073443	NC_073443	3	833	1156	1	E											0
NC_073443_NC_073443_4	NC_073443	NC_073443	4	1160	2782	1	D										Terminase large subunit, ATPase domain [PF03354.18]; Terminase large subunit, endonuclease domain [PF20441.1]	0
NC_073443_NC_073443_5	NC_073443	NC_073443	5	2794	4818	1	D										Phage portal protein [PF04860.15]	0
NC_073443_NC_073443_6	NC_073443	NC_073443	6	4818	5570	1	C	K06904	uncharacterized protein	MER0322996	S78	MER0322996 - prohead peptidase (bacteriophage HK97) () [S78.001]#S78#{peptidase unit: 20-177}~source AEN79866~	False	0.597	182.0	5.462e-50	Caudovirus prohead serine protease [PF04586.20]	0
NC_073443_NC_073443_7	NC_073443	NC_073443	7	5607	6788	1	D										Phage capsid family [PF05065.16]	0
NC_073443_NC_073443_8	NC_073443	NC_073443	8	6883	7224	1	E											0
NC_073443_NC_073443_9	NC_073443	NC_073443	9	7259	7819	1	E											0
NC_073443_NC_073443_10	NC_073443	NC_073443	10	7819	8148	1	E											0
NC_073443_NC_073443_11	NC_073443	NC_073443	11	8148	8405	1	E											0
NC_073443_NC_073443_12	NC_073443	NC_073443	12	8405	8800	1	E											0
NC_073443_NC_073443_13	NC_073443	NC_073443	13	8814	9611	1	E											0
NC_073443_NC_073443_14	NC_073443	NC_073443	14	9737	10045	1	E											0
NC_073443_NC_073443_15	NC_073443	NC_073443	15	10087	10428	1	D										Family of unknown function (DUF5361) [PF17318.5]	0
NC_073443_NC_073443_16	NC_073443	NC_073443	16	10780	13539	1	D										Peptidase M15 [PF08291.14]; Bacterial protein of unknown function (DUF882) [PF05951.16]	0
NC_073443_NC_073443_17	NC_073443	NC_073443	17	13536	14390	1	D										Phage tail protein [PF05709.14]	0
NC_073443_NC_073443_18	NC_073443	NC_073443	18	14390	16360	1	D										Siphovirus ReqiPepy6 Gp37-like protein [PF14594.9]	0
NC_073443_NC_073443_19	NC_073443	NC_073443	19	16353	16526	1	E											0
NC_073443_NC_073443_20	NC_073443	NC_073443	20	16526	17614	1	E											0
NC_073443_NC_073443_21	NC_073443	NC_073443	21	17624	18427	1	E											0
NC_073443_NC_073443_22	NC_073443	NC_073443	22	18439	19188	1	C	K07260	zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]	MER0838024	M15B	MER0838024 - DD-carboxypeptidase pdcA ({Myxococcus}-type) (Myxococcus sp.) [M15.002]#M15B#{peptidase unit: 197-300}~source U2SHA2~	False	0.34	71.0	3.896e-12	D-alanyl-D-alanine carboxypeptidase [PF02557.20]	0
NC_073443_NC_073443_23	NC_073443	NC_073443	23	19194	19676	1	E											0
NC_073443_NC_073443_24	NC_073443	NC_073443	24	19687	20028	1	E											0
NC_073443_NC_073443_25	NC_073443	NC_073443	25	20032	20259	1	E											0
NC_073443_NC_073443_26	NC_073443	NC_073443	26	20454	21050	1	E											0
NC_073443_NC_073443_27	NC_073443	NC_073443	27	21061	21717	1	D										Domain of unknown function (DUF6378) [PF19905.2]	0
NC_073443_NC_073443_28	NC_073443	NC_073443	28	21714	21860	1	E											0
NC_073443_NC_073443_29	NC_073443	NC_073443	29	21925	22797	1	E											0
NC_073443_NC_073443_30	NC_073443	NC_073443	30	22794	23177	1	E											0
NC_073443_NC_073443_31	NC_073443	NC_073443	31	23291	23827	1	D										Phosphoribosyl-ATP pyrophosphohydrolase [PF01503.20]	1
NC_073443_NC_073443_32	NC_073443	NC_073443	32	23824	24333	1	E											0
NC_073443_NC_073443_33	NC_073443	NC_073443	33	24349	25098	1	D										Recombination directionality factor-like [PF18897.3]	0
NC_073443_NC_073443_34	NC_073443	NC_073443	34	25255	25344	-1	E											0
NC_073443_NC_073443_35	NC_073443	NC_073443	35	25344	25643	-1	E											0
NC_073443_NC_073443_36	NC_073443	NC_073443	36	25717	25947	1	D										Glutaredoxin [PF00462.27]	0
NC_073443_NC_073443_37	NC_073443	NC_073443	37	25947	26273	1	E											0
NC_073443_NC_073443_38	NC_073443	NC_073443	38	26303	26596	1	E											0
NC_073443_NC_073443_39	NC_073443	NC_073443	39	26679	27062	1	E											0
NC_073443_NC_073443_40	NC_073443	NC_073443	40	27062	27247	1	E											0
NC_073443_NC_073443_41	NC_073443	NC_073443	41	27367	29841	1	C	K06919	putative DNA primase/helicase								D5 N terminal like [PF08706.14]; Family of unknown function (DUF5906) [PF19263.2]; Toprim-like [PF13155.9]	0
NC_073443_NC_073443_42	NC_073443	NC_073443	42	29838	31712	1	D										DNA polymerase family A [PF00476.23]; 3'-5' exonuclease [PF01612.23]	0
NC_073443_NC_073443_43	NC_073443	NC_073443	43	31712	31912	1	E											0
NC_073443_NC_073443_44	NC_073443	NC_073443	44	31909	32211	1	E											0
NC_073443_NC_073443_45	NC_073443	NC_073443	45	32211	32930	1	D										Sigma-70, region 4 [PF04545.19]; Helix-turn-helix domain [PF12645.10]	0
NC_073443_NC_073443_46	NC_073443	NC_073443	46	32927	33139	-1	E											0
NC_073443_NC_073443_47	NC_073443	NC_073443	47	33375	33776	1	D										ParB/Sulfiredoxin domain [PF02195.21]	0
NC_073443_NC_073443_48	NC_073443	NC_073443	48	33773	34207	1	E											0
NC_073443_NC_073443_49	NC_073443	NC_073443	49	34212	34643	1	E											0
NC_073443_NC_073443_50	NC_073443	NC_073443	50	34708	35106	1	D										HNH endonuclease [PF14279.9]; HNH endonuclease [PF13395.9]; HNH endonuclease [PF01844.26]	0
NC_073443_NC_073443_51	NC_073443	NC_073443	51	35265	35582	1	E											0
NC_073443_NC_073443_52	NC_073443	NC_073443	52	35579	35737	1	E											0
NC_073443_NC_073443_53	NC_073443	NC_073443	53	35790	36290	1	E											0
NC_073443_NC_073443_54	NC_073443	NC_073443	54	36354	36662	1	E											0
NC_073443_NC_073443_55	NC_073443	NC_073443	55	36652	37224	1	C	K00287	dihydrofolate reductase [EC:1.5.1.3]								Dihydrofolate reductase [PF00186.22]	0
NC_073443_NC_073443_56	NC_073443	NC_073443	56	37221	37535	1	E											0
NC_073443_NC_073443_57	NC_073443	NC_073443	57	37535	37918	1	E											0
NC_073443_NC_073443_58	NC_073443	NC_073443	58	37915	38838	1	C	K00560	thymidylate synthase [EC:2.1.1.45]								Thymidylate synthase [PF00303.22]	0
NC_073443_NC_073443_59	NC_073443	NC_073443	59	38853	39077	1	E											0
NC_073443_NC_073443_60	NC_073443	NC_073443	60	39077	39271	1	E											0
NC_073443_NC_073443_61	NC_073443	NC_073443	61	39415	39555	1	E											0
NC_073443_NC_073443_62	NC_073443	NC_073443	62	39548	39754	1	E											0
NC_073443_NC_073443_63	NC_073443	NC_073443	63	39754	39936	1	E											0
