	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000012.1_1	QGNH01000012.1	QGNH01000012.1	1	47	322	1	E					0	False	F
QGNH01000012.1_2	QGNH01000012.1	QGNH01000012.1	2	355	753	1	E					0	False	F
QGNH01000012.1_3	QGNH01000012.1	QGNH01000012.1	3	750	1199	1	E					0	False	F
QGNH01000012.1_4	QGNH01000012.1	QGNH01000012.1	4	1239	1670	1	D	Lambda phage tail tube protein, TTP [PF16461.8]				0	False	F
QGNH01000012.1_5	QGNH01000012.1	QGNH01000012.1	5	1685	2062	1	E					0	False	F
QGNH01000012.1_6	QGNH01000012.1	QGNH01000012.1	6	2276	5581	1	D	Tape measure protein [PF20155.2]				0	False	F
QGNH01000012.1_7	QGNH01000012.1	QGNH01000012.1	7	5578	9726	1	E					0	False	F
QGNH01000012.1_8	QGNH01000012.1	QGNH01000012.1	8	9749	10000	1	E					0	False	F
QGNH01000012.1_9	QGNH01000012.1	QGNH01000012.1	9	9997	10542	1	E					0	False	F
QGNH01000012.1_10	QGNH01000012.1	QGNH01000012.1	10	10562	10750	1	E					0	False	F
QGNH01000012.1_11	QGNH01000012.1	QGNH01000012.1	11	10752	11390	1	E					0	False	F
QGNH01000012.1_12	QGNH01000012.1	QGNH01000012.1	12	11405	11662	1	E					0	False	F
QGNH01000012.1_13	QGNH01000012.1	QGNH01000012.1	13	12183	12644	1	E					0	False	F
QGNH01000012.1_14	QGNH01000012.1	QGNH01000012.1	14	12667	13164	1	E					0	False	F
