Target Name	ID	EC value	E-Value (sequence)	Score (domain)
strain_GIC31_complete_genome_2069	COG0001		3.2e-251	833.2
strain_GIC31_complete_genome_2298	COG0001		1.2e-217	722.1
strain_GIC31_complete_genome_2638	COG0002		9.3e-125	411.5
strain_GIC31_complete_genome_684	COG0003		9.4e-141	303.8
strain_GIC31_complete_genome_684	COG0003		9.4e-141	125.3
strain_GIC31_complete_genome_2250	COG0004		3.6e-136	451.7
strain_GIC31_complete_genome_1240	COG0005		1.5e-108	359.9
strain_GIC31_complete_genome_1164	COG0006		2.5e-139	462.2
strain_GIC31_complete_genome_1016	COG0006		7.8e-127	421.0
strain_GIC31_complete_genome_55	COG0008		1.9e-176	585.4
strain_GIC31_complete_genome_400	COG0009		1.1e-125	417.2
strain_GIC31_complete_genome_353	COG0010		9.4e-100	331.4
strain_GIC31_complete_genome_116	COG0010		6e-72	239.7
strain_GIC31_complete_genome_2941	COG0012		1.6e-178	588.4
strain_GIC31_complete_genome_1985	COG0013		0	1240.1
strain_GIC31_complete_genome_2493	COG0015		1.7e-186	615.8
strain_GIC31_complete_genome_1053	COG0016		1.6e-165	548.8
strain_GIC31_complete_genome_1681	COG0017		6.1e-182	602.4
strain_GIC31_complete_genome_2666	COG0018		2.7e-181	599.2
strain_GIC31_complete_genome_2450	COG0019		1e-139	461.4
strain_GIC31_complete_genome_1758	COG0020		3.5e-126	419.1
strain_GIC31_complete_genome_1283	COG0021		0	1075.0
strain_GIC31_complete_genome_1185	COG0022		3.7e-174	578.2
strain_GIC31_complete_genome_1920	COG0022		3e-170	565.3
strain_GIC31_complete_genome_99	COG0024		5.6e-134	443.3
strain_GIC31_complete_genome_2351	COG0024		1.2e-94	313.8
strain_GIC31_complete_genome_2494	COG0026		9.2e-153	503.9
strain_GIC31_complete_genome_2023	COG0029		1.7e-138	459.9
strain_GIC31_complete_genome_15	COG0030		1.4e-107	356.7
strain_GIC31_complete_genome_36	COG0031		8.2e-154	509.9
strain_GIC31_complete_genome_1084	COG0031		1.3e-125	416.8
strain_GIC31_complete_genome_2488	COG0034		2e-217	718.0
strain_GIC31_complete_genome_413	COG0035		8.1e-106	349.6
strain_GIC31_complete_genome_1832	COG0036		3.4e-127	422.7
strain_GIC31_complete_genome_30	COG0037		4.4e-80	267.1
strain_GIC31_complete_genome_1030	COG0039		1.4e-140	465.7
strain_GIC31_complete_genome_1137	COG0039		1.4e-137	455.8
strain_GIC31_complete_genome_900	COG0039		1.3e-120	399.8
strain_GIC31_complete_genome_1650	COG0040		6.5e-76	253.3
strain_GIC31_complete_genome_2495	COG0041		1.5e-98	325.9
strain_GIC31_complete_genome_43	COG0042		2e-128	425.5
strain_GIC31_complete_genome_724	COG0042		1.7e-87	290.6
strain_GIC31_complete_genome_1852	COG0044		1.2e-165	548.9
strain_GIC31_complete_genome_1803	COG0045		2.7e-193	639.8
strain_GIC31_complete_genome_2489	COG0046		0	1120.8
strain_GIC31_complete_genome_2490	COG0047		5.7e-105	347.4
strain_GIC31_complete_genome_71	COG0048		1.1e-73	244.1
strain_GIC31_complete_genome_72	COG0049		6.9e-79	260.7
strain_GIC31_complete_genome_74	COG0050		1.2e-262	870.5
strain_GIC31_complete_genome_76	COG0051		3.1e-57	189.4
strain_GIC31_complete_genome_1762	COG0052		2.8e-138	457.7
strain_GIC31_complete_genome_1549	COG0053		6.5e-93	308.7
strain_GIC31_complete_genome_706	COG0054		1.5e-77	256.4
strain_GIC31_complete_genome_427	COG0055		7.7e-258	853.5
strain_GIC31_complete_genome_425	COG0056		2.2e-273	905.8
strain_GIC31_complete_genome_1037	COG0057		3.1e-182	604.4
strain_GIC31_complete_genome_845	COG0057		1.7e-173	575.6
strain_GIC31_complete_genome_2276	COG0058		3.6e-245	812.8
strain_GIC31_complete_genome_1858	COG0060		0	1234.8
strain_GIC31_complete_genome_1952	COG0061		6.6e-78	259.9
strain_GIC31_complete_genome_1006	COG0061		4e-63	211.1
strain_GIC31_complete_genome_1119	COG0063		3.8e-138	458.2
strain_GIC31_complete_genome_716	COG0064		4.8e-256	849.8
strain_GIC31_complete_genome_532	COG0069		1.2e-124	414.2
strain_GIC31_complete_genome_1585	COG0070		0	2120.6
strain_GIC31_complete_genome_287	COG0071		8.1e-36	120.8
strain_GIC31_complete_genome_1054	COG0072		0	1021.1
strain_GIC31_complete_genome_986	COG0072		1.7e-43	145.4
strain_GIC31_complete_genome_1802	COG0074		1e-159	529.7
strain_GIC31_complete_genome_274	COG0075		2.2e-56	188.4
strain_GIC31_complete_genome_254	COG0078		1.4e-157	522.9
strain_GIC31_complete_genome_2632	COG0078		2.5e-152	503.8
strain_GIC31_complete_genome_1648	COG0079		1.6e-98	327.5
strain_GIC31_complete_genome_1639	COG0079		6.9e-86	285.8
strain_GIC31_complete_genome_64	COG0080		1.6e-75	249.3
strain_GIC31_complete_genome_65	COG0081		4.3e-117	387.3
strain_GIC31_complete_genome_1705	COG0082		5.3e-151	500.3
strain_GIC31_complete_genome_12	COG0084		1.3e-115	382.5
strain_GIC31_complete_genome_69	COG0085		0	1825.7
strain_GIC31_complete_genome_70	COG0086		0	2211.2
strain_GIC31_complete_genome_77	COG0087		3.7e-98	325.4
strain_GIC31_complete_genome_78	COG0088		1.3e-102	339.4
strain_GIC31_complete_genome_79	COG0089		5.5e-45	149.8
strain_GIC31_complete_genome_80	COG0090		5.9e-136	449.1
strain_GIC31_complete_genome_82	COG0091		4.1e-61	203.5
strain_GIC31_complete_genome_83	COG0092		2.8e-109	361.7
strain_GIC31_complete_genome_87	COG0093		5.9e-60	197.6
strain_GIC31_complete_genome_89	COG0094		1.6e-98	326.0
strain_GIC31_complete_genome_2244	COG0095		2.5e-129	429.8
strain_GIC31_complete_genome_332	COG0095		4.4e-87	290.2
strain_GIC31_complete_genome_336	COG0095		4.3e-52	174.5
strain_GIC31_complete_genome_91	COG0096		4.8e-59	194.9
strain_GIC31_complete_genome_92	COG0097		2.7e-84	278.5
strain_GIC31_complete_genome_94	COG0098		7.2e-90	298.0
strain_GIC31_complete_genome_102	COG0099		1.5e-57	190.5
strain_GIC31_complete_genome_103	COG0100		8.2e-67	220.5
strain_GIC31_complete_genome_109	COG0101		7.7e-111	367.5
strain_GIC31_complete_genome_110	COG0102		5.4e-79	261.4
strain_GIC31_complete_genome_111	COG0103		1.8e-72	240.4
strain_GIC31_complete_genome_2934	COG0104		4.3e-203	670.1
strain_GIC31_complete_genome_1707	COG0105		2.3e-71	237.6
strain_GIC31_complete_genome_1645	COG0106		1.2e-84	280.5
strain_GIC31_complete_genome_1644	COG0107		5.5e-131	434.7
strain_GIC31_complete_genome_1898	COG0109		9.2e-110	364.8
strain_GIC31_complete_genome_1640	COG0110		3.4e-66	220.3
strain_GIC31_complete_genome_2183	COG0110		2.1e-63	211.2
strain_GIC31_complete_genome_504	COG0110		2.8e-54	181.1
