	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
MN901521_MN901521.1_1	MN901521	MN901521.1	1	2	286	1	E											0
MN901521_MN901521.1_2	MN901521	MN901521.1	2	454	912	-1	D										Halobacterial output domain 1 [PF18545.4]	0
MN901521_MN901521.1_3	MN901521	MN901521.1	3	1273	2049	1	E											0
MN901521_MN901521.1_4	MN901521	MN901521.1	4	2042	2305	1	E											0
MN901521_MN901521.1_5	MN901521	MN901521.1	5	2416	2523	1	E											0
MN901521_MN901521.1_6	MN901521	MN901521.1	6	2526	2720	1	E											0
MN901521_MN901521.1_7	MN901521	MN901521.1	7	2757	2963	1	E											0
MN901521_MN901521.1_8	MN901521	MN901521.1	8	3056	4747	1	E											0
MN901521_MN901521.1_9	MN901521	MN901521.1	9	4762	6201	1	E											0
MN901521_MN901521.1_10	MN901521	MN901521.1	10	6201	6491	1	E											0
MN901521_MN901521.1_11	MN901521	MN901521.1	11	6488	7255	1	E											0
MN901521_MN901521.1_12	MN901521	MN901521.1	12	7262	7690	1	E											0
MN901521_MN901521.1_13	MN901521	MN901521.1	13	7714	8229	1	E											0
MN901521_MN901521.1_14	MN901521	MN901521.1	14	8271	9227	1	E											0
MN901521_MN901521.1_15	MN901521	MN901521.1	15	9273	9713	1	E											0
MN901521_MN901521.1_16	MN901521	MN901521.1	16	9716	10051	1	E											0
MN901521_MN901521.1_17	MN901521	MN901521.1	17	10054	13167	1	E											0
MN901521_MN901521.1_18	MN901521	MN901521.1	18	13169	13390	1	E											0
MN901521_MN901521.1_19	MN901521	MN901521.1	19	13428	13934	1	E											0
MN901521_MN901521.1_20	MN901521	MN901521.1	20	13943	15235	1	E											0
MN901521_MN901521.1_21	MN901521	MN901521.1	21	15264	15806	1	E											0
MN901521_MN901521.1_22	MN901521	MN901521.1	22	15862	16332	1	E											0
MN901521_MN901521.1_23	MN901521	MN901521.1	23	16409	16645	1	E											0
MN901521_MN901521.1_24	MN901521	MN901521.1	24	16648	18468	1	E											0
MN901521_MN901521.1_25	MN901521	MN901521.1	25	18469	19002	1	E											0
MN901521_MN901521.1_26	MN901521	MN901521.1	26	18999	20441	1	E											0
MN901521_MN901521.1_27	MN901521	MN901521.1	27	20443	22326	1	E											0
MN901521_MN901521.1_28	MN901521	MN901521.1	28	22323	22694	1	E											0
MN901521_MN901521.1_29	MN901521	MN901521.1	29	22759	23085	1	E											0
MN901521_MN901521.1_30	MN901521	MN901521.1	30	23082	24317	1	D										Baseplate J-like protein [PF04865.17]	0
MN901521_MN901521.1_31	MN901521	MN901521.1	31	24322	24972	1	E											0
MN901521_MN901521.1_32	MN901521	MN901521.1	32	24976	26673	1	E											0
MN901521_MN901521.1_33	MN901521	MN901521.1	33	26680	27717	1	E											0
MN901521_MN901521.1_34	MN901521	MN901521.1	34	27717	28103	1	E											0
MN901521_MN901521.1_35	MN901521	MN901521.1	35	28124	28615	1	E											0
MN901521_MN901521.1_36	MN901521	MN901521.1	36	28631	29461	-1	D										Family of unknown function (DUF6065) [PF19541.2]	0
