	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001229.1_1	QGNH01001229.1	QGNH01001229.1	1	1	288	-1	E	YP_010059673.1	YP_010059673.1 metallopeptidase domain protein [Gordonia phage Stormageddon]	False	0.419	65.0	2.389e-12									0	False	F
QGNH01001229.1_2	QGNH01001229.1	QGNH01001229.1	2	1386	1751	1	E															0	False	F
QGNH01001229.1_3	QGNH01001229.1	QGNH01001229.1	3	1751	2113	1	E															0	False	F
QGNH01001229.1_4	QGNH01001229.1	QGNH01001229.1	4	2113	2472	1	E															0	False	F
QGNH01001229.1_5	QGNH01001229.1	QGNH01001229.1	5	2483	4084	1	E	YP_009823358.1	YP_009823358.1 putative terminase large subunit [Escherichia phage PTXU04]	False	0.307	117.0	1.334e-25						VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
QGNH01001229.1_6	QGNH01001229.1	QGNH01001229.1	6	4084	4434	1	E															0	False	F
QGNH01001229.1_7	QGNH01001229.1	QGNH01001229.1	7	4434	4592	1	E															0	False	F
QGNH01001229.1_8	QGNH01001229.1	QGNH01001229.1	8	4592	7885	1	E															0	False	F
QGNH01001229.1_9	QGNH01001229.1	QGNH01001229.1	9	7882	8073	1	E															0	False	
QGNH01001229.1_10	QGNH01001229.1	QGNH01001229.1	10	8074	8790	1	D							Beta-glucan synthesis-associated protein SKN1/KRE6/Sbg1 [PF03935.18]; Glycosyl hydrolases family 16 [PF00722.24]	GH16; GH16_3; GH16_5	GH16 xyloglucan:xyloglucosyltransferase (EC 2.4.1.207); keratan-sulfate endo-1,4-beta-galactosidase (EC 3.2.1.103); endo-1,3-beta-glucanase / laminarinase (EC 3.2.1.39); endo-1,3(4)-beta-glucanase (EC 3.2.1.6); licheninase (EC 3.2.1.73); beta-agarase (EC 3.2.1.81); kappa;-carrageenase (EC 3.2.1.83); xyloglucanase (EC 3.2.1.151); endo-beta-1,3-galactanase (EC 3.2.1.181); [retaining] beta-porphyranase (EC 3.2.1.178); hyaluronidase (EC 3.2.1.35); endo-beta-1,4-galactosidase (EC 3.2.1.-); chitin beta-1,6-glucanosyltransferase (EC 2.4.1.-); beta-transglycosidase (EC 2.4.1.-); beta-glycosidase (EC 3.2.1.-); beta-carrageenase (EC 3.2.1.-)	; 3.2.1.21,3.2.1.39,3.2.1.6,3.2.1.73,3.2.1.-; 3.2.1.6	GH16.hmm				0	False	MKE
QGNH01001229.1_11	QGNH01001229.1	QGNH01001229.1	11	8790	9119	1	E															0	False	
QGNH01001229.1_12	QGNH01001229.1	QGNH01001229.1	12	9116	10978	1	E															0	False	
QGNH01001229.1_13	QGNH01001229.1	QGNH01001229.1	13	11024	11188	1	E															0	False	
QGNH01001229.1_14	QGNH01001229.1	QGNH01001229.1	14	11561	11719	1	E															0	False	
QGNH01001229.1_15	QGNH01001229.1	QGNH01001229.1	15	11720	12100	1	E															0	False	
QGNH01001229.1_16	QGNH01001229.1	QGNH01001229.1	16	12084	13145	1	E															0	False	
QGNH01001229.1_17	QGNH01001229.1	QGNH01001229.1	17	13149	14129	1	E	NP_203462.1	NP_203462.1 major head protein [Myxococcus phage Mx8]	False	0.289	129.0	3.831e-31						VOG11300	REFSEQ major head protein; Xu	Xu	0	False	
QGNH01001229.1_18	QGNH01001229.1	QGNH01001229.1	18	14139	15068	1	E															0	False	
QGNH01001229.1_19	QGNH01001229.1	QGNH01001229.1	19	15071	15904	1	E															0	False	
QGNH01001229.1_20	QGNH01001229.1	QGNH01001229.1	20	15962	16213	1	E															0	False	
QGNH01001229.1_21	QGNH01001229.1	QGNH01001229.1	21	16200	16973	1	E															0	False	
QGNH01001229.1_22	QGNH01001229.1	QGNH01001229.1	22	16982	17899	1	E															0	False	
QGNH01001229.1_23	QGNH01001229.1	QGNH01001229.1	23	17896	18312	1	E															0	False	
QGNH01001229.1_24	QGNH01001229.1	QGNH01001229.1	24	18319	19128	1	D							Family of unknown function (DUF6682) [PF20387.1]								0	False	
QGNH01001229.1_25	QGNH01001229.1	QGNH01001229.1	25	19129	20034	1	E															0	False	
QGNH01001229.1_26	QGNH01001229.1	QGNH01001229.1	26	20043	20780	1	E															0	False	
QGNH01001229.1_27	QGNH01001229.1	QGNH01001229.1	27	20780	24556	1	E															0	False	
QGNH01001229.1_28	QGNH01001229.1	QGNH01001229.1	28	24717	25103	1	E															0	False	
QGNH01001229.1_29	QGNH01001229.1	QGNH01001229.1	29	25078	25269	-1	E															0	False	
QGNH01001229.1_30	QGNH01001229.1	QGNH01001229.1	30	25269	26042	-1	D	YP_010754707.1	YP_010754707.1 lysin A [Streptomyces phage Ibantik]	False	0.503	138.0	4.271e-35	N-acetylmuramoyl-L-alanine amidase [PF01510.28]; Putative peptidoglycan binding domain [PF01471.21]					VOG02339	REFSEQ endolysin; Xu	Xu	0	False	
QGNH01001229.1_31	QGNH01001229.1	QGNH01001229.1	31	26272	27135	-1	E												VOG00332	sp|Q8QL42|Y207_SIRV1 Uncharacterized protein 207; Xu	Xu	0	False	
QGNH01001229.1_32	QGNH01001229.1	QGNH01001229.1	32	27233	27595	-1	E															0	False	
QGNH01001229.1_33	QGNH01001229.1	QGNH01001229.1	33	27588	28232	-1	D							ERCC4 domain [PF02732.18]								0	False	
QGNH01001229.1_34	QGNH01001229.1	QGNH01001229.1	34	28236	28538	-1	E															0	False	
QGNH01001229.1_35	QGNH01001229.1	QGNH01001229.1	35	28761	29555	-1	D							AAA domain [PF13479.9]								0	False	
QGNH01001229.1_36	QGNH01001229.1	QGNH01001229.1	36	29671	30027	-1	E															0	False	
QGNH01001229.1_37	QGNH01001229.1	QGNH01001229.1	37	30027	30455	-1	E															0	False	
QGNH01001229.1_38	QGNH01001229.1	QGNH01001229.1	38	30538	31245	-1	E															0	False	
QGNH01001229.1_39	QGNH01001229.1	QGNH01001229.1	39	31439	31834	-1	E															0	False	F
QGNH01001229.1_40	QGNH01001229.1	QGNH01001229.1	40	31848	32186	-1	E															0	False	F
QGNH01001229.1_41	QGNH01001229.1	QGNH01001229.1	41	32179	33831	-1	D	YP_003358924.1	YP_003358924.1 DNA helicase [Delftia phage PhiW-14]	False	0.247	171.0	5.349e-43	Helicase C-terminal domain [PF13307.9]; Type III restriction enzyme, res subunit [PF04851.18]					VOG04419	sp|Q4JC68|XPD_SULAC ATP-dependent DNA helicase Saci_0192; Xh	Xh	1	False	F
QGNH01001229.1_42	QGNH01001229.1	QGNH01001229.1	42	33887	34378	-1	E															0	False	F
QGNH01001229.1_43	QGNH01001229.1	QGNH01001229.1	43	34618	35172	1	E															0	False	F
QGNH01001229.1_44	QGNH01001229.1	QGNH01001229.1	44	35506	35706	-1	E															0	False	F
QGNH01001229.1_45	QGNH01001229.1	QGNH01001229.1	45	35751	36200	-1	E															0	False	F
