	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001828.1_1	QGNH01001828.1	QGNH01001828.1	1	1	1392	1	E	YP_009186871.1	YP_009186871.1 hypothetical protein AUR69_gp07 [Hydrogenobaculum phage 1]	False	209.0	2.7e-56	0.321					0	False	F
QGNH01001828.1_2	QGNH01001828.1	QGNH01001828.1	2	1389	1898	1	E											0	False	F
QGNH01001828.1_3	QGNH01001828.1	QGNH01001828.1	3	1899	3539	1	E											0	False	F
QGNH01001828.1_4	QGNH01001828.1	QGNH01001828.1	4	3536	3877	-1	E											0	False	F
QGNH01001828.1_5	QGNH01001828.1	QGNH01001828.1	5	4454	4738	1	E											0	False	F
QGNH01001828.1_6	QGNH01001828.1	QGNH01001828.1	6	4738	4905	1	E											0	False	F
QGNH01001828.1_7	QGNH01001828.1	QGNH01001828.1	7	4917	5102	1	E											0	False	F
QGNH01001828.1_8	QGNH01001828.1	QGNH01001828.1	8	5106	5711	1	E											0	False	F
QGNH01001828.1_9	QGNH01001828.1	QGNH01001828.1	9	5726	6766	1	E											0	False	F
QGNH01001828.1_10	QGNH01001828.1	QGNH01001828.1	10	6822	8000	1	E											0	False	F
QGNH01001828.1_11	QGNH01001828.1	QGNH01001828.1	11	8001	8237	1	E											0	False	F
QGNH01001828.1_12	QGNH01001828.1	QGNH01001828.1	12	8259	9023	1	E											0	False	F
QGNH01001828.1_13	QGNH01001828.1	QGNH01001828.1	13	9023	10021	1	E											0	False	F
QGNH01001828.1_14	QGNH01001828.1	QGNH01001828.1	14	10204	10479	1	E											0	False	F
