	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
MZ334510_MZ334510.1_1	MZ334510	MZ334510.1	1	318	884	-1	D										Halobacterial output domain 1 [PF18545.4]	0
MZ334510_MZ334510.1_2	MZ334510	MZ334510.1	2	1292	2068	1	E											0
MZ334510_MZ334510.1_3	MZ334510	MZ334510.1	3	2061	2324	1	E											0
MZ334510_MZ334510.1_4	MZ334510	MZ334510.1	4	2435	2542	1	E											0
MZ334510_MZ334510.1_5	MZ334510	MZ334510.1	5	2545	2739	1	E											0
MZ334510_MZ334510.1_6	MZ334510	MZ334510.1	6	3075	4766	1	E											0
MZ334510_MZ334510.1_7	MZ334510	MZ334510.1	7	4781	6220	1	E											0
MZ334510_MZ334510.1_8	MZ334510	MZ334510.1	8	6220	6510	1	E											0
MZ334510_MZ334510.1_9	MZ334510	MZ334510.1	9	6507	7271	1	E											0
MZ334510_MZ334510.1_10	MZ334510	MZ334510.1	10	7278	7706	1	E											0
MZ334510_MZ334510.1_11	MZ334510	MZ334510.1	11	7729	8244	1	E											0
MZ334510_MZ334510.1_12	MZ334510	MZ334510.1	12	8286	9242	1	E											0
MZ334510_MZ334510.1_13	MZ334510	MZ334510.1	13	9288	9731	1	E											0
MZ334510_MZ334510.1_14	MZ334510	MZ334510.1	14	9731	10069	1	E											0
MZ334510_MZ334510.1_15	MZ334510	MZ334510.1	15	10072	13188	1	E											0
MZ334510_MZ334510.1_16	MZ334510	MZ334510.1	16	13190	13411	1	E											0
MZ334510_MZ334510.1_17	MZ334510	MZ334510.1	17	13448	13957	1	E											0
MZ334510_MZ334510.1_18	MZ334510	MZ334510.1	18	13966	15258	1	E											0
MZ334510_MZ334510.1_19	MZ334510	MZ334510.1	19	15287	15832	1	E											0
MZ334510_MZ334510.1_20	MZ334510	MZ334510.1	20	15889	16359	1	E											0
MZ334510_MZ334510.1_21	MZ334510	MZ334510.1	21	16307	16669	1	E											0
