	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001853.1_1	QGNH01001853.1	QGNH01001853.1	1	1	249	1	E											0	False	F
QGNH01001853.1_2	QGNH01001853.1	QGNH01001853.1	2	246	746	1	E											0	False	F
QGNH01001853.1_3	QGNH01001853.1	QGNH01001853.1	3	734	1012	1	E											0	False	F
QGNH01001853.1_4	QGNH01001853.1	QGNH01001853.1	4	1013	2863	1	D	YP_007517703.1	YP_007517703.1 head-tail adaptor [Pelagibacter phage HTVC010P]	False	0.265	203.0	5.757e-53	Bacteriophage head to tail connecting protein [PF12236.11]	VOG00516	sp|P03728|PORTL_BPT7 Portal protein; XpXrXs	Xs;Xr;Xp	0	False	VF
QGNH01001853.1_5	QGNH01001853.1	QGNH01001853.1	5	2860	3117	1	E											0	False	F
QGNH01001853.1_6	QGNH01001853.1	QGNH01001853.1	6	3119	3826	1	E											0	False	F
QGNH01001853.1_7	QGNH01001853.1	QGNH01001853.1	7	3966	4724	1	E								VOG03646	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01001853.1_8	QGNH01001853.1	QGNH01001853.1	8	4743	5801	1	E	YP_512264.1	YP_512264.1 major head protein [Escherichia phage phiV10]	False	0.29	136.0	4.083e-33		VOG02257	REFSEQ major head protein; Xu	Xu	0	False	F
QGNH01001853.1_9	QGNH01001853.1	QGNH01001853.1	9	5801	6550	1	E											0	False	F
QGNH01001853.1_10	QGNH01001853.1	QGNH01001853.1	10	6550	6867	1	E											0	False	F
QGNH01001853.1_11	QGNH01001853.1	QGNH01001853.1	11	6961	7698	1	E	YP_009800745.1	YP_009800745.1 tail protein [Burkholderia phage vB_BmuP_KL4]	False	0.232	61.0	2.522e-09					0	False	F
QGNH01001853.1_12	QGNH01001853.1	QGNH01001853.1	12	7659	10085	1	E	YP_024932.1	YP_024932.1 tail protein [Burkholderia phage BcepC6B]	False	0.24	150.0	3.159e-35					0	False	F
