locus_tag	ftype	length_bp	gene	EC_number	COG	product
GKIGECFJ_00001	CDS	1761	kefB_1			Glutathione-regulated potassium-efflux system protein KefB
GKIGECFJ_00002	CDS	1212				hypothetical protein
GKIGECFJ_00003	CDS	21168				hypothetical protein
GKIGECFJ_00004	CDS	1059				hypothetical protein
GKIGECFJ_00005	CDS	996				hypothetical protein
GKIGECFJ_00006	CDS	870				hypothetical protein
GKIGECFJ_00007	CDS	2928				hypothetical protein
GKIGECFJ_00008	CDS	540				hypothetical protein
GKIGECFJ_00009	CDS	834	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
GKIGECFJ_00010	CDS	225				hypothetical protein
GKIGECFJ_00011	CDS	804	dapB_1	1.17.1.8		4-hydroxy-tetrahydrodipicolinate reductase
GKIGECFJ_00012	CDS	165				hypothetical protein
GKIGECFJ_00013	tRNA	73				tRNA-Thr(tgt)
GKIGECFJ_00014	CDS	978	gyaR	1.1.1.26		Glyoxylate reductase
GKIGECFJ_00015	CDS	645				hypothetical protein
GKIGECFJ_00016	CDS	444				hypothetical protein
GKIGECFJ_00017	CDS	561				hypothetical protein
GKIGECFJ_00018	CDS	981				hypothetical protein
GKIGECFJ_00019	CDS	387				hypothetical protein
GKIGECFJ_00020	CDS	753				hypothetical protein
GKIGECFJ_00021	CDS	471				hypothetical protein
GKIGECFJ_00022	CDS	2676				hypothetical protein
GKIGECFJ_00023	CDS	2958	addA	3.6.4.12		ATP-dependent helicase/nuclease subunit A
GKIGECFJ_00024	CDS	2580	kdpB_1	7.2.2.6		Potassium-transporting ATPase ATP-binding subunit
GKIGECFJ_00025	CDS	705				hypothetical protein
GKIGECFJ_00026	CDS	195				hypothetical protein
GKIGECFJ_00027	CDS	837	cobQ_1			Cobyric acid synthase
GKIGECFJ_00028	CDS	1827	cobQ_2			Cobyric acid synthase
GKIGECFJ_00029	CDS	1197				hypothetical protein
GKIGECFJ_00030	CDS	2118				hypothetical protein
GKIGECFJ_00031	CDS	1788				hypothetical protein
GKIGECFJ_00032	CDS	1533	lon	3.4.21.-	COG1067	Archaeal Lon protease
GKIGECFJ_00033	CDS	555				hypothetical protein
GKIGECFJ_00034	CDS	456	ypeA	2.3.1.-		Acetyltransferase YpeA
