NC_042347.1_orf151	25f42af95273d1023e5b232138ae2bfd	821	Coils	Coil	Coil	811	821	-	T	24-06-2023	-	-
NC_042347.1_orf109	d2f461fdc5b7ccdb61b4f126295ada8c	681	MobiDBLite	mobidb-lite	consensus disorder prediction	314	333	-	T	24-06-2023	-	-
NC_042347.1_orf191	646a4b950eb57a2e4c1dff8a1012b266	193	PRINTS	PR01217	Proline rich extensin signature	88	109	1.6E-11	T	24-06-2023	-	-
NC_042347.1_orf191	646a4b950eb57a2e4c1dff8a1012b266	193	PRINTS	PR01217	Proline rich extensin signature	45	61	1.6E-11	T	24-06-2023	-	-
NC_042347.1_orf191	646a4b950eb57a2e4c1dff8a1012b266	193	PRINTS	PR01217	Proline rich extensin signature	76	88	1.6E-11	T	24-06-2023	-	-
NC_042347.1_orf191	646a4b950eb57a2e4c1dff8a1012b266	193	MobiDBLite	mobidb-lite	consensus disorder prediction	38	100	-	T	24-06-2023	-	-
NC_042347.1_orf191	646a4b950eb57a2e4c1dff8a1012b266	193	MobiDBLite	mobidb-lite	consensus disorder prediction	41	99	-	T	24-06-2023	-	-
NC_042347.1_orf201	0ee462fa9ed5f2c4de0ea0b96ab2f859	683	ProSitePatterns	PS00116	DNA polymerase family B signature.	540	548	-	T	24-06-2023	IPR017964	DNA-directed DNA polymerase, family B, conserved site
NC_042347.1_orf201	0ee462fa9ed5f2c4de0ea0b96ab2f859	683	PRINTS	PR00106	DNA-directed DNA-polymerase family B signature	292	305	3.1E-7	T	24-06-2023	IPR006172	DNA-directed DNA polymerase, family B
NC_042347.1_orf201	0ee462fa9ed5f2c4de0ea0b96ab2f859	683	PRINTS	PR00106	DNA-directed DNA-polymerase family B signature	427	439	3.1E-7	T	24-06-2023	IPR006172	DNA-directed DNA polymerase, family B
NC_042347.1_orf201	0ee462fa9ed5f2c4de0ea0b96ab2f859	683	PRINTS	PR00106	DNA-directed DNA-polymerase family B signature	538	546	3.1E-7	T	24-06-2023	IPR006172	DNA-directed DNA polymerase, family B
NC_042347.1_orf201	0ee462fa9ed5f2c4de0ea0b96ab2f859	683	PANTHER	PTHR33568	DNA POLYMERASE	375	632	4.0E-20	T	24-06-2023	-	-
NC_042347.1_orf201	0ee462fa9ed5f2c4de0ea0b96ab2f859	683	SUPERFAMILY	SSF56672	DNA/RNA polymerases	263	605	1.33E-39	T	24-06-2023	IPR043502	DNA/RNA polymerase superfamily
NC_042347.1_orf201	0ee462fa9ed5f2c4de0ea0b96ab2f859	683	Pfam	PF03175	DNA polymerase type B, organellar and viral	83	532	7.5E-20	T	24-06-2023	IPR004868	DNA-directed DNA polymerase, family B, mitochondria/virus
NC_042347.1_orf201	0ee462fa9ed5f2c4de0ea0b96ab2f859	683	Gene3D	G3DSA:3.90.1600.10	Palm domain of DNA polymerase	397	609	1.1E-17	T	24-06-2023	IPR023211	DNA polymerase, palm domain superfamily
NC_042347.1_orf201	0ee462fa9ed5f2c4de0ea0b96ab2f859	683	Gene3D	G3DSA:3.90.1600.10	Palm domain of DNA polymerase	236	314	3.7E-6	T	24-06-2023	IPR023211	DNA polymerase, palm domain superfamily
NC_042347.1_orf201	0ee462fa9ed5f2c4de0ea0b96ab2f859	683	SUPERFAMILY	SSF53098	Ribonuclease H-like	45	206	1.73E-8	T	24-06-2023	IPR012337	Ribonuclease H-like superfamily
NC_042347.1_orf116	0f9e1abcc296816443d819ac57d45c92	282	Gene3D	G3DSA:3.40.50.2000	Glycogen Phosphorylase B;	99	282	1.3E-8	T	24-06-2023	-	-
NC_042347.1_orf116	0f9e1abcc296816443d819ac57d45c92	282	SUPERFAMILY	SSF53756	UDP-Glycosyltransferase/glycogen phosphorylase	75	280	8.16E-6	T	24-06-2023	-	-
