Target Name	ID	EC value	E-Value (sequence)	Score (domain)
NZ_ASHR01000014.1_89059_90438_-	phrog_1		7.6e-44	144.3
NZ_ASHR01000014.1_232640_233224_+	phrog_10255		1.2e-07	25.4
NZ_ASHR01000014.1_261334_262842_+	phrog_10912		1.9e-24	79.0
NZ_ASHR01000014.1_49972_51246_+	phrog_11129		6e-97	283.7
NZ_ASHR01000014.1_49972_51246_+	phrog_11129		6e-97	40.2
NZ_ASHR01000014.1_23087_24196_+	phrog_11145		9.7e-10	31.0
NZ_ASHR01000014.1_278645_280432_+	phrog_11199		2.4e-164	541.8
NZ_ASHR01000014.1_24259_25680_+	phrog_11528		1.2e-85	281.0
NZ_ASHR01000014.1_299804_300754_-	phrog_11528		2.4e-67	221.2
NZ_ASHR01000014.1_254507_255739_+	phrog_11528		4.9e-21	68.8
NZ_ASHR01000014.1_82967_83356_+	phrog_11671		2.3e-21	70.3
NZ_ASHR01000014.1_84257_84700_+	phrog_11671		4.8e-11	36.8
NZ_ASHR01000014.1_218356_219483_+	phrog_11787		2e-78	258.0
NZ_ASHR01000014.1_158266_159528_+	phrog_11787		9e-58	123.5
NZ_ASHR01000014.1_158266_159528_+	phrog_11787		9e-58	64.8
NZ_ASHR01000014.1_256790_257644_+	phrog_11796		3.7e-11	35.3
NZ_ASHR01000014.1_212749_213240_-	phrog_11961		1.4e-09	31.9
NZ_ASHR01000014.1_110048_111943_-	phrog_12316		5e-87	169.6
NZ_ASHR01000014.1_110048_111943_-	phrog_12316		5e-87	118.1
NZ_ASHR01000014.1_72567_74270_+	phrog_1271		5.1e-08	26.4
NZ_ASHR01000014.1_174379_175752_-	phrog_13094		4.1e-19	62.7
NZ_ASHR01000014.1_223027_224469_-	phrog_1319		1.7e-76	217.5
NZ_ASHR01000014.1_95174_96073_+	phrog_1319		2.6e-30	98.6
NZ_ASHR01000014.1_225586_226488_-	phrog_1319		1.3e-15	46.7
NZ_ASHR01000014.1_223027_224469_-	phrog_1319		1.7e-76	28.4
NZ_ASHR01000014.1_65719_68421_+	phrog_13226		8.3e-197	649.2
NZ_ASHR01000014.1_262915_263163_-	phrog_14459		7.6e-29	94.9
NZ_ASHR01000014.1_195058_196236_-	phrog_15032		6e-12	37.4
NZ_ASHR01000014.1_87120_87440_-	phrog_151		9e-21	68.4
NZ_ASHR01000014.1_265669_266532_-	phrog_15334		1.5e-19	63.9
NZ_ASHR01000014.1_108351_109289_+	phrog_15334		7.5e-10	32.4
NZ_ASHR01000014.1_98538_100010_+	phrog_15577		3.4e-134	441.4
NZ_ASHR01000014.1_86176_87042_-	phrog_157		3.7e-82	269.7
NZ_ASHR01000014.1_174379_175752_-	phrog_16914		4.4e-14	45.8
NZ_ASHR01000014.1_292300_293361_+	phrog_1724		2.4e-24	51.4
NZ_ASHR01000014.1_115944_116975_-	phrog_174		2.5e-14	35.8
NZ_ASHR01000014.1_102476_103501_-	phrog_17890		4.9e-58	190.4
NZ_ASHR01000014.1_2220_3836_+	phrog_18374		1.3e-82	271.9
NZ_ASHR01000014.1_118902_119732_-	phrog_19169		3.8e-43	138.6
NZ_ASHR01000014.1_91546_92118_+	phrog_19305		4.1e-17	55.5
NZ_ASHR01000014.1_143958_145625_-	phrog_20109		2.5e-81	267.4
NZ_ASHR01000014.1_205771_207159_+	phrog_20109		1.3e-52	165.4
NZ_ASHR01000014.1_70848_72419_+	phrog_20134		1.8e-31	67.6
NZ_ASHR01000014.1_70848_72419_+	phrog_20134		1.8e-31	33.4
NZ_ASHR01000014.1_26953_28320_-	phrog_2034		2e-74	244.2
NZ_ASHR01000014.1_100155_101480_+	phrog_2034		1.8e-73	241.2
NZ_ASHR01000014.1_227494_228900_+	phrog_2034		5.3e-62	203.4
NZ_ASHR01000014.1_30820_32016_+	phrog_2034		3.1e-56	184.5
NZ_ASHR01000014.1_112059_113414_-	phrog_2034		1.2e-53	175.9
NZ_ASHR01000014.1_263710_264189_-	phrog_20402		4.5e-22	72.3
NZ_ASHR01000014.1_219750_221474_+	phrog_20720		5.7e-46	151.3
NZ_ASHR01000014.1_3945_4949_+	phrog_20966		1.1e-73	124.8
NZ_ASHR01000014.1_3945_4949_+	phrog_20966		1.1e-73	119.9
NZ_ASHR01000014.1_4946_5884_+	phrog_20966		2.6e-35	114.0
NZ_ASHR01000014.1_130801_131988_-	phrog_2170		7.5e-13	42.1
NZ_ASHR01000014.1_69070_70230_+	phrog_22983		6.6e-61	199.9
NZ_ASHR01000014.1_161413_162375_-	phrog_23460		6.4e-10	31.7
NZ_ASHR01000014.1_153668_155722_+	phrog_2392		1.3e-175	576.6
