	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000863.1_1	QGNH01000863.1	QGNH01000863.1	1	3	230	-1	D							Glycosyl hydrolase 108 [PF05838.15]				0	False	F
QGNH01000863.1_2	QGNH01000863.1	QGNH01000863.1	2	227	577	-1	E											0	False	F
QGNH01000863.1_3	QGNH01000863.1	QGNH01000863.1	3	574	1338	-1	E											0	False	F
QGNH01000863.1_4	QGNH01000863.1	QGNH01000863.1	4	1335	3056	-1	E											0	False	F
QGNH01000863.1_5	QGNH01000863.1	QGNH01000863.1	5	3053	3433	-1	E											0	False	F
QGNH01000863.1_6	QGNH01000863.1	QGNH01000863.1	6	3435	3773	-1	E											0	False	F
QGNH01000863.1_7	QGNH01000863.1	QGNH01000863.1	7	3783	4253	-1	E											0	False	F
QGNH01000863.1_8	QGNH01000863.1	QGNH01000863.1	8	4257	4898	-1	E											0	False	F
QGNH01000863.1_9	QGNH01000863.1	QGNH01000863.1	9	4922	5461	-1	E											0	False	F
QGNH01000863.1_10	QGNH01000863.1	QGNH01000863.1	10	5464	5754	-1	E											0	False	
QGNH01000863.1_11	QGNH01000863.1	QGNH01000863.1	11	5755	6033	-1	E											0	False	
QGNH01000863.1_12	QGNH01000863.1	QGNH01000863.1	12	6046	6597	-1	E											0	False	
QGNH01000863.1_13	QGNH01000863.1	QGNH01000863.1	13	6650	7960	-1	E											0	False	
QGNH01000863.1_14	QGNH01000863.1	QGNH01000863.1	14	7981	8766	-1	E											0	False	
QGNH01000863.1_15	QGNH01000863.1	QGNH01000863.1	15	8726	8938	-1	E											0	False	
QGNH01000863.1_16	QGNH01000863.1	QGNH01000863.1	16	9236	9631	-1	E											0	False	
QGNH01000863.1_17	QGNH01000863.1	QGNH01000863.1	17	9640	11835	-1	E											0	False	F
QGNH01000863.1_18	QGNH01000863.1	QGNH01000863.1	18	11835	12023	-1	E											0	False	F
QGNH01000863.1_19	QGNH01000863.1	QGNH01000863.1	19	12027	13691	-1	D	YP_009168386.1	YP_009168386.1 putative terminase large subunit [Citrobacter phage CVT22]	False	77.0	2.676e-13	0.182	Terminase RNaseH-like domain [PF17289.5]	VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xh;Xr	0	False	VF
QGNH01000863.1_20	QGNH01000863.1	QGNH01000863.1	20	13691	13972	-1	E											0	False	F
QGNH01000863.1_21	QGNH01000863.1	QGNH01000863.1	21	14031	14249	-1	E											0	False	F
QGNH01000863.1_22	QGNH01000863.1	QGNH01000863.1	22	14254	14745	-1	E											0	False	F
QGNH01000863.1_23	QGNH01000863.1	QGNH01000863.1	23	15107	15310	-1	E											0	False	F
QGNH01000863.1_24	QGNH01000863.1	QGNH01000863.1	24	15297	15680	-1	E											0	False	F
QGNH01000863.1_25	QGNH01000863.1	QGNH01000863.1	25	15893	16435	-1	E											0	False	F
