KO Id	Name	Level	Count
	lvl1: Metabolism	1	1793
	lvl2: Carbohydrate metabolism	2	420
	lvl3: Glycolysis / Gluconeogenesis [PATH:ko00010]	3	33
K00001	K00001: E1.1.1.1, adh; alcohol dehydrogenase	Function	9
	lvl3: Pyruvate metabolism [PATH:ko00620]	3	40
	lvl2: Lipid metabolism	2	98
	lvl3: Fatty acid degradation [PATH:ko00071]	3	14
	lvl2: Amino acid metabolism	2	352
	lvl3: Tyrosine metabolism [PATH:ko00350]	3	24
	lvl2: Metabolism of cofactors and vitamins	2	195
	lvl3: Retinol metabolism [PATH:ko00830]	3	5
	lvl2: Xenobiotics biodegradation and metabolism	2	149
	lvl3: Chloroalkane and chloroalkene degradation [PATH:ko00625]	3	13
	lvl3: Naphthalene degradation [PATH:ko00626]	3	4
	lvl3: Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980]	3	5
	lvl3: Drug metabolism - cytochrome P450 [PATH:ko00982]	3	6
	lvl3: Glycine, serine and threonine metabolism [PATH:ko00260]	3	44
K00003	K00003: hom; homoserine dehydrogenase	Function	3
	lvl3: Cysteine and methionine metabolism [PATH:ko00270]	3	36
	lvl3: Lysine biosynthesis [PATH:ko00300]	3	12
	lvl3: Butanoate metabolism [PATH:ko00650]	3	27
K00004	K00004: BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase	Function	1
	lvl3: Pentose and glucuronate interconversions [PATH:ko00040]	3	27
K00008	K00008: SORD, gutB; L-iditol 2-dehydrogenase	Function	2
	lvl3: Fructose and mannose metabolism [PATH:ko00051]	3	31
	lvl3: Inositol phosphate metabolism [PATH:ko00562]	3	13
K00010	K00010: iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase	Function	2
	lvl2: Biosynthesis of other secondary metabolites	2	71
	lvl3: Streptomycin biosynthesis [PATH:ko00521]	3	9
K00012	K00012: UGDH, ugd; UDPglucose 6-dehydrogenase	Function	4
	lvl3: Ascorbate and aldarate metabolism [PATH:ko00053]	3	19
	lvl3: Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	3	44
	lvl2: Glycan biosynthesis and metabolism	2	82
	lvl3: O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	3	24
	lvl3: Histidine metabolism [PATH:ko00340]	3	20
K00013	K00013: hisD; histidinol dehydrogenase	Function	1
	lvl3: Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]	3	25
