	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000079.1_1	QGNH01000079.1	QGNH01000079.1	1	1	1374	1	D	YP_512261.1	YP_512261.1 head-tail adaptor [Escherichia phage phiV10]	True	0.495	406.0	6.784e-124	Bacteriophage head to tail connecting protein [PF12236.11]	VOG00516	sp|P03728|PORTL_BPT7 Portal protein; XpXrXs	Xs;Xr;Xp	0	False	VF
QGNH01000079.1_2	QGNH01000079.1	QGNH01000079.1	2	1371	1688	1	E								VOG01457	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01000079.1_3	QGNH01000079.1	QGNH01000079.1	3	1648	2415	1	E	NP_848214.2	NP_848214.2 protease [Salmonella phage epsilon15]	False	0.359	124.0	2.094e-30		VOG10710	REFSEQ protease; Xu	Xu	0	False	F
QGNH01000079.1_4	QGNH01000079.1	QGNH01000079.1	4	2441	3493	1	E	YP_512264.1	YP_512264.1 major head protein [Escherichia phage phiV10]	False	0.513	327.0	2.208e-98		VOG02257	REFSEQ major head protein; Xu	Xu	0	False	F
QGNH01000079.1_5	QGNH01000079.1	QGNH01000079.1	5	3539	4045	1	E											0	False	F
QGNH01000079.1_6	QGNH01000079.1	QGNH01000079.1	6	4116	4376	1	E											0	False	F
QGNH01000079.1_7	QGNH01000079.1	QGNH01000079.1	7	4395	4955	1	E											0	False	F
QGNH01000079.1_8	QGNH01000079.1	QGNH01000079.1	8	4960	5742	1	E											0	False	F
QGNH01000079.1_9	QGNH01000079.1	QGNH01000079.1	9	5753	6118	1	E											0	False	
QGNH01000079.1_10	QGNH01000079.1	QGNH01000079.1	10	6124	6615	1	E											0	False	
QGNH01000079.1_11	QGNH01000079.1	QGNH01000079.1	11	6612	7196	1	D	YP_003986624.1	YP_003986624.1 putative methyltransferase [Acanthamoeba polyphaga mimivirus]	False	0.366	95.0	2.885e-21	Methyltransferase domain [PF13578.9]; Cephalosporin hydroxylase [PF04989.15]	VOG09710	sp|Q5UPK3|YR132_MIMIV Uncharacterized protein R132; Xu	Xu	0	False	
QGNH01000079.1_12	QGNH01000079.1	QGNH01000079.1	12	7234	8151	1	D	YP_007518024.1	YP_007518024.1 hypothetical protein I899_gp158 [Pelagibacter phage HTVC008M]	False	0.278	134.0	4.065e-33	4Fe-4S single cluster domain [PF13353.9]; Radical SAM superfamily [PF04055.24]	VOG00127	REFSEQ radical SAM domain-containing protein; Xu	Xu	0	False	
QGNH01000079.1_13	QGNH01000079.1	QGNH01000079.1	13	8148	8777	1	D	YP_007518025.1	YP_007518025.1 methyltransferase [Pelagibacter phage HTVC008M]	False	0.403	146.0	2.062e-38	Methyltransferase domain [PF13489.9]	VOG02443	REFSEQ methyltransferase; Xu	Xu	0	False	
QGNH01000079.1_14	QGNH01000079.1	QGNH01000079.1	14	8896	9597	1	D	YP_003986631.1	YP_003986631.1 uncharacterized glycosyltransferase [Acanthamoeba polyphaga mimivirus]	False	0.333	128.0	8.565e-32	Glycosyl transferase family 2 [PF00535.29]; Glycosyltransferase like family 2 [PF13641.9]	VOG09711	sp|Q5UR14|YR139_MIMIV Uncharacterized glycosyltransferase R139; Xh	Xh	0	False	
QGNH01000079.1_15	QGNH01000079.1	QGNH01000079.1	15	9594	10313	1	E											0	False	
QGNH01000079.1_16	QGNH01000079.1	QGNH01000079.1	16	10286	11377	1	D							Glycosyl transferase family 2 [PF00535.29]				0	False	
QGNH01000079.1_17	QGNH01000079.1	QGNH01000079.1	17	11374	12036	1	E	YP_005097988.1	YP_005097988.1 tail protein [Salmonella phage SPN1S]	False	0.296	96.0	2.546e-21					0	False	
QGNH01000079.1_18	QGNH01000079.1	QGNH01000079.1	18	12036	14903	1	E	YP_007001985.1	YP_007001985.1 tail protein [Escherichia phage TL-2011b]	False	0.308	336.0	6.258e-94		VOG02059	sp|P03747|TUBE2_BPT7 Tail tubular protein gp12; XpXrXs	Xs;Xr;Xp	0	False	VF
QGNH01000079.1_19	QGNH01000079.1	QGNH01000079.1	19	14897	15367	1	D	YP_512270.1	YP_512270.1 internal virion protein [Escherichia phage phiV10]	False	0.414	112.0	1.414e-27	Bacteriophage T7, probable scaffold protein Gp13 [PF11090.11]	VOG01323	sp|P03723|GP13_BPT7 Probable scaffold protein gp13; Xu	Xu	0	False	F
QGNH01000079.1_20	QGNH01000079.1	QGNH01000079.1	20	15354	16769	1	E											0	False	F
QGNH01000079.1_21	QGNH01000079.1	QGNH01000079.1	21	16766	17245	1	E	YP_010078563.1	YP_010078563.1 short tail fiber protein [Ralstonia phage Firinga]	False	0.53	117.0	3.652e-29		VOG01980	REFSEQ short tail fiber protein; Xu	Xu	0	False	F
QGNH01000079.1_22	QGNH01000079.1	QGNH01000079.1	22	17236	17751	1	E	YP_512271.1	YP_512271.1 internal virion protein [Escherichia phage phiV10]	False	0.322	76.0	5.779e-15		VOG01668	REFSEQ internal virion protein; Xu	Xu	0	False	F
QGNH01000079.1_23	QGNH01000079.1	QGNH01000079.1	23	17760	18911	1	E								VOG03970	REFSEQ endolysin; Xu	Xu	0	False	F
