	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_019411_NC_019411_1	NC_019411	NC_019411	1	3	779	1	D										Terminase RNaseH-like domain [PF17289.5]					0
NC_019411_NC_019411_2	NC_019411	NC_019411	2	1026	1217	1	E															0
NC_019411_NC_019411_3	NC_019411	NC_019411	3	1301	1549	1	E															0
NC_019411_NC_019411_4	NC_019411	NC_019411	4	1602	1745	-1	E															0
NC_019411_NC_019411_5	NC_019411	NC_019411	5	2276	2533	-1	E															0
NC_019411_NC_019411_6	NC_019411	NC_019411	6	2706	2894	1	E															0
NC_019411_NC_019411_7	NC_019411	NC_019411	7	2956	3495	1	E															0
NC_019411_NC_019411_8	NC_019411	NC_019411	8	3492	3686	1	E															0
NC_019411_NC_019411_9	NC_019411	NC_019411	9	3796	4314	1	E															0
NC_019411_NC_019411_10	NC_019411	NC_019411	10	4407	5159	1	E															0
NC_019411_NC_019411_11	NC_019411	NC_019411	11	5290	5910	1	E															0
NC_019411_NC_019411_12	NC_019411	NC_019411	12	5989	6261	1	E															0
NC_019411_NC_019411_13	NC_019411	NC_019411	13	6326	6604	1	E															0
NC_019411_NC_019411_14	NC_019411	NC_019411	14	6617	6940	1	E															0
NC_019411_NC_019411_15	NC_019411	NC_019411	15	6944	7612	1	E															0
NC_019411_NC_019411_16	NC_019411	NC_019411	16	7616	8326	1	E															0
NC_019411_NC_019411_17	NC_019411	NC_019411	17	8605	9051	1	E															0
NC_019411_NC_019411_18	NC_019411	NC_019411	18	9195	9587	1	E															0
NC_019411_NC_019411_19	NC_019411	NC_019411	19	9642	9836	1	E															0
NC_019411_NC_019411_20	NC_019411	NC_019411	20	10282	11028	1	E															0
NC_019411_NC_019411_21	NC_019411	NC_019411	21	11033	11260	1	E															0
NC_019411_NC_019411_22	NC_019411	NC_019411	22	11257	11931	1	E															0
NC_019411_NC_019411_23	NC_019411	NC_019411	23	11931	12203	1	E															0
NC_019411_NC_019411_24	NC_019411	NC_019411	24	12288	12659	1	E															0
NC_019411_NC_019411_25	NC_019411	NC_019411	25	12659	13084	1	E															0
NC_019411_NC_019411_26	NC_019411	NC_019411	26	13084	13386	1	E															0
NC_019411_NC_019411_27	NC_019411	NC_019411	27	13383	13652	1	E															0
NC_019411_NC_019411_28	NC_019411	NC_019411	28	13649	13939	1	E															0
NC_019411_NC_019411_29	NC_019411	NC_019411	29	13929	14297	1	E															0
NC_019411_NC_019411_30	NC_019411	NC_019411	30	14294	14959	1	E															0
NC_019411_NC_019411_31	NC_019411	NC_019411	31	14968	15582	1	E															0
NC_019411_NC_019411_32	NC_019411	NC_019411	32	15593	16153	1	E															0
NC_019411_NC_019411_33	NC_019411	NC_019411	33	16155	16382	1	E															0
NC_019411_NC_019411_34	NC_019411	NC_019411	34	16379	16594	1	E															0
NC_019411_NC_019411_35	NC_019411	NC_019411	35	16591	16809	1	E															0
NC_019411_NC_019411_36	NC_019411	NC_019411	36	16809	16964	1	E															0
NC_019411_NC_019411_37	NC_019411	NC_019411	37	16961	17161	1	E															0
NC_019411_NC_019411_38	NC_019411	NC_019411	38	17148	17354	1	E															0
NC_019411_NC_019411_39	NC_019411	NC_019411	39	17446	17649	-1	E															0
NC_019411_NC_019411_40	NC_019411	NC_019411	40	17654	18400	-1	D										Bacterial transglutaminase-like cysteine proteinase BTLCP [PF06035.14]					0
NC_019411_NC_019411_41	NC_019411	NC_019411	41	18828	20726	1	D										Domain of unknown function (DUF4055) [PF13264.9]					0
NC_019411_NC_019411_42	NC_019411	NC_019411	42	20723	21049	1	E															0
NC_019411_NC_019411_43	NC_019411	NC_019411	43	21069	21248	1	E															0
NC_019411_NC_019411_44	NC_019411	NC_019411	44	21248	21487	1	E															0
NC_019411_NC_019411_45	NC_019411	NC_019411	45	21480	21668	1	E															0
NC_019411_NC_019411_46	NC_019411	NC_019411	46	21742	21999	1	E															0
NC_019411_NC_019411_47	NC_019411	NC_019411	47	22188	22772	1	E															0
NC_019411_NC_019411_48	NC_019411	NC_019411	48	22772	23005	1	E															0
NC_019411_NC_019411_49	NC_019411	NC_019411	49	23016	23399	1	E															0
NC_019411_NC_019411_50	NC_019411	NC_019411	50	23396	23638	1	E															0
NC_019411_NC_019411_51	NC_019411	NC_019411	51	23638	23922	1	E															0
NC_019411_NC_019411_52	NC_019411	NC_019411	52	23919	24158	1	E															0
NC_019411_NC_019411_53	NC_019411	NC_019411	53	24155	24394	1	E															0
NC_019411_NC_019411_54	NC_019411	NC_019411	54	24430	24762	1	E															0
NC_019411_NC_019411_55	NC_019411	NC_019411	55	24808	25170	1	E															0
NC_019411_NC_019411_56	NC_019411	NC_019411	56	25167	25847	1	C	K06952	5'-nucleotidase [EC:3.1.3.89]								5'-deoxynucleotidase YfbR-like [PF12917.10]					0
NC_019411_NC_019411_57	NC_019411	NC_019411	57	25887	26411	1	E															0
NC_019411_NC_019411_58	NC_019411	NC_019411	58	26416	26619	1	E															0
NC_019411_NC_019411_59	NC_019411	NC_019411	59	26619	27677	1	C	K07097	uncharacterized protein													0
NC_019411_NC_019411_60	NC_019411	NC_019411	60	27674	27850	1	E															0
NC_019411_NC_019411_61	NC_019411	NC_019411	61	27843	28319	1	E															0
NC_019411_NC_019411_62	NC_019411	NC_019411	62	28326	28490	1	E															0
NC_019411_NC_019411_63	NC_019411	NC_019411	63	28487	28756	1	E															0
NC_019411_NC_019411_64	NC_019411	NC_019411	64	28756	29196	1	E															0
NC_019411_NC_019411_65	NC_019411	NC_019411	65	29244	29726	1	E															0
NC_019411_NC_019411_66	NC_019411	NC_019411	66	29885	30676	1	E															0
NC_019411_NC_019411_67	NC_019411	NC_019411	67	30941	31876	1	E															0
NC_019411_NC_019411_68	NC_019411	NC_019411	68	31953	32399	1	E															0
NC_019411_NC_019411_69	NC_019411	NC_019411	69	32592	32975	1	E															0
NC_019411_NC_019411_70	NC_019411	NC_019411	70	32979	33260	1	E															0
NC_019411_NC_019411_71	NC_019411	NC_019411	71	33264	33656	1	E															0
NC_019411_NC_019411_72	NC_019411	NC_019411	72	33660	35603	1	E															0
NC_019411_NC_019411_73	NC_019411	NC_019411	73	35613	36311	1	E															0
NC_019411_NC_019411_74	NC_019411	NC_019411	74	36331	36747	1	E															0
NC_019411_NC_019411_75	NC_019411	NC_019411	75	36821	45214	1	D										Glycine rich protein [PF12810.10]; Concanavalin A-like lectin/glucanases superfamily [PF13385.9]					0
NC_019411_NC_019411_76	NC_019411	NC_019411	76	45218	45886	1	E															0
NC_019411_NC_019411_77	NC_019411	NC_019411	77	45889	46665	1	E															0
NC_019411_NC_019411_78	NC_019411	NC_019411	78	46728	46994	1	E															0
NC_019411_NC_019411_79	NC_019411	NC_019411	79	47618	47776	1	E															0
NC_019411_NC_019411_80	NC_019411	NC_019411	80	47847	48071	1	E															0
NC_019411_NC_019411_81	NC_019411	NC_019411	81	48215	48352	1	E															0
NC_019411_NC_019411_82	NC_019411	NC_019411	82	50618	50716	1	E															0
NC_019411_NC_019411_83	NC_019411	NC_019411	83	52472	52888	1	E															0
NC_019411_NC_019411_84	NC_019411	NC_019411	84	52996	53202	1	E															0
NC_019411_NC_019411_85	NC_019411	NC_019411	85	53237	54103	1	D										PhoH-like protein [PF02562.19]					0
NC_019411_NC_019411_86	NC_019411	NC_019411	86	54121	54642	1	D										Putative DnaT-like ssDNA binding protein [PF20557.1]					0
NC_019411_NC_019411_87	NC_019411	NC_019411	87	54642	55034	1	E															0
NC_019411_NC_019411_88	NC_019411	NC_019411	88	55031	55504	1	E															0
NC_019411_NC_019411_89	NC_019411	NC_019411	89	55575	56030	1	E															0
NC_019411_NC_019411_90	NC_019411	NC_019411	90	56174	58006	1	D										Phage tail tube protein [PF18906.3]					0
NC_019411_NC_019411_91	NC_019411	NC_019411	91	58157	58585	1	E															0
NC_019411_NC_019411_92	NC_019411	NC_019411	92	58837	59052	1	E															0
NC_019411_NC_019411_93	NC_019411	NC_019411	93	59058	64940	1	D										Tape measure protein [PF20155.2]; CHAP domain [PF05257.19]					0
NC_019411_NC_019411_94	NC_019411	NC_019411	94	65024	65674	1	D										Conserved hypothetical protein 2217 (DUF2460) [PF09343.13]					0
NC_019411_NC_019411_95	NC_019411	NC_019411	95	65671	67296	1	D										Uncharacterized conserved protein (DUF2163) [PF09931.12]; Phage conserved hypothetical protein BR0599 [PF09356.13]					0
NC_019411_NC_019411_96	NC_019411	NC_019411	96	67293	67718	1	D			MER0722775	C40	MER0722775 - family C40 non-peptidase homologues () [C40.UNW]#C40#{peptidase unit: 16-131}~source J3SL00~	False	1.0	248.0	7.211e-75	NlpC/P60 family [PF00877.22]					0
NC_019411_NC_019411_97	NC_019411	NC_019411	97	67721	71197	1	D										Putative phage tail protein [PF13550.9]					0
NC_019411_NC_019411_98	NC_019411	NC_019411	98	71270	72112	1	E															0
NC_019411_NC_019411_99	NC_019411	NC_019411	99	72109	76347	1	D										F5/8 type C domain [PF00754.28]					0
NC_019411_NC_019411_100	NC_019411	NC_019411	100	76348	76557	1	E															0
NC_019411_NC_019411_101	NC_019411	NC_019411	101	76559	77647	1	E															0
NC_019411_NC_019411_102	NC_019411	NC_019411	102	77727	78368	1	C	K01185	lysozyme [EC:3.2.1.17]								Phage lysozyme [PF00959.22]	GH24	GH24 lysozyme (EC 3.2.1.17)	3.2.1.17	GH24.hmm	0
NC_019411_NC_019411_103	NC_019411	NC_019411	103	78371	78859	1	E															0
NC_019411_NC_019411_104	NC_019411	NC_019411	104	78804	79112	1	E															0
NC_019411_NC_019411_105	NC_019411	NC_019411	105	79109	79588	1	E															0
NC_019411_NC_019411_106	NC_019411	NC_019411	106	79594	79767	1	E															0
NC_019411_NC_019411_107	NC_019411	NC_019411	107	80145	80945	-1	D										Helix-turn-helix domain [PF12844.10]					0
NC_019411_NC_019411_108	NC_019411	NC_019411	108	81123	81806	-1	C	K01520	dUTP diphosphatase [EC:3.6.1.23]								dUTPase [PF00692.22]					0
NC_019411_NC_019411_109	NC_019411	NC_019411	109	81824	83257	-1	C	K00526	ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]								Ribonucleotide reductase, small chain [PF00268.24]; Glutaredoxin [PF00462.27]					0
NC_019411_NC_019411_110	NC_019411	NC_019411	110	83311	86118	-1	C	K00525	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]								Ribonucleotide reductase, barrel domain [PF02867.18]; Ribonucleotide reductase, all-alpha domain [PF00317.24]					0
NC_019411_NC_019411_111	NC_019411	NC_019411	111	86281	86532	-1	E															0
NC_019411_NC_019411_112	NC_019411	NC_019411	112	86507	86854	-1	E															0
NC_019411_NC_019411_113	NC_019411	NC_019411	113	86838	87143	-1	E															0
NC_019411_NC_019411_114	NC_019411	NC_019411	114	87211	88170	-1	D										Thymidylate synthase complementing protein [PF02511.18]					0
NC_019411_NC_019411_115	NC_019411	NC_019411	115	88174	88710	-1	E															0
NC_019411_NC_019411_116	NC_019411	NC_019411	116	88720	90054	-1	D										AAA domain [PF13604.9]; UvrD-like helicase C-terminal domain [PF13538.9]; PIF1-like helicase [PF05970.17]					0
NC_019411_NC_019411_117	NC_019411	NC_019411	117	90128	91216	-1	E															0
NC_019411_NC_019411_118	NC_019411	NC_019411	118	91329	92465	-1	E															0
NC_019411_NC_019411_119	NC_019411	NC_019411	119	92617	93246	-1	D										Exonuclease [PF00929.27]					0
NC_019411_NC_019411_120	NC_019411	NC_019411	120	93318	93992	-1	E															0
NC_019411_NC_019411_121	NC_019411	NC_019411	121	93992	96238	-1	D										DNA polymerase family A [PF00476.23]					0
NC_019411_NC_019411_122	NC_019411	NC_019411	122	96225	97283	-1	D										C-5 cytosine-specific DNA methylase [PF00145.20]					0
NC_019411_NC_019411_123	NC_019411	NC_019411	123	97339	98127	-1	E															0
