	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001097.1_1	QGNH01001097.1	QGNH01001097.1	1	1	777	1	E					0	False	F
QGNH01001097.1_2	QGNH01001097.1	QGNH01001097.1	2	784	1422	1	E					0	False	F
QGNH01001097.1_3	QGNH01001097.1	QGNH01001097.1	3	1422	1691	1	E					0	False	F
QGNH01001097.1_4	QGNH01001097.1	QGNH01001097.1	4	1704	2396	1	E					0	False	F
QGNH01001097.1_5	QGNH01001097.1	QGNH01001097.1	5	2436	2630	1	E					0	False	F
QGNH01001097.1_6	QGNH01001097.1	QGNH01001097.1	6	2640	3440	-1	E					0	False	F
QGNH01001097.1_7	QGNH01001097.1	QGNH01001097.1	7	3433	4032	-1	E					0	False	F
QGNH01001097.1_8	QGNH01001097.1	QGNH01001097.1	8	4029	4745	-1	E					0	False	F
QGNH01001097.1_9	QGNH01001097.1	QGNH01001097.1	9	4943	5446	-1	D	Rap1a immunity proteins [PF18602.4]				0	False	F
QGNH01001097.1_10	QGNH01001097.1	QGNH01001097.1	10	5537	6277	-1	E					0	False	F
QGNH01001097.1_11	QGNH01001097.1	QGNH01001097.1	11	6372	6662	1	E					0	False	F
QGNH01001097.1_12	QGNH01001097.1	QGNH01001097.1	12	6671	6931	-1	E					0	False	F
QGNH01001097.1_13	QGNH01001097.1	QGNH01001097.1	13	6946	7701	-1	E					0	False	F
QGNH01001097.1_14	QGNH01001097.1	QGNH01001097.1	14	7854	8726	1	E					0	False	F
QGNH01001097.1_15	QGNH01001097.1	QGNH01001097.1	15	8822	9271	1	E					0	False	F
QGNH01001097.1_16	QGNH01001097.1	QGNH01001097.1	16	9367	9741	-1	E					0	False	F
QGNH01001097.1_17	QGNH01001097.1	QGNH01001097.1	17	9769	9933	-1	E					0	False	F
