	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000937.1_1	QGNH01000937.1	QGNH01000937.1	1	3	3410	-1	E					0	False	F
QGNH01000937.1_2	QGNH01000937.1	QGNH01000937.1	2	3407	4078	-1	E					0	False	F
QGNH01000937.1_3	QGNH01000937.1	QGNH01000937.1	3	4079	5530	-1	E					0	False	F
QGNH01000937.1_4	QGNH01000937.1	QGNH01000937.1	4	5968	6174	-1	E					0	False	
QGNH01000937.1_5	QGNH01000937.1	QGNH01000937.1	5	6343	6876	-1	E					0	False	
QGNH01000937.1_6	QGNH01000937.1	QGNH01000937.1	6	6892	7710	-1	E					0	False	
QGNH01000937.1_7	QGNH01000937.1	QGNH01000937.1	7	7712	8404	-1	E					0	False	
QGNH01000937.1_8	QGNH01000937.1	QGNH01000937.1	8	8401	10461	-1	E					0	False	F
QGNH01000937.1_9	QGNH01000937.1	QGNH01000937.1	9	10458	11096	-1	E					0	False	F
QGNH01000937.1_10	QGNH01000937.1	QGNH01000937.1	10	11253	11975	-1	E					0	False	F
QGNH01000937.1_11	QGNH01000937.1	QGNH01000937.1	11	11972	12577	-1	E					0	False	F
QGNH01000937.1_12	QGNH01000937.1	QGNH01000937.1	12	12614	13804	-1	D	Family of unknown function (DUF5309) [PF17236.5]				0	False	F
QGNH01000937.1_13	QGNH01000937.1	QGNH01000937.1	13	14047	14229	-1	E					0	False	F
