Target Name	ID	EC value	E-Value (sequence)	Score (domain)
NZ_CP022665.1_834867_836057_+	K00001		9.1e-97	324.0
NZ_CP022665.1_1557514_1558692_-	K00001		6e-58	195.8
NZ_CP022665.1_21164_22489_-	K00003		2.2e-153	511.1
NZ_CP022670.1_158069_159130_+	K00003		1.3e-110	369.8
NZ_CP022666.1_56665_57990_+	K00003		1.6e-08	32.2
NZ_CP022666.1_277314_278327_-	K00004		7.6e-79	264.1
NZ_CP022665.1_1527586_1528596_-	K00008		3.4e-100	334.5
NZ_CP022666.1_1146585_1147577_+	K00010		1.5e-124	415.0
NZ_CP022665.1_3469814_3470806_-	K00010		1.7e-123	411.6
NZ_CP022668.1_484154_485146_+	K00010		2.6e-123	411.0
NZ_CP022666.1_19069_20046_+	K00010		1.1e-88	296.9
NZ_CP022666.1_189100_190104_+	K00010		2.9e-88	295.5
NZ_CP022665.1_3410642_3411970_-	K00012		4.4e-197	654.9
NZ_CP022665.1_1580808_1582106_-	K00013		1.5e-190	634.0
NZ_CP022666.1_278332_279660_-	K00013		1.2e-147	492.1
NZ_CP022665.1_2208728_2209585_-	K00014		4.6e-84	280.8
NZ_CP022667.1_544554_545384_-	K00014		1.9e-52	176.8
NZ_CP022665.1_2047687_2048688_-	K00015		3.7e-135	450.3
NZ_CP022665.1_3326175_3327146_+	K00015		2.6e-116	388.1
NZ_CP022665.1_964225_965052_+	K00019		1.2e-52	178.1
NZ_CP022665.1_3287716_3288618_+	K00019		3e-41	140.3
NZ_CP022667.1_291353_292234_-	K00020		4e-115	384.2
NZ_CP022668.1_32528_33430_+	K00020		7.3e-21	72.9
NZ_CP022665.1_2341766_2342491_+	K00023		2.9e-115	383.0
NZ_CP022665.1_2558113_2559075_+	K00024		2.6e-129	430.9
NZ_CP022665.1_1792246_1794531_-	K00027		2.4e-163	544.3
NZ_CP022665.1_4572275_4574587_-	K00027		1.7e-158	528.2
NZ_CP022665.1_4619378_4620589_-	K00031		2.1e-223	741.9
NZ_CP022665.1_4435924_4437354_+	K00033		7.7e-198	657.6
NZ_CP022665.1_3086352_3087383_+	K00033		2.5e-107	358.6
NZ_CP022665.1_983846_984592_-	K00034		5.6e-88	293.4
NZ_CP022667.1_273751_274563_-	K00034		1.7e-79	265.5
NZ_CP022665.1_1845501_1846265_+	K00034		1.4e-78	262.6
NZ_CP022665.1_2827264_2828043_+	K00034		2.4e-75	251.9
NZ_CP022665.1_4043895_4044632_-	K00034		4.4e-61	205.0
NZ_CP022665.1_561144_562070_+	K00035		2.7e-149	495.3
NZ_CP022665.1_1421964_1423439_+	K00036		7.3e-189	627.9
NZ_CP022665.1_846684_848201_+	K00036		1.9e-170	567.0
NZ_CP022666.1_126820_127569_-	K00038		2.4e-101	337.8
NZ_CP022665.1_3234354_3235109_+	K00038		3.1e-85	284.8
NZ_CP022668.1_63809_64537_+	K00039		3.6e-129	428.4
NZ_CP022665.1_1534278_1535003_-	K00039		3.2e-119	395.9
NZ_CP022665.1_2098337_2099611_+	K00040		2.9e-171	569.5
NZ_CP022665.1_4474949_4475818_-	K00042		3.4e-135	449.7
NZ_CP022665.1_3295544_3296455_+	K00042		1.1e-111	372.3
