	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001712.1_1	QGNH01001712.1	QGNH01001712.1	1	3	1796	-1	E											0	False	F
QGNH01001712.1_2	QGNH01001712.1	QGNH01001712.1	2	1793	1987	-1	E											0	False	F
QGNH01001712.1_3	QGNH01001712.1	QGNH01001712.1	3	2001	2930	-1	E											0	False	F
QGNH01001712.1_4	QGNH01001712.1	QGNH01001712.1	4	2927	3661	-1	E											0	False	F
QGNH01001712.1_5	QGNH01001712.1	QGNH01001712.1	5	3695	4816	-1	E											0	False	F
QGNH01001712.1_6	QGNH01001712.1	QGNH01001712.1	6	4829	5881	-1	E											0	False	F
QGNH01001712.1_7	QGNH01001712.1	QGNH01001712.1	7	5895	6503	-1	E											0	False	
QGNH01001712.1_8	QGNH01001712.1	QGNH01001712.1	8	6500	6667	-1	E											0	False	
QGNH01001712.1_9	QGNH01001712.1	QGNH01001712.1	9	6679	7077	-1	E											0	False	
QGNH01001712.1_10	QGNH01001712.1	QGNH01001712.1	10	7127	7276	1	E											0	False	
QGNH01001712.1_11	QGNH01001712.1	QGNH01001712.1	11	7604	7930	1	E											0	False	F
QGNH01001712.1_12	QGNH01001712.1	QGNH01001712.1	12	7927	8271	1	E											0	False	F
QGNH01001712.1_13	QGNH01001712.1	QGNH01001712.1	13	8268	8942	-1	E											0	False	F
QGNH01001712.1_14	QGNH01001712.1	QGNH01001712.1	14	8950	10035	-1	E											0	False	F
QGNH01001712.1_15	QGNH01001712.1	QGNH01001712.1	15	10037	10630	-1	E											0	False	F
QGNH01001712.1_16	QGNH01001712.1	QGNH01001712.1	16	10630	11139	-1	E											0	False	F
QGNH01001712.1_17	QGNH01001712.1	QGNH01001712.1	17	11154	12509	-1	E	YP_009186871.1	YP_009186871.1 hypothetical protein AUR69_gp07 [Hydrogenobaculum phage 1]	False	199.0	3.0489999999999995e-53	0.321					0	False	F
QGNH01001712.1_18	QGNH01001712.1	QGNH01001712.1	18	12634	12834	1	E											0	False	F
