Name	Count
nan	812
Histidine	35
PEP	15
Pyruvate fermentation to acetate and lactate I	4
Pyruvate fermentation to ethanol III	3
Cysteine and methionine	29
Pyruvate fermentation to lactate	5
Peptidoglycan biosynthesis	20
Murein	5
Pyruvate fermentation to ethanol I	3
Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation	13
Superpathway of clostridium acetobutylicum acidogenic fermentation	11
Superpathway of clostridium acetobutylicum solventogenic fermentation	9
Oxaloacetate to lysine	27
Pyruvate fermentation to acetate I	3
Pyruvate fermentation to acetate IV	3
Pyruvate fermentation to propionate II (acrylate pathway)	3
Denitrification	3
(R)-acetoin biosynthesis I	1
(s)-acetoin biosynthesis	1
Meso-butanediol biosynthesis II	1
Superpathway of (R,R)-butanediol biosynthesis	1
Pyruvate fermentation to acetate III	1
Pyruvate fermentation to acetate and lactate II	1
Pyruvate fermentation to acetate II	1
Pyruvate fermentation to acetate VII	1
Maltose	12
Pyruvate to leucine	3
Sulfolactate degradation	2
Pyruvate fermentation to butanoate	5
Lipopolysaccharide biosynthesis	27
Pyruvate fermentation to acetone	3
Thiosulfate disproportionation	2
Sucrose	10
Pyruvate fermentation to acetate V	2
Pyruvate fermentation to acetate VI	2
Glutamate	1
Oxaloacetate to aspartate and asparagine	4
ABC-2 type and other transporters	15
Phosphate and amino acid transporters	12
Mineral and organic ion transporters	21
 metallic cation, iron-siderophore and vitamin b12 transporters	7
Oligosaccharide and polyol transporters	17
PEPtide and nickel transporters	4
Monosaccharide transporters	9
Phosphate and organophosphate transporters	1
Nitrate/nitrite transporters	1
Enzyme I and hpr	28
Lactose	10
Mucin type O-glycan biosynthesis	5
N-glycan biosynthesis	5
Drug transporters	13
Organic acid transporters	5
Dissimilatory nitrate reduction	1
Pyruvate fermentation to ethanol II	1
Cellobiose	2
Sugar transporters	3
