Name	Count
Starch	28
Xylose	9
Lysine biosynthesis	16
Amino acid biosynthesis precursor pyruvate and oxaloacetate	114
Tryptophan metabolism	11
Bifidobacterium shunt	8
Heterolactic fermentation	14
Homolactic fermentation	8
Pyruvate Fermentation	74
Cysteine and methionine metabolism	28
Histidine degradation	2
Mixed acid fermentation	11
Replenishment of TCA cycle intermediates (necessary because some intermediates serve as precursors for biosysnthesis)	3
Incomplete TCA fork	11
Serine pathway for formaldehyde fixation	3
Cellular response to stress	26
RuMP pathway for formaldehyde fixation (first two steps are common to both RuMP pathway variants)	2
Glycine, serine and threonine metabolism	29
Polysaccharide biosynthesis and assembly of cell surface structure	62
Purine metabolism	58
Degradation of purine bases	2
Response to osmotic stress	45
From formate	2
Methane oxidation to cO2	4
Formaldehyde oxidation (tetrahydrofolate pathway)	3
Formaldehyde oxidation (glutathione-dependent)	1
Acetylene degradation	3
Polycyclic aromatic hydrocarbon degradation	2
Methionine biosynthesis	6
Glycolysis	9
EMP	10
Glycolysis III (EMP)	9
Gluconeogenesis in archea	10
Regulation of stress-activated protein kinase signaling cascade	1
Lysine degradation VIII	1
Methionine degradation	3
Arginine and proline metabolism	30
TCA cycle	11
Valine, leucine and isoleucine degradation	11
Fatty acid activation	7
Reductive TCA cycle	4
Fatty acid beta-oxidation I	10
Oxydation deamination	3
Alanine, aspartate and glutamate metabolism (contain asparagin as well)	24
Ammonia assimilation	7
Valine, leucine and isoleucine biosynthesis	4
Phenylalanine metabolism	10
From CO2	1
Nitrogenated compounds Reduction	4
Pyrimidine metabolism	51
Response to oxidative stress	8
Aromatic carboxylic acid degradation	3
Phenylalanine, tyrosine and tryptophan biosynthesis	18
Response to nitrosative stress	12
Reductive acetyl coenzyme A pathway	18
Acetoin biosynthesis	4
Lysine fermentation to acetate and butyrate	3
Acetate formation from acetyl-coA I	1
Glycosyltransferase	9
Disaccaride phosphorylase	34
Degradation of pyrimidine bases	3
Histidine biosynthesis, pRpp => histidine	11
Sulfur compounds cycle	4
Galactose	20
Gluconeogenesis	6
Hexose	1
Pentose	4
EMP  in archea	6
From acetate	3
nan	1
Glutamate degradation V (via hydroxyglutarate)	7
Succinate fermentation to butyrate	1
Acetyl-coA fermentation to butyrate II (clostridium)	1
Polysaccharide lyase	3
Cellular response to osmotic stress	26
Glycoside hydrolase	18
Chitin	1
Carbohydrate esterase	3
Other aromatics degradation	3
Pyruvate fermentation to butanol	7
Regulation of translation in response to oxidative stress	1
Fatty acid beta-oxidation II (core pathway)	6
Fatty acid beta-oxidation IV (unsaturated)	4
D-glutamine and D-glutamate metabolism	3
Fatty acid beta-oxidation III (unsaturated)	1
Mannose	15
ABC transporters, prokaryotic type	85
Major Facilitator superfamily (MFS)	23
Regulation of response to osmotic stress	21
Hydrogen production VII (chlorophyta, cyanobacteria)	1
Phosphotransferase system (pts)	28
Hydrogen production	2
Cellular response to oxidative stress	3
Transamination	1
Regulation of translational initiation in response to osmotic stress	2
BTEX and related aromatics degradation	1
Cellular response to cation stress	2
Hydrogen oxidation aerobic	1
