Name	Count
20_Hydrolysis of polymers	73
06_Amino acid utilization biosynthesis metabolism	325
01_Fermentation	141
10_TCA cycle	29
15_Methylotrophy	13
21_Cellular response to stress	147
19_Saccharide and derivated synthesis	96
07_Nucleic acid metabolism	114
14_Methanogenesis	6
08_Hydrocarbon degradation	9
02_Homoacetogenesis	28
16_Embden Meyerhof-Parnos (EMP)	25
17_Gluconeogenesis	16
05_Fatty acid oxidation	28
11_Nitrogen cycle	11
09_Carbohydrate Active enzyme - CAZy	33
18_Sulfur compounds metabolism	4
04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	5
03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	1
12_Transporters	136
13_Hydrogen metabolism	4
