	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001829.1_1	QGNH01001829.1	QGNH01001829.1	1	1	225	-1	E											0	False	F
QGNH01001829.1_2	QGNH01001829.1	QGNH01001829.1	2	458	712	1	E											0	False	F
QGNH01001829.1_3	QGNH01001829.1	QGNH01001829.1	3	724	960	-1	E											0	False	F
QGNH01001829.1_4	QGNH01001829.1	QGNH01001829.1	4	1264	1611	1	E											0	False	F
QGNH01001829.1_5	QGNH01001829.1	QGNH01001829.1	5	1664	2047	1	E											0	False	F
QGNH01001829.1_6	QGNH01001829.1	QGNH01001829.1	6	2040	3230	-1	E	YP_009177798.1	YP_009177798.1 MAG: hypothetical protein ASQ69_gp15 [Yellowstone Lake virophage 5]	False	0.329	88.0	3.803e-17		VOG02797	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01001829.1_7	QGNH01001829.1	QGNH01001829.1	7	3345	4160	-1	E	YP_009177816.1	YP_009177816.1 MAG: putative packaging ATPase [Yellowstone Lake virophage 6]	False	0.264	77.0	2.613e-14		VOG05703	sp|B4YNE3|V3_SPTNK Uncharacterized protein V3; Xu	Xu	0	False	F
QGNH01001829.1_8	QGNH01001829.1	QGNH01001829.1	8	4655	5563	1	E											0	False	F
QGNH01001829.1_9	QGNH01001829.1	QGNH01001829.1	9	5650	6495	-1	E											1	False	F
QGNH01001829.1_10	QGNH01001829.1	QGNH01001829.1	10	6698	6988	1	E											0	False	F
QGNH01001829.1_11	QGNH01001829.1	QGNH01001829.1	11	7125	10478	1	D	YP_003986482.1	YP_003986482.1 putative helicase [Acanthamoeba polyphaga mimivirus]	False	0.195	64.0	7.109e-09	Origin of replication binding protein [PF02399.18]	VOG05835	REFSEQ hypothetical protein; Xu	Xu	0	False	F
