	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001095.1_1	QGNH01001095.1	QGNH01001095.1	1	50	1048	-1	E								VOG02069	sp|Q9T1S9|PORTL_BPAPS Portal protein; XhXpXrXs	Xh;Xp;Xr;Xs	0	False	VF
QGNH01001095.1_2	QGNH01001095.1	QGNH01001095.1	2	1290	2291	-1	E								VOG02069	sp|Q9T1S9|PORTL_BPAPS Portal protein; XhXpXrXs	Xh;Xp;Xr;Xs	0	False	VF
QGNH01001095.1_3	QGNH01001095.1	QGNH01001095.1	3	2302	3000	-1	E											0	False	F
QGNH01001095.1_4	QGNH01001095.1	QGNH01001095.1	4	2994	5270	-1	E	YP_010662950.1	YP_010662950.1 terminase large subunit [Agrobacterium phage Atu_ph04]	False	66.0	1.411e-09	0.224					0	False	F
QGNH01001095.1_5	QGNH01001095.1	QGNH01001095.1	5	5283	6044	-1	E											0	False	F
QGNH01001095.1_6	QGNH01001095.1	QGNH01001095.1	6	6102	6410	-1	E											0	False	F
QGNH01001095.1_7	QGNH01001095.1	QGNH01001095.1	7	6530	7144	-1	D							Methyltransferase FkbM domain [PF05050.15]				0	False	F
QGNH01001095.1_8	QGNH01001095.1	QGNH01001095.1	8	7179	8102	-1	E											0	False	F
QGNH01001095.1_9	QGNH01001095.1	QGNH01001095.1	9	8099	8986	-1	E											0	False	F
QGNH01001095.1_10	QGNH01001095.1	QGNH01001095.1	10	8979	9248	-1	E											0	False	F
QGNH01001095.1_11	QGNH01001095.1	QGNH01001095.1	11	9372	9782	-1	E											0	False	F
QGNH01001095.1_12	QGNH01001095.1	QGNH01001095.1	12	9766	10290	-1	E											0	False	F
