ID	DJ	GIC31	RW1	RW2	Rleg
VOG00002	1	1	0	1	1
VOG00004	1	1	0	1	1
VOG00006	1	0	1	0	1
VOG00014	0	0	0	1	0
VOG00018	1	0	0	0	0
VOG00025	1	1	0	1	1
VOG00033	1	1	0	1	1
VOG00045	1	0	0	0	0
VOG00047	1	0	0	0	1
VOG00051	1	1	0	1	0
VOG00053	1	0	0	0	1
VOG00055	1	1	1	1	1
VOG00056	1	1	1	1	1
VOG00060	1	1	0	1	1
VOG00066	1	1	0	1	1
VOG00068	1	0	0	0	0
VOG00071	1	0	0	0	1
VOG00072	1	1	0	1	0
VOG00075	1	1	0	1	1
VOG00082	1	0	0	0	1
VOG00085	1	0	0	0	0
VOG00088	1	1	0	1	1
VOG00089	1	1	0	1	1
VOG00094	0	0	0	0	1
VOG00098	1	0	0	0	0
VOG00106	1	1	0	1	1
VOG00107	1	1	1	1	1
VOG00110	0	1	0	1	0
VOG00111	1	1	0	1	1
VOG00121	1	0	1	1	1
VOG00122	1	1	0	1	1
VOG00123	1	1	0	1	1
VOG00127	1	1	0	1	1
VOG00129	1	1	0	1	1
VOG00136	1	0	0	0	0
VOG00137	1	1	0	1	1
VOG00155	1	0	0	0	0
VOG00158	1	1	0	1	1
VOG00164	1	1	0	1	1
VOG00182	1	1	0	1	1
VOG00184	1	1	0	1	0
VOG00189	0	0	0	0	1
VOG00196	1	1	0	1	1
VOG00211	1	1	0	1	1
VOG00214	0	0	0	0	1
VOG00221	1	0	0	0	1
VOG00229	0	0	0	0	1
VOG00231	1	0	0	0	0
VOG00234	0	0	0	0	1
VOG00242	0	0	0	0	1
VOG00248	0	1	0	1	0
VOG00251	0	0	1	0	0
VOG00254	0	0	0	0	1
VOG00259	1	1	1	1	1
VOG00261	1	1	1	1	1
VOG00264	1	1	0	1	1
VOG00272	1	1	1	1	1
VOG00279	1	1	0	1	1
VOG00281	0	0	0	0	1
VOG00282	1	1	1	1	1
VOG00284	1	0	0	0	1
VOG00288	1	1	0	1	1
