	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001577.1_1	QGNH01001577.1	QGNH01001577.1	1	3	359	-1	D							Putative phage metallopeptidase [PF18894.3]				0	False	F
QGNH01001577.1_2	QGNH01001577.1	QGNH01001577.1	2	337	741	-1	E											0	False	F
QGNH01001577.1_3	QGNH01001577.1	QGNH01001577.1	3	969	1280	-1	E											0	False	F
QGNH01001577.1_4	QGNH01001577.1	QGNH01001577.1	4	1277	3508	-1	E											0	False	F
QGNH01001577.1_5	QGNH01001577.1	QGNH01001577.1	5	3509	3664	-1	E											0	False	F
QGNH01001577.1_6	QGNH01001577.1	QGNH01001577.1	6	3661	5439	-1	E								VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xr;Xh	0	False	VF
QGNH01001577.1_7	QGNH01001577.1	QGNH01001577.1	7	5517	5921	-1	E											1	False	
QGNH01001577.1_8	QGNH01001577.1	QGNH01001577.1	8	5908	6123	-1	E											0	False	
QGNH01001577.1_9	QGNH01001577.1	QGNH01001577.1	9	6120	6392	-1	E											0	False	
QGNH01001577.1_10	QGNH01001577.1	QGNH01001577.1	10	6402	6995	-1	E											0	False	
QGNH01001577.1_11	QGNH01001577.1	QGNH01001577.1	11	7084	7605	-1	D							Collagen triple helix repeat (20 copies) [PF01391.21]				0	False	
QGNH01001577.1_12	QGNH01001577.1	QGNH01001577.1	12	7602	7835	-1	E											0	False	
QGNH01001577.1_13	QGNH01001577.1	QGNH01001577.1	13	7832	11956	-1	E											0	False	F
QGNH01001577.1_14	QGNH01001577.1	QGNH01001577.1	14	11946	13655	-1	E											0	False	F
QGNH01001577.1_15	QGNH01001577.1	QGNH01001577.1	15	13835	14644	-1	E											0	False	F
QGNH01001577.1_16	QGNH01001577.1	QGNH01001577.1	16	14625	15092	-1	E											0	False	F
QGNH01001577.1_17	QGNH01001577.1	QGNH01001577.1	17	15129	15305	-1	D							Probable zinc-ribbon domain [PF13451.9]				0	False	F
QGNH01001577.1_18	QGNH01001577.1	QGNH01001577.1	18	15281	16360	-1	D	NP_640300.1	NP_640300.1 hypothetical protein VpV262p39 [Vibrio phage VpV262]	False	71.0	8.588e-12	0.318	Dual specificity phosphatase, catalytic domain [PF00782.23]				0	False	F
