	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000343.1_1	QGNH01000343.1	QGNH01000343.1	1	2	142	-1	E													0	False	F
QGNH01000343.1_2	QGNH01000343.1	QGNH01000343.1	2	145	495	-1	E													0	False	F
QGNH01000343.1_3	QGNH01000343.1	QGNH01000343.1	3	509	1426	-1	D									HNH endonuclease [PF14279.9]; HNH endonuclease [PF13395.9]; HNH endonuclease [PF01844.26]	VOG00049	sp|Q5UPT5|YL246_MIMIV Uncharacterized protein L246; Xu	Xu	0	False	F
QGNH01000343.1_4	QGNH01000343.1	QGNH01000343.1	4	1506	2687	-1	E													0	False	F
QGNH01000343.1_5	QGNH01000343.1	QGNH01000343.1	5	2781	4748	-1	E													0	False	F
QGNH01000343.1_6	QGNH01000343.1	QGNH01000343.1	6	4748	5101	-1	E													0	False	F
QGNH01000343.1_7	QGNH01000343.1	QGNH01000343.1	7	5049	5252	-1	E													0	False	
QGNH01000343.1_8	QGNH01000343.1	QGNH01000343.1	8	5236	7110	-1	E													0	False	F
QGNH01000343.1_9	QGNH01000343.1	QGNH01000343.1	9	7339	7596	1	E													0	False	F
QGNH01000343.1_10	QGNH01000343.1	QGNH01000343.1	10	7708	8340	1	E													0	False	F
QGNH01000343.1_11	QGNH01000343.1	QGNH01000343.1	11	9338	10909	-1	C	K06909	phage terminase large subunit	NP_046964.1	NP_046964.1 terminase large subunit [Methanobacterium phage psiM2]	False	96.0	4.355e-19	0.32	Phage terminase large subunit [PF04466.16]; Terminase RNaseH-like domain [PF17289.5]; Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]	VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
QGNH01000343.1_12	QGNH01000343.1	QGNH01000343.1	12	10872	11426	-1	E													0	False	F
QGNH01000343.1_13	QGNH01000343.1	QGNH01000343.1	13	11426	11551	-1	E													0	False	F
