	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_061433.1_1	NC_061433.1	NC_061433.1	1	3	140	1	E																				0	False	F
NC_061433.1_2	NC_061433.1	NC_061433.1	2	510	1223	-1	D			YP_010299080.1	YP_010299080.1 CI-like repressor [Pseudomonas phage Spike]	True	0.976	490.0	5.165e-157	MER0505549	S24	MER0505549 - family S24 unassigned peptidases (Pseudomonas aeruginosa) [S24.UPW]#S24#{peptidase unit: 106-236}~source YP_008941643~	False	267.0	2.038e-79	0.959	Peptidase S24-like [PF00717.26]; Helix-turn-helix [PF01381.25]				0	False	PF
NC_061433.1_3	NC_061433.1	NC_061433.1	3	1393	1749	1	C	K07724	Ner family transcriptional regulator	YP_009152305.1	YP_009152305.1 transcriptional repressor [Pseudomonas phage H70]	False	0.966	242.0	1.475e-73								Winged helix-turn-helix DNA-binding [PF13693.9]				0	False	F
NC_061433.1_4	NC_061433.1	NC_061433.1	4	1752	2186	1	E			YP_010299082.1	YP_010299082.1 transcriptional regulator [Pseudomonas phage Spike]	False	0.959	293.0	1.442e-90									VOG10169	REFSEQ transcriptional regulator; Xu	Xu	0	False	F
NC_061433.1_5	NC_061433.1	NC_061433.1	5	2186	2383	1	E			YP_010299083.1	YP_010299083.1 hypothetical protein MPI96_gp04 [Pseudomonas phage Spike]	False	0.936	130.0	1.1010000000000001e-35									VOG10184	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_061433.1_6	NC_061433.1	NC_061433.1	6	2451	4445	1	C	K07497	putative transposase	YP_010299084.1	YP_010299084.1 transposase [Pseudomonas phage Spike]	True	0.957	1338.0	0.0								Bacteriophage Mu transposase [PF02914.18]; Mu transposase, C-terminal [PF09299.14]; Integrase core domain [PF00665.29]; Mu DNA-binding domain [PF02316.19]	VOG00376	sp|P16942|T629_SHISO Transposase for insertion sequence element IS629; Xr	Xr	0	False	VF
NC_061433.1_7	NC_061433.1	NC_061433.1	7	4460	5209	1	D			YP_010299085.1	YP_010299085.1 DNA transposition protein [Pseudomonas phage Spike]	True	0.937	491.0	2.578e-157								AAA domain [PF13401.9]; Bacterial TniB protein [PF05621.14]	VOG02271	sp|P03763|TARGB_BPMU ATP-dependent target DNA activator B; XhXr	Xh;Xr	0	False	VF
NC_061433.1_8	NC_061433.1	NC_061433.1	8	5206	5853	1	E			YP_001469136.1	YP_001469136.1 transcriptional regulator [Pseudomonas phage MP22]	True	0.984	449.0	3.189e-143									VOG01352	REFSEQ transcriptional regulator; Xu	Xu	0	False	
NC_061433.1_9	NC_061433.1	NC_061433.1	9	5838	5954	1	E			YP_007392771.1	YP_007392771.1 hypothetical protein H379_gp08 [Pseudomonas phage JBD24]	False	0.951	78.0	3.049e-18									VOG12301	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_061433.1_10	NC_061433.1	NC_061433.1	10	5954	6367	1	E			YP_007392772.1	YP_007392772.1 hypothetical protein H379_gp09 [Pseudomonas phage JBD24]	False	0.951	276.0	5.913e-85									VOG00259	sp|Q51647|YISX_BURM1 Insertion element IS401 uncharacterized 12.4 kDa protein; Xu	Xu	0	False	
NC_061433.1_11	NC_061433.1	NC_061433.1	11	6330	6641	1	E			YP_010299322.1	YP_010299322.1 hypothetical protein MPJ03_gp11 [Pseudomonas phage vB_PaeS_PcyII-40_PfII40a]	False	0.92	201.0	1.828e-59									VOG10170	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_061433.1_12	NC_061433.1	NC_061433.1	12	6658	7176	1	D			YP_010299090.1	YP_010299090.1 host nuclease inhibitor [Pseudomonas phage Spike]	False	0.94	341.0	7.597e-107								Bacteriophage Mu Gam like protein [PF07352.15]	VOG02333	sp|P06023|GAM_BPMU Putative DNA ends protecting protein gam; XhXp	Xh;Xp	0	False	
