	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
AY190604.2_1	AY190604	AY190604.2	1	1970	2875	1	E			NP_861589.2	NP_861589.2 hypothetical protein HfxHF1_005 [Halophage HF1]	True	0.939	595	2.9250000000000002e-192									VOG23963	REFSEQ hypothetical protein; Xu	Xu	0	False	F
AY190604.2_2	AY190604	AY190604.2	2	2979	3320	1	E			NP_861590.2	NP_861590.2 hypothetical protein HfxHF1_010 [Halophage HF1]	False	0.953	229	5.352e-69									VOG23962	REFSEQ hypothetical protein; Xu	Xu	0	False	F
AY190604.2_3	AY190604	AY190604.2	3	3313	3663	1	E			NP_861591.1	NP_861591.1 hypothetical protein HfxHF1_015 [Halophage HF1]	False	0.95	234	1.019e-70									VOG23961	REFSEQ hypothetical protein; Xu	Xu	0	False	F
AY190604.2_4	AY190604	AY190604.2	4	3987	4346	1	E			NP_861593.1	NP_861593.1 hypothetical protein HfxHF1_030 [Halophage HF1]	False	1.0	259	2.678e-79									VOG23957	REFSEQ hypothetical protein; Xu	Xu	0	False	F
AY190604.2_5	AY190604	AY190604.2	5	4446	4736	1	E			NP_861594.1	NP_861594.1 hypothetical protein HfxHF1_035 [Halophage HF1]	False	0.949	194	3.841e-57									VOG23958	REFSEQ hypothetical protein; Xu	Xu	0	False	F
AY190604.2_6	AY190604	AY190604.2	6	4744	4881	1	E			YP_009725272.1	YP_009725272.1 hypothetical protein HfxHF1_040 [Halophage HF1]	False	1.0	98	5.603000000000001e-25									VOG23956	REFSEQ hypothetical protein; Xu	Xu	0	False	F
AY190604.2_7	AY190604	AY190604.2	7	5112	5255	1	E			NP_861595.1	NP_861595.1 hypothetical protein HfxHF1_050 [Halophage HF1]	False	0.96	97	1.174e-24									VOG23955	REFSEQ hypothetical protein; Xu	Xu	0	False	
AY190604.2_8	AY190604	AY190604.2	8	5252	5530	1	E			NP_861596.1	NP_861596.1 hypothetical protein HfxHF1_055 [Halophage HF1]	False	0.92	179	2.774e-52									VOG23954	REFSEQ hypothetical protein; Xu	Xu	0	False	
AY190604.2_9	AY190604	AY190604.2	9	5530	5637	1	E			NP_861597.1	NP_861597.1 hypothetical protein HfxHF1_060 [Halophage HF1]	False	1.0	76	1.27e-17									VOG23952	REFSEQ hypothetical protein; Xu	Xu	0	False	
AY190604.2_10	AY190604	AY190604.2	10	5641	5889	1	E			NP_542506.1	NP_542506.1 hypothetical protein HrrHF2_065 [Halorubrum phage HF2]	False	0.962	168	1.189e-48									VOG14408	REFSEQ hypothetical protein; Xu	Xu	0	False	
AY190604.2_11	AY190604	AY190604.2	11	5889	6008	1	E			NP_542507.1	NP_542507.1 hypothetical protein HrrHF2_070 [Halorubrum phage HF2]	False	0.898	76	2.981e-17									VOG23951	REFSEQ hypothetical protein; Xu	Xu	0	False	
AY190604.2_12	AY190604	AY190604.2	12	6005	6673	1	E			NP_861600.1	NP_861600.1 putative CxxC motif protein [Halophage HF1]	True	1.0	487	1.679e-156									VOG04964	REFSEQ hypothetical protein; Xu	Xu	0	False	
AY190604.2_13	AY190604	AY190604.2	13	6692	7057	1	E			NP_861601.1	NP_861601.1 putative CxxC motif protein [Halophage HF1]	False	1.0	265	1.3749999999999996e-81									VOG23953	REFSEQ hypothetical protein; Xu	Xu	0	False	
AY190604.2_14	AY190604	AY190604.2	14	7054	7323	1	E			NP_861602.1	NP_861602.1 hypothetical protein HfxHF1_085 [Halophage HF1]	False	0.977	186	1.518e-54									VOG23950	REFSEQ hypothetical protein; Xu	Xu	0	False	
