	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000325.1_1	QGNH01000325.1	QGNH01000325.1	1	2	739	-1	E											0	False	F
QGNH01000325.1_2	QGNH01000325.1	QGNH01000325.1	2	751	2427	-1	E											0	False	F
QGNH01000325.1_3	QGNH01000325.1	QGNH01000325.1	3	2432	3124	-1	E											0	False	F
QGNH01000325.1_4	QGNH01000325.1	QGNH01000325.1	4	3115	3519	-1	E											0	False	F
QGNH01000325.1_5	QGNH01000325.1	QGNH01000325.1	5	3522	3986	-1	E											0	False	F
QGNH01000325.1_6	QGNH01000325.1	QGNH01000325.1	6	4179	5558	-1	E											0	False	F
QGNH01000325.1_7	QGNH01000325.1	QGNH01000325.1	7	5574	6284	-1	E											0	False	
QGNH01000325.1_8	QGNH01000325.1	QGNH01000325.1	8	6699	7487	-1	E											0	False	
QGNH01000325.1_9	QGNH01000325.1	QGNH01000325.1	9	7510	9594	-1	E											0	False	F
QGNH01000325.1_10	QGNH01000325.1	QGNH01000325.1	10	9594	10370	-1	E	YP_010669724.1	YP_010669724.1 virion protein [Synechococcus phage S-SCSM1]	False	0.351	72.0	7.492e-13		VOG14701	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01000325.1_11	QGNH01000325.1	QGNH01000325.1	11	10375	12348	-1	E	YP_009797323.1	YP_009797323.1 terminase large subunit [Faecalibacterium phage FP_Mushu]	False	0.21	112.0	8.120999999999999e-24		VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xh;Xr	0	False	VF
QGNH01000325.1_12	QGNH01000325.1	QGNH01000325.1	12	12345	12536	-1	E											0	False	F
