	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000228.1_1	QGNH01000228.1	QGNH01000228.1	1	3	1424	-1	E							0	False	F
QGNH01000228.1_2	QGNH01000228.1	QGNH01000228.1	2	1435	2772	-1	E							0	False	F
QGNH01000228.1_3	QGNH01000228.1	QGNH01000228.1	3	2783	3385	-1	E							0	False	F
QGNH01000228.1_4	QGNH01000228.1	QGNH01000228.1	4	3396	3842	-1	E							0	False	F
QGNH01000228.1_5	QGNH01000228.1	QGNH01000228.1	5	3842	5872	-1	E							0	False	F
QGNH01000228.1_6	QGNH01000228.1	QGNH01000228.1	6	5869	6693	-1	E							0	False	
QGNH01000228.1_7	QGNH01000228.1	QGNH01000228.1	7	6690	6869	-1	E							0	False	
QGNH01000228.1_8	QGNH01000228.1	QGNH01000228.1	8	6926	8428	-1	E							0	False	
QGNH01000228.1_9	QGNH01000228.1	QGNH01000228.1	9	8425	8718	-1	E							0	False	
QGNH01000228.1_10	QGNH01000228.1	QGNH01000228.1	10	8681	10093	-1	D			6-hydroxymethylpterin diphosphokinase MptE-like [PF01973.21]				0	False	
QGNH01000228.1_11	QGNH01000228.1	QGNH01000228.1	11	10090	10299	-1	E							0	False	
QGNH01000228.1_12	QGNH01000228.1	QGNH01000228.1	12	10301	10837	-1	E							0	False	
QGNH01000228.1_13	QGNH01000228.1	QGNH01000228.1	13	10849	11349	-1	E							0	False	
QGNH01000228.1_14	QGNH01000228.1	QGNH01000228.1	14	11364	12575	-1	E							0	False	
QGNH01000228.1_15	QGNH01000228.1	QGNH01000228.1	15	12605	13795	-1	E							0	False	
QGNH01000228.1_16	QGNH01000228.1	QGNH01000228.1	16	13830	14132	-1	D			Zinc ribbon domain [PF09723.13]				0	False	
QGNH01000228.1_17	QGNH01000228.1	QGNH01000228.1	17	14136	16244	-1	E							0	False	F
QGNH01000228.1_18	QGNH01000228.1	QGNH01000228.1	18	16248	16631	-1	D			Prokaryotic phospholipase A2 [PF09056.14]				0	False	F
QGNH01000228.1_19	QGNH01000228.1	QGNH01000228.1	19	16633	16875	-1	E							0	False	F
QGNH01000228.1_20	QGNH01000228.1	QGNH01000228.1	20	16872	17162	-1	E							0	False	F
QGNH01000228.1_21	QGNH01000228.1	QGNH01000228.1	21	17159	17347	-1	E							0	False	F
QGNH01000228.1_22	QGNH01000228.1	QGNH01000228.1	22	17406	18995	-1	C	K06909	phage terminase large subunit		VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
QGNH01000228.1_23	QGNH01000228.1	QGNH01000228.1	23	19127	19624	-1	E							0	False	F
