	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
NC_041871_1	NC_041871	NC_041871	1	1	1983	-1	E			YP_009593845.1	YP_009593845.1 RIIA lysis inhibitor [Escherichia phage Murica]	True	0.996	1390	0.0													VOG00493	sp|P03690|VR2A_BPT4 Protein rIIA; XhXr	Xh;Xr	0	False	VF
NC_041871_2	NC_041871	NC_041871	2	1980	2480	-1	C	K01449	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	YP_009593846.1	YP_009593846.1 endolysin [Escherichia phage Murica]	False	0.99	349	1.0350000000000001e-109								Cell Wall Hydrolase [PF07486.15]								0	False	F
NC_041871_3	NC_041871	NC_041871	3	2530	2910	-1	E			YP_009593847.1	YP_009593847.1 hypothetical protein FDG88_gp003 [Escherichia phage Murica]	False	1.0	273	3.166e-84													VOG11196	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_041871_4	NC_041871	NC_041871	4	2921	4105	-1	D			YP_002003506.1	YP_002003506.1 ATPase [Escherichia phage V5]	True	0.966	803	1.248e-262								ATPase family associated with various cellular activities (AAA) [PF07726.14]; AAA domain (dynein-related subfamily) [PF07728.17]					VOG02489	sp|P04526|LOADL_BPT4 Sliding-clamp-loader large subunit; XhXr	Xh;Xr	0	False	VF
NC_041871_5	NC_041871	NC_041871	5	4105	4374	-1	E			YP_009593849.1	YP_009593849.1 ATPase [Escherichia phage Murica]	False	0.983	187	5.878e-55													VOG11202	REFSEQ ATPase; Xu	Xu	0	False	F
NC_041871_6	NC_041871	NC_041871	6	4419	4799	-1	E			YP_009593850.1	YP_009593850.1 hypothetical protein FDG88_gp006 [Escherichia phage Murica]	False	1.0	276	2.531e-85													VOG11197	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_041871_7	NC_041871	NC_041871	7	4802	5059	-1	E			YP_009593851.1	YP_009593851.1 hypothetical protein FDG88_gp007 [Escherichia phage Murica]	False	0.961	174	1.199e-50													VOG11200	REFSEQ hypothetical protein; Xu	Xu	0	False	F
NC_041871_8	NC_041871	NC_041871	8	5059	5415	-1	E			YP_009593852.1	YP_009593852.1 hypothetical protein FDG88_gp008 [Escherichia phage Murica]	False	0.974	244	2.2160000000000002e-74													VOG11198	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_041871_9	NC_041871	NC_041871	9	5429	5701	-1	E			YP_009593853.1	YP_009593853.1 hypothetical protein FDG88_gp009 [Escherichia phage Murica]	False	1.0	200	1.814e-59													VOG11199	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_041871_10	NC_041871	NC_041871	10	5704	6603	-1	E			YP_009593854.1	YP_009593854.1 hypothetical protein FDG88_gp010 [Escherichia phage Murica]	True	0.985	623	3.711e-202													VOG11201	REFSEQ putative alpha 1-3 fucosyltransferase; Xu	Xu	0	False	
NC_041871_11	NC_041871	NC_041871	11	6683	7723	1	E			YP_009593855.1	YP_009593855.1 HNH endonuclease [Escherichia phage Murica]	True	0.956	655	3.760000000000001e-212																0	False	
NC_041871_12	NC_041871	NC_041871	12	7757	9217	1	D			YP_009593856.1	YP_009593856.1 HNH endonuclease [Escherichia phage Murica]	True	0.97	994	0.0								Putative metallopeptidase domain [PF13203.9]; VWA-like domain (DUF2201) [PF09967.12]					VOG01084	REFSEQ HNH endonuclease; Xu	Xu	0	False	
NC_041871_13	NC_041871	NC_041871	13	9233	9496	1	E			YP_009593857.1	YP_009593857.1 hypothetical protein FDG88_gp013 [Escherichia phage Murica]	False	0.93	172	8.834e-50													VOG07027	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_041871_14	NC_041871	NC_041871	14	9496	9759	1	E			YP_009593858.1	YP_009593858.1 hypothetical protein FDG88_gp014 [Escherichia phage Murica]	False	1.0	187	3.88e-55													VOG07027	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_041871_15	NC_041871	NC_041871	15	9759	10022	1	E			YP_009593859.1	YP_009593859.1 hypothetical protein FDG88_gp015 [Escherichia phage Murica]	False	0.978	182	3.249e-53													VOG11203	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_041871_16	NC_041871	NC_041871	16	10024	10257	1	E			YP_009030924.1	YP_009030924.1 hypothetical protein FG37_gp015 [Escherichia phage FFH2]	False	0.95	156	1.688e-44													VOG11204	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_041871_17	NC_041871	NC_041871	17	10274	10723	1	E			YP_009593861.1	YP_009593861.1 tail protein [Escherichia phage Murica]	False	0.97	306	2.916e-95													VOG11205	REFSEQ tail protein; Xu	Xu	0	False	
NC_041871_18	NC_041871	NC_041871	18	10720	10965	1	E			YP_009030926.1	YP_009030926.1 hypothetical protein FG37_gp017 [Escherichia phage FFH2]	False	0.995	173	3.484e-50													VOG06489	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_041871_19	NC_041871	NC_041871	19	10968	11534	1	E			YP_002003521.1	YP_002003521.1 hypothetical protein rv5_gp019 [Escherichia phage V5]	True	1.0	406	5.494e-129													VOG11206	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_041871_20	NC_041871	NC_041871	20	11592	11867	1	E			YP_009593864.1	YP_009593864.1 hypothetical protein FDG88_gp020 [Escherichia phage Murica]	False	0.953	184	4.327e-54													VOG11207	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_041871_21	NC_041871	NC_041871	21	11870	12334	1	E			YP_009593865.1	YP_009593865.1 hypothetical protein FDG88_gp021 [Escherichia phage Murica]	False	1.0	334	6.8539999999999994e-105													VOG00653	sp|Q38167|DMP_BPT5 5'-deoxynucleotidase; Xh	Xh	0	False	
NC_041871_22	NC_041871	NC_041871	22	12340	12510	1	E			YP_009177470.1	YP_009177470.1 hypothetical protein [Escherichia phage rv5] [Escherichia phage slur16]	False	1.0	126	2.269e-34													VOG11208	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_041871_23	NC_041871	NC_041871	23	12561	12941	1	E			YP_009593867.1	YP_009593867.1 hypothetical protein FDG88_gp023 [Escherichia phage Murica]	False	1.0	280	1.076e-86													VOG11209	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_041871_24	NC_041871	NC_041871	24	13103	13510	1	E			YP_009593868.1	YP_009593868.1 hypothetical protein FDG88_gp024 [Escherichia phage Murica]	False	1.0	294	3.621e-91													VOG07184	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_041871_25	NC_041871	NC_041871	25	13514	13714	1	E			YP_009593869.1	YP_009593869.1 hypothetical protein FDG88_gp025 [Escherichia phage Murica]	False	1.0	158	1.991e-45													VOG04975	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_041871_26	NC_041871	NC_041871	26	13762	19398	-1	D			YP_009593870.1	YP_009593870.1 Ig-like domain-containing protein [Escherichia phage Murica]	True	1.0	3997	0.0								Bacterial Ig-like domain (group 2) [PF02368.21]					VOG06991	REFSEQ Ig-like domain-containing protein; Xu	Xu	0	False	
NC_041871_27	NC_041871	NC_041871	27	19447	21192	-1	E			YP_009593871.1	YP_009593871.1 tail fiber protein [Escherichia phage Murica]	True	0.956	1170	0.0													VOG00514	sp|P26700|FIBH_BPP2 Probable tail fiber protein; XhXpXs	Xh;Xp;Xs	0	False	V
NC_041871_28	NC_041871	NC_041871	28	21202	21468	-1	E			YP_009602256.1	YP_009602256.1 membrane protein [Escherichia phage V18]	False	1.0	198	7.983e-59													VOG03725	REFSEQ membrane protein; Xu	Xu	0	False	
NC_041871_29	NC_041871	NC_041871	29	21480	22523	-1	E			YP_009593873.1	YP_009593873.1 tail fiber protein [Escherichia phage Murica]	True	0.977	717	1.288e-233													VOG01641	sp|Q9T1V0|S1_BPMU Tail fiber protein S; XhXpXs	Xh;Xp;Xs	0	False	V
NC_041871_30	NC_041871	NC_041871	30	22613	22921	-1	E			YP_008530275.1	YP_008530275.1 hypothetical protein P766_gp030 [Escherichia phage JES2013]	False	0.953	207	1.519e-61													VOG02346	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_041871_31	NC_041871	NC_041871	31	22939	23523	-1	D			YP_009030940.1	YP_009030940.1 tail fiber assembly protein [Escherichia phage FFH2]	True	0.985	405	1.375e-128								Caudovirales tail fibre assembly protein, lambda gpK [PF02413.20]					VOG00289	sp|P03740|TFA_LAMBD Tail fiber assembly protein; Xs	Xs	0	False	V
NC_041871_32	NC_041871	NC_041871	32	23538	24578	-1	E			YP_009593876.1	YP_009593876.1 tail fiber protein [Escherichia phage Murica]	True	0.986	722	2.0429999999999998e-235													VOG01641	sp|Q9T1V0|S1_BPMU Tail fiber protein S; XhXpXs	Xh;Xp;Xs	0	False	V
NC_041871_33	NC_041871	NC_041871	33	24591	26663	-1	E			YP_009593877.1	YP_009593877.1 hypothetical protein FDG88_gp033 [Escherichia phage Murica]	True	1.0	1472	0.0													VOG01545	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_041871_34	NC_041871	NC_041871	34	26663	27349	-1	E			YP_009593878.1	YP_009593878.1 baseplate protein [Escherichia phage Murica]	True	0.974	470	2.374e-150																0	False	
NC_041871_35	NC_041871	NC_041871	35	27361	28851	-1	D			YP_009593879.1	YP_009593879.1 baseplate wedge subunit [Escherichia phage Murica]	True	0.933	971	1.413e-318								Baseplate J-like protein [PF04865.17]					VOG00521	sp|P51767|BPJ_BPP2 Baseplate protein J; XhXs	Xh;Xs	0	False	V
NC_041871_36	NC_041871	NC_041871	36	28957	32556	-1	D			YP_009593880.1	YP_009593880.1 central tail fiber J [Escherichia phage Murica]	True	0.957	2414	0.0								Domain of unknown function (DUF1983) [PF09327.14]; Putative phage tail protein [PF13550.9]; Fibronectin type III protein [PF12421.11]					VOG00575	sp|Q6QGE9|BPPB3_BPT5 Baseplate hub protein pb3; XhXs	Xh;Xs	0	False	V
NC_041871_37	NC_041871	NC_041871	37	32556	32981	-1	E			YP_009593881.1	YP_009593881.1 hypothetical protein FDG88_gp037 [Escherichia phage Murica]	False	1.0	314	6.746e-98													VOG03680	REFSEQ hypothetical protein; Xu	Xu	0	False	
NC_041871_38	NC_041871	NC_041871	38	32981	33532	-1	E			YP_002003541.1	YP_002003541.1 tail protein [Escherichia phage V5]	True	0.96	372	3.604e-117													VOG02378	REFSEQ tail protein; Xu	Xu	0	False	
NC_041871_39	NC_041871	NC_041871	39	33534	34124	-1	E			YP_009593883.1	YP_009593883.1 distal tail protein [Escherichia phage Murica]	True	0.97	402	1.377e-127													VOG02587	sp|Q6QGE8|DIT_BPT5 Distal tail protein pb9; XhXs	Xh;Xs	0	False	V
NC_041871_40	NC_041871	NC_041871	40	34224	38036	-1	D			YP_009593884.1	YP_009593884.1 tail fiber protein [Escherichia phage Murica]	True	0.991	2658	0.0								Tail spike TSP1/Gp66 receptor binding N-terminal domain [PF18668.4]; Chaperone of endosialidase [PF13884.9]					VOG00210	REFSEQ tail fiber protein; Xu	Xu	0	False	
NC_041871_41	NC_041871	NC_041871	41	38072	40669	-1	E			YP_009593885.1	YP_009593885.1 tail protein [Escherichia phage Murica]	True	1.0	1869	0.0													VOG09151	REFSEQ tail protein; Xu	Xu	0	False	
NC_041871_42	NC_041871	NC_041871	42	40671	41339	-1	D			YP_002003545.1	YP_002003545.1 tail fiber protein [Escherichia phage V5]	True	0.981	461	1.841e-147								Tail spike TSP1/Gp66 receptor binding N-terminal domain [PF18668.4]					VOG01052	REFSEQ tail fiber protein; Xu	Xu	0	False	
