	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000841.1_1	QGNH01000841.1	QGNH01000841.1	1	1	711	-1	E					0	False	F
QGNH01000841.1_2	QGNH01000841.1	QGNH01000841.1	2	721	1368	-1	E					0	False	F
QGNH01000841.1_3	QGNH01000841.1	QGNH01000841.1	3	1365	1745	-1	E					0	False	F
QGNH01000841.1_4	QGNH01000841.1	QGNH01000841.1	4	1753	2046	1	E					0	False	F
QGNH01000841.1_5	QGNH01000841.1	QGNH01000841.1	5	1998	2363	1	E					0	False	F
QGNH01000841.1_6	QGNH01000841.1	QGNH01000841.1	6	2402	6661	-1	E					0	False	F
QGNH01000841.1_7	QGNH01000841.1	QGNH01000841.1	7	6785	8212	-1	E					0	False	
QGNH01000841.1_8	QGNH01000841.1	QGNH01000841.1	8	8212	11136	-1	E					0	False	
QGNH01000841.1_9	QGNH01000841.1	QGNH01000841.1	9	11143	13650	-1	E					0	False	F
QGNH01000841.1_10	QGNH01000841.1	QGNH01000841.1	10	13680	13886	1	E					0	False	F
QGNH01000841.1_11	QGNH01000841.1	QGNH01000841.1	11	13939	14409	1	E					0	False	F
QGNH01000841.1_12	QGNH01000841.1	QGNH01000841.1	12	14746	15084	1	E					0	False	F
QGNH01000841.1_13	QGNH01000841.1	QGNH01000841.1	13	15269	15424	1	E					0	False	F
QGNH01000841.1_14	QGNH01000841.1	QGNH01000841.1	14	15452	15868	1	E					0	False	F
QGNH01000841.1_15	QGNH01000841.1	QGNH01000841.1	15	15865	16086	1	E					0	False	F
QGNH01000841.1_16	QGNH01000841.1	QGNH01000841.1	16	16083	16769	1	D	Resolvase, N terminal domain [PF00239.24]	VOG00303	sp|P03014|PINE_ECOLI Serine recombinase PinE; Xr	Xr	0	False	VF
QGNH01000841.1_17	QGNH01000841.1	QGNH01000841.1	17	16961	17089	1	E					0	False	F
QGNH01000841.1_18	QGNH01000841.1	QGNH01000841.1	18	17086	17283	1	E					0	False	F
