	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001195.1_1	QGNH01001195.1	QGNH01001195.1	1	50	1159	-1	E											0	False	F
QGNH01001195.1_2	QGNH01001195.1	QGNH01001195.1	2	1246	2121	-1	E											0	False	F
QGNH01001195.1_3	QGNH01001195.1	QGNH01001195.1	3	2683	2889	-1	E											0	False	F
QGNH01001195.1_4	QGNH01001195.1	QGNH01001195.1	4	2850	3917	-1	E											0	False	F
QGNH01001195.1_5	QGNH01001195.1	QGNH01001195.1	5	3941	4144	-1	E											0	False	F
QGNH01001195.1_6	QGNH01001195.1	QGNH01001195.1	6	4759	5874	1	E											0	False	F
QGNH01001195.1_7	QGNH01001195.1	QGNH01001195.1	7	6154	6849	-1	E											0	False	
QGNH01001195.1_8	QGNH01001195.1	QGNH01001195.1	8	7069	8361	-1	D							FG-GAP-like repeat [PF13517.9]; Abnormal spindle-like microcephaly-assoc'd, ASPM-SPD-2-Hydin [PF15780.8]				0	False	F
QGNH01001195.1_9	QGNH01001195.1	QGNH01001195.1	9	8418	8831	1	E											0	False	F
QGNH01001195.1_10	QGNH01001195.1	QGNH01001195.1	10	8903	9274	-1	E											0	False	F
QGNH01001195.1_11	QGNH01001195.1	QGNH01001195.1	11	9300	10499	-1	E											0	False	F
QGNH01001195.1_12	QGNH01001195.1	QGNH01001195.1	12	10540	10758	-1	E											0	False	F
QGNH01001195.1_13	QGNH01001195.1	QGNH01001195.1	13	10879	11478	-1	E											0	False	F
QGNH01001195.1_14	QGNH01001195.1	QGNH01001195.1	14	11587	12195	-1	D	YP_009889559.1	YP_009889559.1 hydrolase [Erwinia phage phiEaP8]	False	66.0	2.988e-11	0.233	Abnormal spindle-like microcephaly-assoc'd, ASPM-SPD-2-Hydin [PF15780.8]; Protein of unknown function (DUF1573) [PF07610.14]				0	False	F
