	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001090.1_1	QGNH01001090.1	QGNH01001090.1	1	2	229	1	E											0	False	F
QGNH01001090.1_2	QGNH01001090.1	QGNH01001090.1	2	267	422	1	E											0	False	F
QGNH01001090.1_3	QGNH01001090.1	QGNH01001090.1	3	1030	1464	1	E											0	False	F
QGNH01001090.1_4	QGNH01001090.1	QGNH01001090.1	4	1461	2243	1	E											0	False	F
QGNH01001090.1_5	QGNH01001090.1	QGNH01001090.1	5	2243	2950	1	E											0	False	F
QGNH01001090.1_6	QGNH01001090.1	QGNH01001090.1	6	2951	3139	1	E											0	False	F
QGNH01001090.1_7	QGNH01001090.1	QGNH01001090.1	7	3136	3417	1	E											0	False	F
QGNH01001090.1_8	QGNH01001090.1	QGNH01001090.1	8	3414	3845	1	E											0	False	F
QGNH01001090.1_9	QGNH01001090.1	QGNH01001090.1	9	3842	4192	1	E											0	False	F
QGNH01001090.1_10	QGNH01001090.1	QGNH01001090.1	10	4266	4550	1	E											0	False	F
QGNH01001090.1_11	QGNH01001090.1	QGNH01001090.1	11	4555	4995	1	E											0	False	F
QGNH01001090.1_12	QGNH01001090.1	QGNH01001090.1	12	5426	5716	1	E											0	False	F
QGNH01001090.1_13	QGNH01001090.1	QGNH01001090.1	13	5755	6015	1	E											0	False	F
QGNH01001090.1_14	QGNH01001090.1	QGNH01001090.1	14	6208	6576	1	E											0	False	F
QGNH01001090.1_15	QGNH01001090.1	QGNH01001090.1	15	6569	7027	1	E											0	False	F
QGNH01001090.1_16	QGNH01001090.1	QGNH01001090.1	16	7027	7284	1	E											0	False	F
QGNH01001090.1_17	QGNH01001090.1	QGNH01001090.1	17	7271	8026	1	E											0	False	F
QGNH01001090.1_18	QGNH01001090.1	QGNH01001090.1	18	8023	9840	1	E	YP_009835993.1	YP_009835993.1 terminase large subunit [Streptomyces phage WRightOn]	False	85.0	1.587e-15	0.206		VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xh;Xr	0	False	VF
QGNH01001090.1_19	QGNH01001090.1	QGNH01001090.1	19	9913	10104	1	E											0	False	F
QGNH01001090.1_20	QGNH01001090.1	QGNH01001090.1	20	10119	10355	1	E											0	False	F
