Target Name	ID	EC value	E-Value (sequence)	Score (domain)
CP001157.1_4403264_4403521_+	VOG00002		1.1e-11	41.6
CP001157.1_4860952_4861500_-	VOG00002		3.3e-11	40.2
CP001157.1_3592989_3593303_-	VOG00002		6.5e-11	39.2
CP001157.1_402227_402511_+	VOG00002		1e-08	32.6
CP001157.1_3296873_3297160_-	VOG00002		1.6e-08	32.0
CP001157.1_4931381_4932166_+	VOG00004		4.7e-21	49.7
CP001157.1_3668941_3669282_-	VOG00006		1.5e-14	51.2
CP001157.1_4104900_4105124_+	VOG00006		2.2e-07	27.9
CP001157.1_4175857_4176801_+	VOG00006		1.1e-06	25.4
CP001157.1_4901483_4902115_-	VOG00018		4.6e-15	52.4
CP001157.1_5342057_5344153_-	VOG00018		3.3e-08	29.3
CP001157.1_2336728_2338407_-	VOG00025		4.4e-27	90.9
CP001157.1_3696344_3698044_-	VOG00025		2.6e-18	60.9
CP001157.1_2342953_2344269_-	VOG00025		7.8e-18	60.0
CP001157.1_4538346_4539086_-	VOG00025		2.4e-08	28.0
CP001157.1_4815854_4816180_-	VOG00033		5e-19	64.9
CP001157.1_635865_636734_-	VOG00033		1e-16	57.7
CP001157.1_443240_443494_+	VOG00033		7.1e-11	38.7
CP001157.1_4575991_4576425_+	VOG00033		2.2e-10	36.2
CP001157.1_5160435_5160980_+	VOG00045		2.5e-15	52.5
CP001157.1_871223_871987_-	VOG00047		5.9e-17	58.7
CP001157.1_3391636_3392157_-	VOG00051		3.8e-21	71.4
CP001157.1_3392292_3392909_-	VOG00051		3.1e-19	65.1
CP001157.1_3730933_3731457_-	VOG00053		8.3e-21	71.0
CP001157.1_1567689_1568804_+	VOG00055		4e-81	271.0
CP001157.1_3095970_3097073_+	VOG00055		8.2e-67	223.8
CP001157.1_628694_629752_+	VOG00055		2.5e-64	215.5
CP001157.1_521377_522498_-	VOG00055		5.2e-51	171.6
CP001157.1_4529366_4530439_-	VOG00055		5.3e-51	170.8
CP001157.1_3679716_3680918_-	VOG00056		2.1e-63	211.6
CP001157.1_4001036_4001932_-	VOG00056		3.5e-60	200.8
CP001157.1_4842584_4843483_+	VOG00056		3.5e-56	187.7
CP001157.1_3720276_3721523_+	VOG00056		4.1e-40	134.7
CP001157.1_2041872_2043071_-	VOG00056		4.6e-35	118.8
CP001157.1_4077031_4078506_-	VOG00060		8.5e-14	30.2
CP001157.1_4296923_4297492_+	VOG00066		4.3e-08	30.1
CP001157.1_3804175_3805932_+	VOG00068		9.9e-123	407.4
CP001157.1_2898176_2898847_+	VOG00071		5.6e-16	55.7
CP001157.1_569243_570388_+	VOG00072		2.4e-111	370.7
CP001157.1_76032_77210_-	VOG00072		5.9e-104	346.2
CP001157.1_4264408_4265586_-	VOG00072		6.9e-104	345.2
CP001157.1_1667263_1668441_-	VOG00072		1.5e-101	338.3
CP001157.1_1548376_1549563_+	VOG00072		2.6e-101	337.5
CP001157.1_65145_67871_-	VOG00075		3.3e-150	499.2
CP001157.1_275395_275850_-	VOG00082		3.2e-42	142.2
CP001157.1_1925842_1926408_+	VOG00082		2.6e-20	69.9
CP001157.1_1426887_1427123_+	VOG00085		1.2e-09	35.1
CP001157.1_3057242_3057976_-	VOG00088		2e-23	80.5
CP001157.1_1374442_1375116_-	VOG00088		7.9e-21	71.6
