	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
MK450543_MK450543.1_1	MK450543	MK450543.1	1	115	717	1	E											0
MK450543_MK450543.1_2	MK450543	MK450543.1	2	710	2374	1	E											0
MK450543_MK450543.1_3	MK450543	MK450543.1	3	2380	2505	1	E											0
MK450543_MK450543.1_4	MK450543	MK450543.1	4	2492	2797	1	E											0
MK450543_MK450543.1_5	MK450543	MK450543.1	5	2790	2975	1	E											0
MK450543_MK450543.1_6	MK450543	MK450543.1	6	2972	3250	1	E											0
MK450543_MK450543.1_7	MK450543	MK450543.1	7	3247	4794	1	D										Phage portal protein [PF04860.15]	0
MK450543_MK450543.1_8	MK450543	MK450543.1	8	4801	5748	1	D										Phage Mu protein F like protein [PF04233.17]	0
MK450543_MK450543.1_9	MK450543	MK450543.1	9	5827	7713	1	D										Putative phage serine protease XkdF [PF14550.9]	0
MK450543_MK450543.1_10	MK450543	MK450543.1	10	7757	8722	1	E											0
MK450543_MK450543.1_11	MK450543	MK450543.1	11	8732	9175	1	E											0
MK450543_MK450543.1_12	MK450543	MK450543.1	12	9182	9778	1	E											0
MK450543_MK450543.1_13	MK450543	MK450543.1	13	9775	10155	1	E											0
MK450543_MK450543.1_14	MK450543	MK450543.1	14	10157	10438	1	E											0
MK450543_MK450543.1_15	MK450543	MK450543.1	15	10438	10875	1	D										Phage virion morphogenesis family [PF05069.16]	0
MK450543_MK450543.1_16	MK450543	MK450543.1	16	10892	11488	1	E											0
MK450543_MK450543.1_17	MK450543	MK450543.1	17	11525	12805	1	E											0
MK450543_MK450543.1_18	MK450543	MK450543.1	18	12822	13214	1	E											0
MK450543_MK450543.1_19	MK450543	MK450543.1	19	13214	13594	1	E											0
MK450543_MK450543.1_20	MK450543	MK450543.1	20	13918	14694	1	D										Transposase [PF01710.19]	0
MK450543_MK450543.1_21	MK450543	MK450543.1	21	14704	15198	-1	E											0
MK450543_MK450543.1_22	MK450543	MK450543.1	22	15278	17500	1	E											0
MK450543_MK450543.1_23	MK450543	MK450543.1	23	17497	18051	1	E											0
MK450543_MK450543.1_24	MK450543	MK450543.1	24	18052	18396	1	E											0
MK450543_MK450543.1_25	MK450543	MK450543.1	25	18399	19241	1	E											0
MK450543_MK450543.1_26	MK450543	MK450543.1	26	19247	19807	1	D										Phage protein Gp138 N-terminal domain [PF18352.4]	0
MK450543_MK450543.1_27	MK450543	MK450543.1	27	19831	20187	1	D										Protein of unknown function (DUF2634) [PF10934.11]	0
MK450543_MK450543.1_28	MK450543	MK450543.1	28	20194	21465	1	D										Baseplate J-like protein [PF04865.17]	0
MK450543_MK450543.1_29	MK450543	MK450543.1	29	21455	22063	1	E											0
MK450543_MK450543.1_30	MK450543	MK450543.1	30	22067	22651	1	E											0
MK450543_MK450543.1_31	MK450543	MK450543.1	31	22648	23256	1	E											0
MK450543_MK450543.1_32	MK450543	MK450543.1	32	23249	24619	1	E											0
MK450543_MK450543.1_33	MK450543	MK450543.1	33	24624	24911	1	E											0
MK450543_MK450543.1_34	MK450543	MK450543.1	34	24922	25596	-1	D										Phage integrase family [PF00589.25]	0
MK450543_MK450543.1_35	MK450543	MK450543.1	35	25634	25915	-1	E											0
MK450543_MK450543.1_36	MK450543	MK450543.1	36	25919	27205	-1	E											0
MK450543_MK450543.1_37	MK450543	MK450543.1	37	27239	27964	1	E											0
MK450543_MK450543.1_38	MK450543	MK450543.1	38	27974	28249	-1	E											0
MK450543_MK450543.1_39	MK450543	MK450543.1	39	28296	28580	-1	E											0
MK450543_MK450543.1_40	MK450543	MK450543.1	40	28577	29152	-1	D			MER0043662	C44	MER0043662 - family C44 non-peptidase homologues () [C44.UNW]#C44#{peptidase unit: 2-113}~source AAM88714~	False	243.0	4.3680000000000004e-72	1.0	Glutamine amidotransferase domain [PF13522.9]; Glutamine amidotransferases class-II [PF13230.9]	0
MK450543_MK450543.1_41	MK450543	MK450543.1	41	29157	30188	-1	E											0
MK450543_MK450543.1_42	MK450543	MK450543.1	42	30414	30578	1	E											0
MK450543_MK450543.1_43	MK450543	MK450543.1	43	30575	30970	1	C	K07064	uncharacterized protein								PIN domain [PF01850.24]	0
