	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001753.1_1	QGNH01001753.1	QGNH01001753.1	1	3	524	1	E																		0	False	F
QGNH01001753.1_2	QGNH01001753.1	QGNH01001753.1	2	517	1218	1	E																		0	False	F
QGNH01001753.1_3	QGNH01001753.1	QGNH01001753.1	3	1238	5617	1	E	YP_851119.1	YP_851119.1 hypothetical protein MaLMM01_gp105 [Microcystis virus Ma-LMM01]	False	0.562	71.0	9.172e-11												0	False	F
QGNH01001753.1_4	QGNH01001753.1	QGNH01001753.1	4	5805	5996	1	E																		0	False	
QGNH01001753.1_5	QGNH01001753.1	QGNH01001753.1	5	5977	9081	1	D	YP_003359102.1	YP_003359102.1 exonuclease [Clavibacter phage CMP1]	False	0.33	196.0	6.083e-49	MER0347496	N09	MER0347496 - family N9 unassigned peptide lyases (Thiovulum sp. ES) [N09.UPW]#N09#{peptidase unit: 210-550}~source ZP_10404829~	False	99.0	2.619e-19	0.252	Homing endonuclease [PF05204.17]; Hom_end-associated Hint [PF05203.19]; LAGLIDADG-like domain [PF14528.9]	VOG00428	sp|B6YUE9|CDC6_THEON ORC1-type DNA replication protein; XhXr	Xh;Xr	0	False	VPF
QGNH01001753.1_6	QGNH01001753.1	QGNH01001753.1	6	9096	9260	1	E																		0	False	F
QGNH01001753.1_7	QGNH01001753.1	QGNH01001753.1	7	9275	11104	1	E																		0	False	F
QGNH01001753.1_8	QGNH01001753.1	QGNH01001753.1	8	11101	11340	1	E																		0	False	F
QGNH01001753.1_9	QGNH01001753.1	QGNH01001753.1	9	11400	11744	1	E																		0	False	F
QGNH01001753.1_10	QGNH01001753.1	QGNH01001753.1	10	11744	12004	1	E																		0	False	F
