target	query	e-value	score	length	start	end
strain_GIC31_complete_genome_948639_949730_+	phrog_10027	2.4e-08	30.3	363	5	87
strain_GIC31_complete_genome_1441770_1443107_+	phrog_10030	4.3e-27	91.4	445	308	444
strain_GIC31_complete_genome_2066540_2067844_-	phrog_10030	1.9e-26	89.2	434	259	433
strain_GIC31_complete_genome_151104_152096_+	phrog_10030	3.1e-25	85.2	330	151	305
strain_GIC31_complete_genome_769734_771107_+	phrog_10030	1e-23	80.1	457	318	452
strain_GIC31_complete_genome_1419006_1419725_+	phrog_10030	7.4e-23	77.1	239	105	225
strain_GIC31_complete_genome_250229_251764_+	phrog_10030	8.2e-22	73.8	511	377	510
strain_GIC31_complete_genome_420158_420874_-	phrog_10030	3.6e-20	68.4	238	101	235
strain_GIC31_complete_genome_91503_92153_+	phrog_10255	1.7e-08	31.3	216	3	39
strain_GIC31_complete_genome_1448462_1449079_-	phrog_10276	1.6e-40	136.0	205	66	204
strain_GIC31_complete_genome_1961769_1962398_-	phrog_10276	7.9e-40	133.8	209	50	207
strain_GIC31_complete_genome_1959183_1959476_-	phrog_10276	1.4e-32	110.3	97	1	95
strain_GIC31_complete_genome_994058_996655_+	phrog_10285	6.5e-36	78.9	865	599	748
strain_GIC31_complete_genome_994058_996655_+	phrog_10285	6.5e-36	40.6	865	767	861
strain_GIC31_complete_genome_2527871_2528308_+	phrog_10292	1.3e-08	31.9	145	45	116
strain_GIC31_complete_genome_2288056_2288691_-	phrog_10300	1.9e-11	41.0	206	141	203
strain_GIC31_complete_genome_723524_724216_+	phrog_10300	2.2e-09	34.1	230	166	220
strain_GIC31_complete_genome_1947153_1947929_+	phrog_10313	1.2e-10	38.1	258	108	212
strain_GIC31_complete_genome_1310893_1311390_+	phrog_10313	4e-10	36.4	165	3	107
strain_GIC31_complete_genome_1357954_1358565_+	phrog_10313	1e-09	34.7	203	72	131
strain_GIC31_complete_genome_2733698_2734180_+	phrog_10313	7e-09	32.8	160	37	145
