Name	Count
Carbohydrate metabolism	419
Lipid metabolism	96
Amino acid metabolism	333
Metabolism of cofactors and vitamins	186
Xenobiotics biodegradation and metabolism	144
Protein families: signaling and cellular processes	792
Biosynthesis of other secondary metabolites	64
Glycan biosynthesis and metabolism	84
Energy metabolism	183
Signal transduction	158
Metabolism of other amino acids	78
Transport and catabolism	19
Cancer: overview	24
Cardiovascular disease	39
Unclassified: metabolism	243
Protein families: metabolism	290
Metabolism of terpenoids and polyketides	40
Nucleotide metabolism	108
Infectious disease: bacterial	33
Neurodegenerative disease	140
Protein families: genetic information processing	652
Endocrine system	23
Environmental adaptation	33
Endocrine and metabolic disease	23
Nervous system	24
Substance dependence	9
Drug resistance: antineoplastic	6
Cancer: specific types	8
Poorly characterized	136
Circulatory system	5
Folding, sorting and degradation	43
Cell motility	49
Translation	81
Digestive system	5
Cellular community - prokaryotes	100
Cell growth and death	39
Drug resistance: antimicrobial	38
Aging	14
Immune system	9
Infectious disease: viral	14
Replication and repair	82
Infectious disease: parasitic	5
Excretory system	1
Immune disease	2
Development and regeneration	1
Unclassified: signaling and cellular processes	56
Membrane transport	240
Sensory system	4
Transcription	4
Unclassified: genetic information processing	48
Signaling molecules and interaction	3
