index	L1	L2	L3	L4	KO	Function	EC	Count
2911	10_TCA cycle	Replenishment of TCA cycle intermediates (necessary because some intermediates serve as precursors for biosysnthesis)			K01959	pycA; pyruvate carboxylase subunit A	6.4.1.1	10
3860	17_Gluconeogenesis	Gluconeogenesis			K01959	pycA; pyruvate carboxylase subunit A	6.4.1.1	10
3231	12_Transporters	ABC transporters, prokaryotic type	PEPtide and nickel transporters	PEPtides/nickel transporter [mD:m00239]	K02031	ddpD; peptide/nickel transport system ATP-binding protein		10
3232	12_Transporters	ABC transporters, prokaryotic type	PEPtide and nickel transporters	PEPtides/nickel transporter [mD:m00239]	K02032	ddpF; peptide/nickel transport system ATP-binding protein		9
3024	12_Transporters	ABC transporters, prokaryotic type	Mineral and organic ion transporters	Iron(III) transporter [mD:m00190]	K02010	afuC, fbpC; iron(III) transport system ATP-binding protein	7.2.2.7	4
4278	19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Lipopolysaccharide biosynthesis		K13004	wbtD; galacturonosyltransferase WbtD	2.4.1.-	1
4501	19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Mucin type O-glycan biosynthesis		K13004	wbtD; galacturonosyltransferase WbtD	2.4.1.-	1
4644	19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	N-glycan biosynthesis		K13004	wbtD; galacturonosyltransferase WbtD	2.4.1.-	1
4831	19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Peptidoglycan biosynthesis		K13004	wbtD; galacturonosyltransferase WbtD	2.4.1.-	1
5178	20_Hydrolysis of polymers	Mannose			K13004	wbtD; galacturonosyltransferase WbtD	2.4.1.-	1
6724	21_Cellular response to stress	Response to osmotic stress			K13004	wbtD; galacturonosyltransferase WbtD	2.4.1.-	1
3150	12_Transporters	ABC transporters, prokaryotic type	Monosaccharide transporters	Simple sugar transporter [mD:m00221]	K02056	ABC.SS.A; simple sugar transport system ATP-binding protein	7.5.2.-	44
943	06_Amino acid utilization biosynthesis metabolism	Valine, leucine and isoleucine degradation			K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	2
1189	06_Amino acid utilization biosynthesis metabolism	Glycine, serine and threonine metabolism			K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	1.8.1.4	2
3251	12_Transporters	ABC transporters, prokaryotic type	 metallic cation, iron-siderophore and vitamin b12 transporters	Zinc transporter [mD:m00242]	K09817	znuC; zinc transport system ATP-binding protein	7.2.2.20	2
3242	12_Transporters	ABC transporters, prokaryotic type	 metallic cation, iron-siderophore and vitamin b12 transporters	Iron complex transporter [mD:m00240]	K02013	ABC.FEV.A; iron complex transport system ATP-binding protein	7.2.2.-	2
