	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000355.1_1	QGNH01000355.1	QGNH01000355.1	1	2	379	1	E											0	False	F
QGNH01000355.1_2	QGNH01000355.1	QGNH01000355.1	2	461	763	1	E											0	False	F
QGNH01000355.1_3	QGNH01000355.1	QGNH01000355.1	3	779	2452	1	E	YP_007010563.1	YP_007010563.1 DNA packaging enzyme (terminase) [Salinivibrio phage CW02]	False	61.0	3.269e-08	0.22		VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xh;Xr	0	False	VF
QGNH01000355.1_4	QGNH01000355.1	QGNH01000355.1	4	2694	2801	-1	E											0	False	F
QGNH01000355.1_5	QGNH01000355.1	QGNH01000355.1	5	2845	5049	1	E											0	False	F
QGNH01000355.1_6	QGNH01000355.1	QGNH01000355.1	6	5049	5447	1	E											0	False	
QGNH01000355.1_7	QGNH01000355.1	QGNH01000355.1	7	5449	6285	1	E											0	False	F
QGNH01000355.1_8	QGNH01000355.1	QGNH01000355.1	8	6306	7526	1	E											0	False	F
QGNH01000355.1_9	QGNH01000355.1	QGNH01000355.1	9	7609	8145	1	E											0	False	F
QGNH01000355.1_10	QGNH01000355.1	QGNH01000355.1	10	8189	9130	1	E											0	False	F
QGNH01000355.1_11	QGNH01000355.1	QGNH01000355.1	11	9257	9727	1	E											0	False	F
QGNH01000355.1_12	QGNH01000355.1	QGNH01000355.1	12	9782	11092	1	E											0	False	F
