	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001722.1_1	QGNH01001722.1	QGNH01001722.1	1	825	2216	1	E											0	False	F
QGNH01001722.1_2	QGNH01001722.1	QGNH01001722.1	2	2222	2677	1	E											0	False	F
QGNH01001722.1_3	QGNH01001722.1	QGNH01001722.1	3	2694	4238	1	E											0	False	F
QGNH01001722.1_4	QGNH01001722.1	QGNH01001722.1	4	4255	4944	1	E											0	False	F
QGNH01001722.1_5	QGNH01001722.1	QGNH01001722.1	5	5776	6549	1	E											0	False	
QGNH01001722.1_6	QGNH01001722.1	QGNH01001722.1	6	6570	7613	1	E											0	False	
QGNH01001722.1_7	QGNH01001722.1	QGNH01001722.1	7	7652	7780	1	E											0	False	F
QGNH01001722.1_8	QGNH01001722.1	QGNH01001722.1	8	7837	10155	1	E											0	False	F
QGNH01001722.1_9	QGNH01001722.1	QGNH01001722.1	9	10164	11924	1	E	YP_195256.1	YP_195256.1 virion structural protein [Synechococcus phage S-PM2]	False	117.0	1.942e-25	0.31					0	False	F
QGNH01001722.1_10	QGNH01001722.1	QGNH01001722.1	10	11930	12562	1	E											0	False	F
