	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000134.1_1	QGNH01000134.1	QGNH01000134.1	1	230	370	1	E																						0	False	F
QGNH01000134.1_2	QGNH01000134.1	QGNH01000134.1	2	367	567	1	E																						0	False	F
QGNH01000134.1_3	QGNH01000134.1	QGNH01000134.1	3	557	1102	1	E																						0	False	F
QGNH01000134.1_4	QGNH01000134.1	QGNH01000134.1	4	1099	1500	1	D														Protein of unknown function (DUF1064) [PF06356.14]								0	False	F
QGNH01000134.1_5	QGNH01000134.1	QGNH01000134.1	5	1567	2358	1	D	YP_008853834.1	YP_008853834.1 replication initiation protein [Ralstonia phage RSK1]	False	0.514	156.0	4.306e-41								Conserved phage C-terminus (Phg_2220_C) [PF09524.13]					VOG01252	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01000134.1_6	QGNH01000134.1	QGNH01000134.1	6	2348	2890	1	D	YP_355345.1	YP_355345.1 DUF6475 domain-containing protein [Burkholderia phage Bcep176]	False	0.317	83.0	2.084e-17								Domain of unknown function (DUF6475) [PF20081.2]					VOG03775	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01000134.1_7	QGNH01000134.1	QGNH01000134.1	7	2984	3430	1	E																						0	False	F
QGNH01000134.1_8	QGNH01000134.1	QGNH01000134.1	8	3599	4096	1	E																						0	False	F
QGNH01000134.1_9	QGNH01000134.1	QGNH01000134.1	9	4099	4662	1	D	YP_009835408.1	YP_009835408.1 hypothetical protein HWB33_gp16 [Leptospira phage LE3]	False	0.361	78.0	1.46e-15								ParB/Sulfiredoxin domain [PF02195.21]					VOG02645	sp|P77174|YBDM_ECOLI Uncharacterized protein YbdM; Xu	Xu	0	False	F
QGNH01000134.1_10	QGNH01000134.1	QGNH01000134.1	10	4629	5045	1	D														Acetyltransferase (GNAT) domain [PF13508.10]; Acetyltransferase (GNAT) domain [PF13673.10]; Acetyltransferase (GNAT) family [PF00583.28]								0	False	F
QGNH01000134.1_11	QGNH01000134.1	QGNH01000134.1	11	5023	5289	-1	E																						0	False	
QGNH01000134.1_12	QGNH01000134.1	QGNH01000134.1	12	5368	5721	-1	E																						0	False	
QGNH01000134.1_13	QGNH01000134.1	QGNH01000134.1	13	5849	7276	1	D	YP_009593385.1	YP_009593385.1 terminase large subunit [Acinetobacter phage YMC11/11/R3177]	True	0.647	588.0	1.523e-186								Terminase RNaseH-like domain [PF17289.5]					VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xh;Xr	0	False	V
QGNH01000134.1_14	QGNH01000134.1	QGNH01000134.1	14	7408	7728	1	E																						0	False	
QGNH01000134.1_15	QGNH01000134.1	QGNH01000134.1	15	7736	9241	1	E																						0	False	
QGNH01000134.1_16	QGNH01000134.1	QGNH01000134.1	16	9245	10099	1	E																						0	False	
QGNH01000134.1_17	QGNH01000134.1	QGNH01000134.1	17	10100	11470	1	D														Carboxypeptidase regulatory-like domain [PF13620.9]								0	False	
QGNH01000134.1_18	QGNH01000134.1	QGNH01000134.1	18	11528	12025	1	E																						0	False	
QGNH01000134.1_19	QGNH01000134.1	QGNH01000134.1	19	12039	14294	1	D	YP_006546302.1	YP_006546302.1 portal protein [Thermoanaerobacterium phage THSA-485A]	False	0.332	220.0	1.955e-57								Phage portal protein [PF04860.15]; Phage Mu protein F like protein [PF04233.17]					VOG00441	sp|P32271|Y06L_BPT4 Uncharacterized 17.7 kDa protein in e-segB intergenic region; Xu	Xu	0	False	
QGNH01000134.1_20	QGNH01000134.1	QGNH01000134.1	20	14291	14629	1	E																						0	False	
QGNH01000134.1_21	QGNH01000134.1	QGNH01000134.1	21	14577	15929	1	D	YP_006546301.1	YP_006546301.1 hypothetical protein Tsac_2860 [Thermoanaerobacterium phage THSA-485A]	False	0.311	80.0	2.334e-14								Putative phage serine protease XkdF [PF14550.9]; Caudovirus prohead serine protease [PF04586.20]					VOG03893	sp|P45920|YQBD_BACSU Uncharacterized protein YqbD; Xu	Xu	0	False	
QGNH01000134.1_22	QGNH01000134.1	QGNH01000134.1	22	16086	17609	1	E	YP_006546300.1	YP_006546300.1 hypothetical protein Tsac_2859 [Thermoanaerobacterium phage THSA-485A]	False	0.19	93.0	2.167e-18													VOG10791	REFSEQ major capsid protein; Xu	Xu	0	False	
QGNH01000134.1_23	QGNH01000134.1	QGNH01000134.1	23	17675	18016	1	E																						0	False	
QGNH01000134.1_24	QGNH01000134.1	QGNH01000134.1	24	18129	18944	1	E																						0	False	
QGNH01000134.1_25	QGNH01000134.1	QGNH01000134.1	25	18941	19435	1	E																						0	False	
QGNH01000134.1_26	QGNH01000134.1	QGNH01000134.1	26	19425	19859	1	E																						0	False	
QGNH01000134.1_27	QGNH01000134.1	QGNH01000134.1	27	19884	20885	1	E																						0	False	
QGNH01000134.1_28	QGNH01000134.1	QGNH01000134.1	28	20898	21197	1	E																						0	False	
QGNH01000134.1_29	QGNH01000134.1	QGNH01000134.1	29	21212	21526	1	E																						0	False	
QGNH01000134.1_30	QGNH01000134.1	QGNH01000134.1	30	21543	23975	1	E	YP_009855853.1	YP_009855853.1 tape measure protein [Butyrivibrio phage Arawn]	False	0.32	125.0	1.373e-27													VOG03921	sp|P51731|TMP_BPHC1 Probable tape measure protein; Xs	Xs	0	False	V
