	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001856.1_1	QGNH01001856.1	QGNH01001856.1	1	3	461	-1	E													0	False	F
QGNH01001856.1_2	QGNH01001856.1	QGNH01001856.1	2	463	1392	-1	E													0	False	F
QGNH01001856.1_3	QGNH01001856.1	QGNH01001856.1	3	1385	1666	-1	E													0	False	F
QGNH01001856.1_4	QGNH01001856.1	QGNH01001856.1	4	1706	1951	-1	E													0	False	F
QGNH01001856.1_5	QGNH01001856.1	QGNH01001856.1	5	1953	2249	-1	C	K04078	chaperonin GroES							Chaperonin 10 Kd subunit [PF00166.24]				0	False	F
QGNH01001856.1_6	QGNH01001856.1	QGNH01001856.1	6	2392	2955	-1	E													0	False	F
QGNH01001856.1_7	QGNH01001856.1	QGNH01001856.1	7	3001	3519	-1	E													0	False	F
QGNH01001856.1_8	QGNH01001856.1	QGNH01001856.1	8	3590	4441	-1	D									P22 coat protein - gene protein 5 [PF11651.11]; Phage capsid protein [PF19821.2]	VOG00529	sp|P19727|CAPSB_BPT7 Minor capsid protein; XrXs	Xr;Xs	0	False	VF
QGNH01001856.1_9	QGNH01001856.1	QGNH01001856.1	9	4477	5325	-1	E													0	False	F
QGNH01001856.1_10	QGNH01001856.1	QGNH01001856.1	10	5371	5643	-1	E													0	False	F
QGNH01001856.1_11	QGNH01001856.1	QGNH01001856.1	11	5645	5947	-1	E													0	False	F
QGNH01001856.1_12	QGNH01001856.1	QGNH01001856.1	12	5934	8096	-1	E													0	False	F
QGNH01001856.1_13	QGNH01001856.1	QGNH01001856.1	13	8071	8334	-1	E													0	False	F
QGNH01001856.1_14	QGNH01001856.1	QGNH01001856.1	14	8341	9717	-1	C	K06909	phage terminase large subunit	YP_009352426.1	YP_009352426.1 terminase large subunit [Rhizobium phage RHEph10]	False	92.0	4.898e-18	0.241	Terminase RNAseH like domain [PF17288.5]	VOG07294	sp|Q05219|VG13_BPML5 Gene 13 protein; Xu	Xu	0	False	F
QGNH01001856.1_15	QGNH01001856.1	QGNH01001856.1	15	9723	10052	-1	E													0	False	F
